caption,categoryId,channelId,channelTitle,commentCount,contentRating,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,request_token,tags,title,vidId,viewCount
TRUE,10,UCLp8RBhQHu9wSsq62j_Md6A,LuisFonsiVEVO,2733574,,xxNoneFoundxx,hd,"“Despacito” disponible ya en todas las plataformas digitales: https://UMLE.lnk.to/DOoUzFp 

Sigue a Luis Fonsi: 
Official Site: http://www.luisfonsi.com/ 
Facebook: https://www.facebook.com/luisfonsi/ 
Twitter: https://twitter.com/LuisFonsi 
Instagram: https://www.instagram.com/luisfonsi 

Music video by Luis Fonsi performing Despacito. (C) 2017 Universal Music Latino",2d,3531606,PT4M42S,0,TRUE,29947562,none,rectangular,2017-01-13T05:00:02.000Z,,CDIQAA,"['Luis', 'Fonsi', 'Despacito', 'UMLE', 'Latino', 'Latin', 'Pop', 'Luis Fonsi', 'DY', 'Daddy Yankee', 'Music Video', 'Oficial', 'Official Music Video', '#Despacito', 'Zuleyka Rivera', 'Super model', 'Miss Universe', 'PR', 'Puerto Rico']",Luis Fonsi - Despacito ft. Daddy Yankee,kJQP7kiw5Fk,5532540088
FALSE,10,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,802768,,en,hd,"Stream or Download Shape Of You: https://atlanti.cr/2singles
÷. Out Now: https://atlanti.cr/yt-album
Subscribe to Ed's channel: http://bit.ly/SubscribeToEdSheeran

Follow Ed on...
Facebook: http://www.facebook.com/EdSheeranMusic
Twitter: http://twitter.com/edsheeran
Instagram: http://instagram.com/teddysphotos
Official Website: http://edsheeran.com

Director|DOP: Jason Koenig
Producer: Honna Kimmerer
Production company: Anonymous Content
Exec Producer: Nina Soriano

Cinematography: Johnny Valencia, Ryan Haug 
Edited by: Johnny Valencia, Jason Koenig
Commissioner: Dan Curwin

Co-Starring: 
Jennie Pegouskie
Yama

-- | LYRICS |--

The club isn’t the best place to find a lover
So the bar is where I go 
Me and my friends at the table doing shots drinking fast and then we talk slow
you come over and start up a conversation with just me and trust me I’ll give it a chance now
Take my hand stop, put van the man on the jukebox and then we start to dance
And now I’m singing like

Girl you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead
I may be crazy don’t mind me 
Say boy let’s not talk too much 
Grab on my waist and put that body on me
Come on now follow my lead
Come come on now follow my lead

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new
I’m in love with your body

Oh I X 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Every day discovering something brand new
I’m in love with the shape of you 

One week in we let the story begin
We’re going out on our first date
You and me are thrifty
So go all you can eat 
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family’s doing ok
leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play
and I'm singing like

Girl you know I want your love
Your love was handmade for somebody like me
Come on now follow my lead 
I may be crazy, don’t mind me
Say boy let’s not talk too much 
Grab on my waist and put that body on me
Come on now follow my lead
Come come on now follow my lead

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new

Well I’m in love with your body
Oh I x 4 
I’m in love with your body
Oh I x 4
I’m in love with your body
Oh I X 4
I’m in love with your body
Every day discovering something brand new
I’m in love with the shape of you 

Come on be my baby come on X 8

I’m in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I’m in love with your body
Last night you were in my room 
And now my bed sheets smell like you 
Every day discovering something brand new

Well I’m in love with your body
Come on be my baby come on X 6
Every day discovering something brand new
I’m in love with the shape of you",2d,1014722,PT4M24S,0,TRUE,17756978,none,rectangular,2017-01-30T10:57:50.000Z,,CDIQAA,"['edsheeran', 'ed sheeran', 'acoustic', 'live', 'cover', 'official', 'remix', 'official video', 'lyrics', 'session', 'Ed', 'Sheeran', 'Shape', 'Of', 'You', 'Shape of You', 'Divide', 'Εντ Σηραν', 'Εδ Σηεεραν', 'Εντ Σιραν']",Ed Sheeran - Shape of You [Official Video],JGwWNGJdvx8,3814333203
FALSE,10,UCrDkAvwZum-UTjHmzDI2iIw,officialpsy,5259765,,xxNoneFoundxx,hd,"PSY - ‘I LUV IT’ M/V @ https://youtu.be/Xvjnoagk6GU
PSY - ‘New Face’ M/V @https://youtu.be/OwJPPaEyqhI

PSY - 8TH ALBUM '4X2=8' on iTunes @
https://smarturl.it/PSY_8thAlbum

PSY - GANGNAM STYLE(강남스타일) on iTunes @ http://smarturl.it/PsyGangnam

#PSY #싸이 #GANGNAMSTYLE #강남스타일

More about PSY@
http://www.psypark.com/
http://www.youtube.com/officialpsy
http://www.facebook.com/officialpsy
http://twitter.com/psy_oppa
https://www.instagram.com/42psy42
http://iTunes.com/PSY
http://sptfy.com/PSY
http://weibo.com/psyoppa
http://twitter.com/ygent_official",2d,2096729,PT4M13S,0,TRUE,14844048,none,rectangular,2012-07-15T07:46:32.000Z,,CDIQAA,"['PSY', '싸이', '강남스타일', '뮤직비디오', 'Music Video', 'Gangnam Style', 'KOREAN SINGER', 'KPOP', 'KOERAN WAVE', 'PSY 6甲', '6th Studio Album', '싸이6집', '육갑', 'YG Family', 'YG Entertainment']",PSY - GANGNAM STYLE(강남스타일) M/V,9bZkp7q19f0,3215065745
TRUE,10,UCHkj014U2CQ2Nv0UZeYpE_A,JustinBieberVEVO,705159,,xxNoneFoundxx,hd,"‘Purpose’ Available Everywhere Now!
iTunes: http://smarturl.it/PurposeDlx?IQid=VEVO1113 
Stream & Add To Your Spotify Playlist: http://smarturl.it/sPurpose?IQid=VEVO1113 
Google Play: http://smarturl.it/gPurpose?IQid=VEVO1113 
Amazon: http://smarturl.it/aPurpose?IQid=VEVO1113 

Produced by: BLOOD and Skrillex

Director: Parris Goebel
Producer: Justin Bieber, Scott ""Scooter"" Braun and Parris Goebel
Animator: John Hwang 
Production Company: SB Films and Taktix Films
Choreographer: Parris Goebel
Dancers: The Ladies of ReQuest & The Royal Family Dance Crews from The Palace Dance Studio, NZ


Follow Justin:
http://facebook.com/justinbieber
http://twitter.com/justinbieber
http://instagram.com/justinbieber
http://shots.com/justinbieber 
http://fahlo.me/justinbieber
And sign up to Justin’s newsletter: http://justinbiebermusic.com
Snapchat: rickthesizzler
 
Lyrics: Sorry – Justin Bieber
 
You gotta go and get 
Angry at all of my honesty
You know I try but I don't do too well with apologies 
I hope I don't run out of Time could someone call the referee
Cause I just need one more shot at forgiveness 
 
I know you know that I 
made those mistakes maybe once or twice 
And by once or twice I Mean 
Maybe a couple a hundred times 
So let me oh let me 
Redeem oh redeem oh my self tonight 
Cause I just need one more shot at second chances 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
I’m sorry yeah
Sorry yeah
Sorry
Yeah I know that I let you down
Is it too late to say I’m sorry now
 
I'll take every single piece of the blame 
If you want me too 
But you know that there is no innocent one in this game for two
I'll go I'll go and then 
You go you go out and spill the truth 
Can we both say the words and forget this 
 
Yeah
Is it too late now to say sorry 
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I'm not just trying to get you back on me
Cause I’m missing more than just your body 
Is it too late now to say sorry 
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now 
 
I’m sorry (yeah)
Sorry (oh)
Sorry
Yeah I know that I let you down 
Is it too late to say I'm sorry now  

http://vevo.ly/Uf3y0K

©: 2015 Def Jam Recordings, a division of UMG Recordings, Inc.",2d,1388858,PT3M26S,0,TRUE,10755425,none,rectangular,2015-10-22T20:00:02.000Z,,CDIQAA,"['Justin', 'Bieber', 'Sorry', 'justin bieber let me love you', 'justin bieber baby', 'justin bieber love yourself', 'justin bieber songs', 'justin bieber cold water', 'justin bieber', 'sorry lyrics', 'sorry justin bieber', 'sorry justin bieber lyrics', 'sorry acoustic justin bieber', 'sorry justin bieber remix', 'sorry justin bieber live', 'sorry justin bieber acoustic', 'sorry purpose', 'purpose', 'sorry purpose Justin Bieber', 'purpose the movement', 'justin bieber the movement', 'the']",Justin Bieber - Sorry (PURPOSE : The Movement),fRh_vgS2dFE,3012075456
FALSE,10,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,303935,,xxNoneFoundxx,hd,"Buy Sugar on iTunes: http://smarturl.it/M5V

Sign up for updates: http://smarturl.it/Maroon5.News

Catch Maroon 5 on tour all year long  at www.maroon5.com

Music video by Maroon 5 performing Sugar. (C) 2015 Interscope Records",2d,430122,PT5M2S,0,TRUE,9062562,none,rectangular,2015-01-14T15:00:11.000Z,,CDIQAA,"['Maroon', 'Sugar', 'Maroon 5', ""maroon 5 don't wanna know"", 'maroon 5 sugar', 'maroon 5 she will be loved', 'maroon 5 one more night', 'maroon 5 payphone', 'sugar maroon 5 karaoke', 'sugar lyrics', 'maroon 5 sugar lyrics', 'sugar maroon']",Maroon 5 - Sugar,09R8_2nJtjg,2748524606
FALSE,10,UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,488105,,xxNoneFoundxx,hd,"Listen to 1989 from Taylor Swift here: https://taylor.lnk.to/1989dlxID   

Shop official Taylor Swift merch here: http://taylor.lk/merch

http://www.vevo.com/watch/USCJY1431460?utm_source=youtube&utm_medium=description&utm_campaign=ytd

Music video by Taylor Swift performing Shake It Off. (C) 2014 Big Machine Records, LLC.",2d,883598,PT4M2S,0,TRUE,7791797,none,rectangular,2014-08-18T21:18:00.000Z,,CDIQAA,"['Taylor', 'Swift', 'Shake', 'It', 'Off', 'Big', 'Machine', 'Records', 'LLC', 'Pop']",Taylor Swift - Shake It Off,nfWlot6h_JM,2646790242
TRUE,10,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,583270,,xxNoneFoundxx,hd,"Get “Roar” from Katy Perry’s ‘PRISM’: http://katy.to/PRISM
WITNESS: The Tour tickets available now! https://www.katyperry.com/tour

Official music video for Katy Perry's ""Roar"" brought to you in Junglescope directed by Grady Hall & Mark Kudsi and produced by Javier Jimenez, Danny Lockwood, Patrick Nugent, Derek Johnson and Oualid Mouaness.

Follow Katy:
http://www.katyperry.com
http://youtube.com/katyperry
http://twitter.com/katyperry
http://facebook.com/katyperry
http://instagram.com/katyperry

Lyrics:
I used to bite my tongue and hold my breath
Scared to rock the boat and make a mess
So I sit quietly
Agree politely
 
I guess that I forgot I had a choice
I let you push me past the breaking point
I stood for nothing
So I fell for everything
 
(Pre-Chorus)
You held me down but I got up
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
 
You held me down but I got up
Get ready ’cause I’ve had enough
I see it all, I see it now
 
(Chorus)
I got the eye of the tiger, a fighter
Dancing through the fire
‘Cause I am a champion
And you’re gonna hear me roar
 
Louder, louder than a lion
‘Cause I am a champion
And you’re gonna hear me roar
You’re gonna hear me roar
 
Now I’m floating like a butterfly
Stinging like a bee, I earned my stripes
I went from zero
To my own hero
 
(Pre-Chorus)
You held me down but I got up
Already brushing off the dust
You hear my voice, you hear that sound
Like thunder, gonna shake the ground
 
You held me down but I got up
Get ready ’cause I’ve had enough
I see it all, I see it now
 
(Chorus)
I got the eye of the tiger, a fighter
Dancing through the fire
‘Cause I am a champion
And you’re gonna hear me roar

Music video by Katy Perry performing Roar. (C) 2013 Capitol Records, LLC",2d,717319,PT4M30S,0,TRUE,8612453,none,rectangular,2013-09-05T20:00:22.000Z,,CDIQAA,"['Katy perry', 'roar', 'music video', 'official', 'roar video', 'prism']",Katy Perry - Roar (Official),CevxZvSJLk8,2634055390
FALSE,10,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,274396,,xxNoneFoundxx,hd,"The official video for 'Thinking Out Loud', Ed learnt to dance! 
'x', available to buy via iTunes here: http://smarturl.it/x-itunesdlx
Featuring and taught by @dance10Brittany and @dance10Paul

Subscribe to my channel: http://bit.ly/SubscribeToEdSheeran
Go behind the scenes of the video: http://bit.ly/ThinkingOutLoudBTS
Hear the rest of my album, 'x': http://bit.ly/XOfficialPlaylist
Audio of 'Thinking Out Loud': http://youtu.be/WpyfrixXBqU

Hey German fans! View here: http://smarturl.it/ThinkingOutLoud-DE

Buy on CD & Vinyl here: http://smarturl.it/x-album
Buy on Google Play: http://smarturl.it/x-googleplaydlx

Follow me on...
Facebook: http://www.facebook.com/EdSheeranMusic
Twitter: http://twitter.com/edsheeran
Instagram: http://instagram.com/teddysphotos
Official Website: http://edsheeran.com

** The best artists, the best albums, the best price **
Get the FREE app now & be the first to discover TOP MUSIC DEALS
http://Smarturl.it/top-music-deal",2d,420699,PT4M57S,0,TRUE,9154145,none,rectangular,2014-10-07T13:57:37.000Z,,CDIQAA,"['edsheeran', 'ed sheeran', 'acoustic', 'live', 'cover', 'official', 'remix', 'official video', 'lyrics', 'session', 'Ed Sheeran (Musical Artist)', 'thinking out loud', 'ed sheeran thinking out loud', 'thinking out loud official video', 'thinking out loud official', 'thinking out loud lyrics', 'thinking out loud live', 'ed sheeran live', 'thinking out loud karaoke', 'thinking out loud acoustic', 'ed sheeran acoustic', 'thinking out loud audio', 'thinking out loud remix', 'Warner Music Group (Record Label)', 'WMG', 'GRAMMYS']",Ed Sheeran - Thinking Out Loud [Official Video],lp-EO5I60KA,2486157365
FALSE,10,UC-8Q-hLdECwQmaWNwXitYDw,KatyPerryVEVO,592462,,xxNoneFoundxx,hd,"Get ""Dark Horse"" from Katy Perry's 'PRISM': http://katy.to/PRISM
WITNESS: The Tour tickets available now! https://www.katyperry.com/tour

Directed by Matthew Cullen & Produced by Dawn Rose, Danny Lockwood, Javier Jimenez, and Derek Johnson

Follow Katy:
http://www.katyperry.com
http://youtube.com/katyperry
http://twitter.com/katyperry
http://facebook.com/katyperry
http://instagram.com/katyperry

Lyrics:
I knew you were
You were gonna come to me
And here you are
But you better choose carefully
‘Cause I am capable of anything
Of anything and everything
Make me your Aphrodite
Make me your one and only
But don’t make me your enemy
Your enemy, your enemy

(Pre-Chorus)
So you wanna play with magic
Boy, you should know what you’re fallin’ for
Baby, do you dare to do this
‘Cause I’m coming atcha like a dark horse

(Chorus)
Are you ready for, ready for
A perfect storm, perfect storm
‘Cause once you’re mine, once you’re mine
There’s no going back

Mark my words
This love will make you levitate
Like a bird
Like a bird without a cage
But down to earth
If you choose to walk away
Don’t walk away
It’s in the palm of your hand now, baby
It’s a yes or a no, no maybe
So just be sure
Before you give it all to me
All to me
Give it all to me

(Pre-Chorus)
So you wanna play with magic
Boy, you should know what you’re fallin’ for
Baby, do you dare to do this
‘Cause I’m coming atcha like a dark horse

(Chorus)
Are you ready for, ready for
A perfect storm, perfect storm
‘Cause once you’re mine, once you’re mine
There’s no going back

(Juicy J)
She’s a beast
I call her Karma
She’ll eat your heart out
Like Jeffrey Dahmer

Be careful
Try not to lead her on
Shorty heart is on steroids
‘Cause her love is so strong

You may fall in love when you meet her
If you get the chance, you better keep her
She’s sweet as pie, but if you break her heart
She’ll turn cold as a freezer

That fairy tale ending with a knight in shining armor
She can be my Sleeping Beauty
I’m gon’ put her in a coma

Now I think I love her
Shorty so bad, sprung and I don’t care
She ride me like a roller coaster
Turned the bedroom into a fair

Her love is like a drug
I was tryna hit it and quit it
But lil’ mama so dope
I messed around and got addicted

(Pre-Chorus)
So you wanna play with magic
Boy, you should know what you’re fallin’ for
Baby, do you dare to do this
‘Cause I’m coming atcha like a dark horse

(Chorus)
Are you ready for, ready for
A perfect storm, perfect storm
‘Cause once you’re mine, once you’re mine
There’s no going back


Music video by Katy Perry performing Dark Horse. (C) 2014 Capitol Records, LLC",2d,962277,PT3M45S,0,TRUE,7768869,none,rectangular,2014-02-20T20:00:03.000Z,,CDIQAA,"['Katy perry', 'dark horse', 'official', 'music video', 'juicy j', 'katy perry dark horse', 'dark horse video', 'prism']",Katy Perry - Dark Horse (Official) ft. Juicy J,0KSOMA3QBU0,2425735333
FALSE,10,UComP_epzeKzvBX156r6pm1Q,AdeleVEVO,915320,,xxNoneFoundxx,hd,"‘Hello' is taken from the new album, 25, out November 20. http://adele.com
Available now from iTunes http://smarturl.it/itunes25 
Available now from Amazon http://smarturl.it/25amazon 
Available now from Google Play http://smarturl.it/25gplay
Available now at Target (US Only): http://smarturl.it/target25

Directed by Xavier Dolan, @XDolan

Follow Adele on:

Facebook - https://www.facebook.com/Adele
Twitter - https://twitter.com/Adele 
Instagram - http://instagram.com/Adele

http://vevo.ly/jzAuJ1

Commissioner: Phil Lee
Production Company: Believe Media/Sons of Manual/Metafilms
Director: Xavier Dolan
Executive Producer: Jannie McInnes
Producer: Nancy Grant/Xavier Dolan
Cinematographer:  André Turpin
Production design : Colombe Raby
Editor: Xavier Dolan
Adele's lover : Tristan Wilds",2d,761283,PT6M7S,0,TRUE,13630971,none,rectangular,2015-10-23T06:54:18.000Z,,CDIQAA,"['Adele', '21', '19', 'Someone Like You', 'Chasing Pavements', 'Set Fire to the Rain', 'Rolling in the Deep', 'XL Recordings']",Adele - Hello,YQHsXMglC9A,2402829072
