caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UCzHlP8bj5wHAzOYvrz8eyJA,La fête de la chanson française,14,xxNoneFoundxx,hd,Hommage à Charles Aznavour,2d,0,PT5M52S,0,True,126,none,rectangular,2018-10-01T14:25:01.000Z,,"['fete', 'chanson française', 'musique', 'live', 'variété', 'daniela lumbroso', 'charles aznavour', 'emmenez moi']","Charles Aznavour "" Emmenez moi "" avec P. Bruel, C. Badi et H. Ségara",v_QTtR-uZTM,4790,CDIQAA
false,10,UCXW04XeC3zqz4vhlt70jB8Q,Mister Golightly,80,xxNoneFoundxx,hd,,2d,1,PT18M38S,0,True,215,none,rectangular,2018-09-30T18:45:00.000Z,,"['brendon urie', 'mariah carey', 'riff', 'musical', 'theatre', 'broadway', 'tony', 'oliver', 'awards', 'singer', 'belt', 'belting', 'high', 'note', 'low', 'sing', 'upper', 'chest', 'voice', 'register', 'ariana grande', 'Demi lovato', 'tori kelly', 'adele', 'beyonce', 'whitney houston', 'Christina Aguilera', 'Celine dion', 'Miley cyrus', 'Taylor swift', 'selena', 'gomez', 'wicked', 'mamma mia', 'frozen', 'elsa', 'elphaba', 'defying gravity', 'heathers', 'barrett wilbert weed', 'mean girls', 'hamilton', 'be more chill', 'anastasia', 'book of mormon', 'evita', 'cats']",Willemijn Verkaik's Vocal Range (D3 - A5 - C#6),bQUkNg9xo8E,3198,CDIQAA
false,10,UCAc95d_3dXdd2o9gw6fnk3A,MasteredTraxVEVO,567,xxNoneFoundxx,hd,"Stream: https://Empire.lnk.to/CocainaRemix

Music video by Fuegiezy performing Cocaina (Remix). 2018 Mastered Trax / The Take Over

http://vevo.ly/qabtnf",2d,430,PT4M27S,0,True,8638,none,rectangular,2018-09-27T12:00:06.000Z,,"['Fuegiezy', 'Cocaina', '(Remix)', 'Mastered', 'Trax', 'The', 'Take', 'Over', 'Latin']","Fuegiezy - Cocaina (Remix) ft. Alex Fatt, C-Kan",q8eXke0Y8z8,172007,CDIQAA
false,10,UCIyFeCs6uvy9HU0Bsq60KvA,pianoREADER,222,xxNoneFoundxx,hd,"Watch it again in B: https://www.youtube.com/watch?v=Pat89AmTDw8
♫ Learn piano with the songs you love: http://tinyurl.com/pianoreader-flowkey - sponsored by flowkey
- - - - -
""Canon"" was originally written by Pachelbel in the key of D Major. This version was arranged by George Winston, named ""Variations on the Kanon"", and is in the key of C Major. This video is a remake of my original Canon in C video, in higher quality + left/right separation.
- - - - -
Make sure to subscribe for more Synthesia videos like this one!",2d,105,PT5M41S,0,True,6417,none,rectangular,2014-12-27T18:01:01.000Z,,"['Pachelbel', 'Piano', 'classic', 'Synthesia', 'Canon in C', 'PIANOTEQ 5', 'Canon in D', 'Variations on the Kanon', 'Johann', 'music', 'pianoteq']",Canon in C // PACHELBEL,SbmeMwrQHKs,537021,CDIQAA
false,10,UCbhR0oGTFSh2_JYar28HdRQ,NastyCVEVO,2982,xxNoneFoundxx,hd,"Music video by Nasty C performing King. © 2018 Universal Music (Pty) Ltd South Africa

http://vevo.ly/9OTgwF",2d,765,PT3M9S,0,True,72281,none,rectangular,2018-09-24T04:00:00.000Z,"{'allowed': ['KG', 'KE', 'GR', 'KN', 'KM', 'RW', 'KI', 'KH', 'KW', 'RO', 'KR', 'RE', 'KZ', 'KY', 'CO', 'CN', 'CM', 'CL', 'CK', 'GU', 'CI', 'CH', 'CG', 'CF', 'CD', 'CC', 'CA', 'FM', 'CZ', 'CY', 'CX', 'CW', 'CV', 'CU', 'FO', 'CR', 'JE', 'IN', 'JM', 'JO', 'YE', 'QA', 'BO', 'JP', 'RS', 'YT', 'BL', 'BM', 'BN', 'ZW', 'BH', 'BI', 'BJ', 'BD', 'BE', 'BF', 'BG', 'BA', 'BB', 'BY', 'BZ', 'BT', 'ZM', 'BV', 'BW', 'BQ', 'BR', 'BS', 'TZ', 'ET', 'MO', 'MN', 'MH', 'ES', 'ER', 'ME', 'MD', 'MG', 'MF', 'MA', 'TW', 'MC', 'EE', 'TK', 'EG', 'MY', 'MX', 'EC', 'MZ', 'MU', 'MT', 'MW', 'MV', 'MQ', 'EH', 'MS', 'MR', 'LK', 'ZA', 'LB', 'LC', 'LA', 'SZ', 'SY', 'SX', 'SV', 'ST', 'SR', 'SO', 'SN', 'SM', 'SL', 'LV', 'SJ', 'LT', 'LU', 'SG', 'SE', 'LY', 'SC', 'SB', 'SA', 'DJ', 'LR', 'DO', 'LS', 'MM', 'DE', 'DZ', 'SK', 'GS', 'VA', 'GQ', 'GP', 'GW', 'VE', 'OM', 'GT', 'ML', 'GY', 'SH', 'FJ', 'VN', 'GB', 'GA', 'GG', 'GF', 'GE', 'GD', 'TC', 'GI', 'GH', 'GN', 'GM', 'PS', 'SD', 'MK', 'TR', 'RU', 'PK', 'NI', 'UG', 'NL', 'DK', 'NA', 'NC', 'NE', 'NF', 'NG', 'SI', 'NZ', 'TT', 'US', 'NP', 'FI', 'NR', 'FK', 'UY', 'NU', 'UZ', 'TJ', 'LI', 'DM', 'TH', 'VC', 'TN', 'TO', 'PW', 'PT', 'PR', 'TL', 'IQ', 'IS', 'IR', 'FR', 'PY', 'PF', 'PG', 'TV', 'PE', 'VU', 'IL', 'PA', 'PN', 'UA', 'PL', 'PM', 'IE', 'ID', 'PH', 'AE', 'AD', 'TM', 'AF', 'AI', 'TF', 'NO', 'AM', 'AL', 'AO', 'TG', 'AQ', 'AS', 'AR', 'AU', 'AT', 'AW', 'AX', 'AZ', 'TD', 'WF', 'HT', 'HU', 'HR', 'IT', 'HN', 'HM', 'WS', 'HK', 'MP', 'AG', 'IM', 'VG']}","['Nasty', 'King', 'Universal', 'Music', '(Pty)', 'Ltd.', 'Hip', 'Hop']",Nasty C - King ft. A$AP Ferg,KjwuxQmyeyE,1315727,CDIQAA
false,10,UCVHKa5JCPdK3QJgnKP9MYrg,Jonathan C. Meier,2,en,hd,"Spotify: https://spoti.fi/2y4Id1P
Itunes: https://apple.co/2DIOtCk

Written and performed by Jonathan C. Meier

Produced by HVNDZ
https://www.instagram.com/its_hvndz
https://m.soundcloud.com/hvndz

© Jonathan C. Meier, 2018",2d,0,PT2M36S,0,False,4,none,rectangular,2018-10-01T08:31:35.000Z,,"['savage', 'jonathan', 'c.', 'meier', 'jonathan c. meier', 'jonathan meier', '2018', 'audio', 'r&b']",Jonathan C. Meier - Savage (Audio),D8zJeVjsPtA,112,CDIQAA
false,10,UCCSFseZ6DfCtVO8giGp7GfA,Koba LaD,6825,xxNoneFoundxx,hd,"Nouveau titre ""La C"" disponible ici → https://KobaLaD.lnk.to/LaC
Composé par Tommy Beats
Réalisé par  Nicolas Noël & Ashwin Cazal 

Abonne-toi à la chaîne → http://po.st/KobaLaDYoutube

Retrouvez Koba LaD :
Facebook : https://fr-fr.facebook.com/KobaOfficiel
Twitter : https://twitter.com/koba_officiel
Instagram : https://www.instagram.com/koba_lad
Snapchat : https://www.snapchat.com/add/corodelal

Music video by Koba LaD performing La C. © 2018 Def Jam Recordings France",2d,6261,PT3M1S,0,False,124411,none,rectangular,2018-08-17T13:58:40.000Z,,"['Koba LaD', 'La C', 'LAC', 'La cé', 'lassé', 'KobaLaD', 'Koba', 'Koba La D', 'Koba la dé', 'Evry', '7 Binks', 'Seven Binks', 'bat 7', 'def jam', 'defjam', 'ténébreux', 'double D', '50k', 'studio 50k', 'game over', 'rentable', 'qe favelas', 'guerilla', 'bluesky', 'Rap', 'def jam france', 'Rappeur', 'Musique', 'Nouveau', 'Son', '2018', 'kaaris', 'générations', 'mafia spartiate', 'parc au lievre', 'parcauxlievres', 'parc o lievre', '91', 'yard', 'yard summer club', 'Train de vie', 'Nicolas Noel', 'NVZ Prod', 'rk', 'niska', 'ninho', 'bicrave', 'booska p', ""son d'été"", 'barbeuc', 'bolemvn', 'wlg']",Koba LaD - La C,PXNfg73vqn4,9975392,CDIQAA
false,10,UCLVVBWrp9jw4-SYUoU42hcg,Robin Schulz,41186,xxNoneFoundxx,hd,"► Get PRAYER here: http://wmg.click/RobinSchulz_PrayerYo
► Get SUGAR here: http://wmg.click/RobinSchulz_PrayerYo

Check out the Club Highlights on Spotify. The Playlist with the hottest club tracks: http://wmg.cc/ClubLights

Visit Robin Schulz here:
►http://www.robin-schulz.com
►https://www.facebook.com/robin.schulz.official
►https://twitter.com/robin_schulz
►http://instagram.com/robin__schulz#

Visit Lilly Wood & The Prick here:
https://www.youtube.com/channel/UC5PkLczg-CCI7niCyQaI-MQ
https://www.facebook.com/lillywoodandtheprick
https://twitter.com/LWATP

Is club music allowed to be melancholy once in awhile? Absolutely, it even has to be. At least when the French alternative-pop-folk superstars Nili Hadida and Benjamin Cotto, alias Lilly Wood & The Prick, have their way. Their haunting melody ""Prayer in C"" was quickly snatched up by the DJ, producer and label owner Robin Schulz from Osnabruck, Germany, and sublimated into a shining dancefloor pearl!

At the beginning of this year the head of Lausbuben Records (""Rascal"" Records) and star DJ Robin Schulz already entered the Top 40 of the German iTunes charts with his single ""Sunset"". Last March he shoved none less than Pharrell Williams from the charts throne with his ""Waves"" remix for the Dutch rapper Mr. Probz and took a cosy position at Number One in the German singles, iTunes, airplay and dance hitparade charts. But this is not all because Robin Schulz is more than successful on an international level.  The ""Waves"" remix stayed at #24 in the global iTunes Single Charts, at #21 in the global Spotify Charts and has held a Top 10 position in the Beatport Charts for more than three months. Following acclaimed live appearances in Germany, Holland, France and the UK, the Soundcloud-plays millionaire reached into his electronic bag of tricks and delivers a preview for the upcoming summer holidays with his deep house style remix of Lilly Wood & The Prick's ""Prayer in C"".

It's a superstar collaboration: ""Prayer in C"" is the acoustic counterpart to an open air summer party night in the Provence: the scent of lavender in the air and an atmosphere somewhere between melancholy and euphoria. The track is driven by the absolutely captivating, goose-bump-inducing voice of Nili Hadidas, who with her sexy-smoky timbre, the haunting lyrics as well as Benjamin Cotto's wistful acoustic guitar melody create the organic vibe. The Robin Schulz remix underlays the track with a tight straight-on beat that transforms the original folk-pop track into an energic. melody-house club hymn. And Schulz must know how to do it: nearly 113,000 Soundcloud followers, who clicked his tracks several million times altogether, can't be wrong (for example, ""Willst Du"" has more than 1.2 million clicks or ""Sunset"" more than 820,000). And also his YouTube videos for his bootlegs with millions of clicks show that Robin Schulz knows how to seize the latest sound and serve it up to the masses in a sizzling new package. At the moment Robin Schulz is experiencing the hottest clubs in Europe on an extending tour. And the original creators of the track, the Paris duo Lilly Wood & The Prick don't have to play themselves down as far as fame is concerned. At home in France, the duo advanced to genuine superstars following their double-platinum debut abum. At the beginning of the year, one album track, ""Into Trouble"" was used in a TV spot for the noble jewelry brand Cartier. Together with Robin Schulz they deliver the next club diamond with ""Prayer in C (Robin Schulz Remix)"".

Director: Maxim Rosenbauer
DoP: Dimitri Hempel
Producer: Jana Ehrpunkt
Editor: Kolja Frase
The Dog: Don
An EASYdoesit Production",2d,54761,PT3M14S,0,True,2047937,none,rectangular,2014-05-20T13:59:30.000Z,"{'blocked': ['FR', 'PM', 'NC', 'WF', 'GP', 'PF', 'RE', 'YT', 'GF', 'MQ']}","['Berlin', 'electro', 'Prayer in c', 'payer in c', 'schuz', 'lilywood', 'wood', 'picks', 'robin', 'deep house', 'lilly', 'DJ', 'new', 'robbin', 'schutz', 'track', 'house', 'Germany', 'prayer in c', 'payer', 'remix', 'robin schulz', 'lily', 'Robin Schulz', 'dance', 'schulz', 'lily woods and the picks', 'Lilly Wood & The Prick (Musical Group)', 'Deep House', 'official', 'Prayer In C (Robin Schulz Remix)']",Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official),fiore9Z5iUg,504576130,CDIQAA
false,10,UCp-_AjOrkH5Xq9Km8T7voMg,OfficialCKanVEVO,20852,xxNoneFoundxx,hd,"From the album,""Voy Por El Sueno de Muchos"" Available on iTunes! http://tinyurl.com/aob9fqc
Amazon Music - http://tinyurl.com/dxyhpxv
Google Play - http://tinyurl.com/d2tuhee

Music video by C-Kan performing Esta Vida Me Encanta (feat. La Mafia Dela C). 2013 Mastered Trax / C-Mobztas",2d,21508,PT5M11S,0,True,337938,none,rectangular,2013-02-26T23:55:03.000Z,,"['C-Kan', 'Esta', 'Vida', 'Me', 'Encanta', '(feat.', 'La', 'Mafia', 'Dela', 'C)', 'Mastered', 'Trax', 'Latino', 'Rap/Hip-Hop', 'Mastered Trax / C-Mobztas']","C-Kan - Esta Vida Me Encanta ft. Zimple, Don Aero",B7KGgW90T9g,63005590,CDIQAA
false,10,UCp-_AjOrkH5Xq9Km8T7voMg,OfficialCKanVEVO,19692,xxNoneFoundxx,hd,"From the album, ""Clasificación C, Vol. 1"".  Available Now!
iTunes: http://tinyurl.com/l7ybg6c
Amazon Music: http://tinyurl.com/mft6abt
Google Play: http://tinyurl.com/kcowknn

Official music video by C-Kan performing Viajando En Una Nube feat. Pipo Ti. 2014 Mastered Trax / C-Mobztas",2d,23418,PT4M22S,0,True,363188,none,rectangular,2014-12-02T14:57:47.000Z,,"['C-Kan', 'Viajando', 'En', 'Una', 'Nube', 'Mastered', 'Trax', 'C-Mobztas', 'Rap/Hip-Hop', 'rap', 'hiphop', 'hip hop', 'hip-hop', 'c-kan', 'viajando', 'en', 'una', 'nube', 'official music video', 'official', 'music', 'video', 'clasificacion c', 'vol 1', 'mexico', 'mexican', 'mexican rap', 'spanish']",C-Kan - Viajando En Una Nube ft. Pipo Ti,25vE9TFFKBE,64522752,CDIQAA
