caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token,contentRating
true,10,UC1apAUvbPCHf3pO2RxIkvOg,LAST PROJEKT RECORDS,3473,xxNoneFoundxx,hd,"BOOKING/FELLÉPÉS:
Kerekes Rajmund 06204858166
lastprojektrecords@gmail.com

NEMAZALÁNY x LIL G TERMÉKEK:
https://videosbolt.hu/nemazalany_lil_g

BEAT: LAST PROJEKT BEATS
https://www.facebook.com/lastprojektbeats
VIDEOKLIP UTÓMUNKA/VÁGÁS: LAST PROJEKT RECORDS
https://www.facebook.com/lastprojektrecords

Ha tetszett a video, akkor iratkozz fel a csatornánkra, 
illetve kövess be minket Facebookon és Instagramon is! 👊

LAST PROJEKT RECORDS
Facebook: https://www.facebook.com/lastprojektrecords

NEMAZALÁNY
Facebook: https://www.facebook.com/nemazalany
Instagram: https://www.instagram.com/nemazalany

LIL G
Facebook: https://www.facebook.com/lilghivatalos
Instagram: https://www.instagram.com/lil_g_officiial

#LILG #MANIPULACIO #LASTPROJEKTRECORDS",2d,4027,PT3M35S,0,True,18545,none,rectangular,2018-09-30T16:19:39.000Z,,"['scorched', 'crew', 'rap', 'shenki', 'flow', 'levis', 'ének', 'bárhol', 'jársz', 'szívvel', 'élünk', 'escéhá', 'tudom', 'hogy', 'szereted', 'eccpecc', 'kajatin', 'vágányik', 'lilg', 'nemazalány', 'lilg szolo', 'lilg manipulacio', 'manipulacio', 'manipuláció', 'mucho gusto', 'holahola', 'itt már mindenki', 'petőfi sándor', 'hollywoodi', 'malubuli', 'malibu', 'malibuli', 'last projekt', 'lpr', 'lastprojektrecords', 'laskai lili', 'halastyák fanni', 'trashkat', 'trap csaj', 'magyar rap csaj', 'csaj rap']",LIL G - Manipuláció (Official Music Video),efQJ8Bspx-4,283739,CDIQAA,
false,10,UC2OcG7ukBiYMe1CdlfFJgNg,I Love OPM,9,xxNoneFoundxx,hd,"Kenny G Greatest Hits Full Album 2018 | The Best Songs Of Kenny G | Best Saxophone Love Songs 2018 
Kenny G Greatest Hits Full Album 2018 | The Best Songs Of Kenny G | Best Saxophone Love Songs 2018 
Kenny G Greatest Hits Full Album 2018 | The Best Songs Of Kenny G | Best Saxophone Love Songs 2018 
**Thanks Fan's OPM Love Songs for timing this Share, comment, Subscribe **


☞ Follow facebook : https://goo.gl/ebZJzS
☞ Subscribe : https://goo.gl/DK4wfY
☞ Twitter : https://goo.gl/ZiIjo9
♫ Love Songs playlist : https://goo.gl/hbDwWp
♫ Nonstop OPM playlist : https://goo.gl/ewUj7A


* None of these images, music & video clips were created/owned by us. 
* This video is purely fan-made, if you (owners) want to remove this video, please CONTACT US DIRECTLY before doing anything. We will respectfully remove it.

Tags :

opm,opm songsnonstop,love songs,opm 2017,best opm,hugot,nonstop love songs,opm romantic,opm love songs collection,opm songs romantic,pilipino,opm nonstop,opm love songs,opm collection,english songs,
inspirational,opm lovesongs,opm playlist,opm album,opm nonstop 2017,opm video,opm nonstop love songs,love songs collection,top opm songs,top opm,opm love songs playlist,lovesongs,love songs opm",2d,53,PT1H29M56S,0,True,367,none,rectangular,2018-09-28T23:15:01.000Z,,"['Kenny G', 'Kenny G live', 'Kenny G Greatest Hits', 'Kenny G Greatest Hits Full Album 2017', 'Top 30 Best Songs Of Kenny G', 'Kenny G Best Songs', 'Top Hits Kenny G', 'Kenny G Full Playlist', 'Kenny G Album', 'Kenny G Full Album', 'Kenny G 2017', 'the very Best of Kenny G', 'Kenny G Songs', 'Kenny G Collection', 'The Moment', 'Forever in Love', 'My Heart Will Go On', 'Songbird', 'The Wedding Song', 'Silhouette']",Kenny G Greatest Hits Full Album 2018 | The Best Songs Of Kenny G | Best Saxophone Love Songs 2018,1Un39ToH5pU,121163,CDIQAA,
false,10,UCjjC1Jk_1o1VWpLalgo21XQ,GEazyMusicVEVO,72460,xxNoneFoundxx,hd,"New Album ‘The Beautiful & Damned’ Available Everywhere http://smarturl.it/TBAD
Get exclusive TB&D bundles here: http://smarturl.it/TBAD/officialstore
Subscribe for more exclusive G-Eazy footage: http://bit.ly/GEazyYTSub
G-Eazy Official Site: http://g-eazy.com/
G-Eazy On Twitter: https://twitter.com/G_Eazy
G-Eazy On Facebook: https://www.facebook.com/G.Eazy
G-Eazy on Instagram: https://www.instagram.com/g_eazy",2d,110819,PT6M35S,0,True,1719089,none,rectangular,2017-12-19T20:00:05.000Z,"{'allowed': ['LK', 'LI', 'SS', 'SR', 'SV', 'LB', 'LC', 'LA', 'SZ', 'SY', 'SX', 'SG', 'MQ', 'SE', 'LY', 'SC', 'SB', 'SA', 'IL', 'LR', 'LS', 'SM', 'SL', 'LV', 'SJ', 'LT', 'LU', 'AL', 'ST', 'AX', 'MH', 'MK', 'MM', 'ML', 'MO', 'MN', 'MA', 'TK', 'MC', 'TN', 'TO', 'MG', 'MF', 'MY', 'MX', 'MZ', 'TV', 'TW', 'TT', 'TZ', 'MP', 'MS', 'MR', 'MU', 'MT', 'MW', 'MV', 'DZ', 'BL', 'SD', 'KP', 'DE', 'DJ', 'DK', 'DO', 'DM', 'NL', 'NO', 'NI', 'UG', 'NE', 'NF', 'NG', 'UM', 'NA', 'NC', 'SO', 'US', 'CD', 'NZ', 'SN', 'UY', 'NU', 'UZ', 'NP', 'NR', 'KZ', 'ES', 'ER', 'BG', 'ET', 'SK', 'CO', 'EC', 'EE', 'SI', 'EG', 'CN', 'EH', 'SH', 'BY', 'VE', 'VG', 'VA', 'VC', 'VN', 'VI', 'CR', 'VU', 'CH', 'IO', 'OM', 'FR', 'CV', 'CU', 'FM', 'FO', 'FI', 'FJ', 'FK', 'UA', 'HT', 'HU', 'HR', 'KI', 'WF', 'HN', 'HM', 'HK', 'GY', 'GS', 'GR', 'GQ', 'GP', 'GW', 'GU', 'GT', 'BH', 'GI', 'GH', 'GN', 'GM', 'GL', 'GB', 'GA', 'CX', 'GG', 'GF', 'GE', 'GD', 'PN', 'IT', 'PL', 'PM', 'IQ', 'PK', 'IS', 'IR', 'PF', 'PG', 'PE', 'PA', 'IE', 'ID', 'PY', 'IM', 'PW', 'PT', 'IN', 'PR', 'PS', 'TD', 'BA', 'BB', 'BD', 'BE', 'BF', 'TC', 'JP', 'BI', 'BJ', 'BW', 'QA', 'BM', 'BN', 'BO', 'BQ', 'BR', 'BS', 'BT', 'JM', 'BV', 'JO', 'TF', 'BZ', 'JE', 'TG', 'YE', 'PH', 'AZ', 'TJ', 'AT', 'AW', 'AQ', 'AS', 'AR', 'AM', 'YT', 'AO', 'AI', 'AE', 'AD', 'AG', 'AF', 'TH', 'CG', 'CF', 'RS', 'CC', 'RU', 'KY', 'RW', 'KW', 'ME', 'CM', 'CL', 'CK', 'KR', 'CI', 'MD', 'CW', 'KN', 'KM', 'RE', 'TL', 'KH', 'KG', 'KE', 'TM', 'WS', 'CZ', 'CY', 'RO', 'TR', 'ZM', 'ZA', 'AU', 'CA', 'ZW']}","['BPG/RVG/RCA Records', 'G-Eazy feat. A$AP Rocky', 'Cardi B', 'French Montana', 'Juicy J & Belly', 'No Limit REMIX', 'Rap']","G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",l_lblj8Cq0o,200995140,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,22936,xxNoneFoundxx,hd,"Listen to the official audio for ""Bad Boy"" by G-Eazy.

SUBSCRIBE for more: http://bit.ly/subWSHH 

Follow WorldstarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar
https://facebook.com/worldstarhiphop
http://instagram.com/worldstar
 
Shop WorldStar:
http://shop.worldstarhiphop.com

Watch more WorldstarHipHop:
Rapper Relationship Advice: https://youtube.com/playlist?list=PLcK0neBMyFxQ6doeFSHbkI5LIQ9Fv_jdZ&playnext=1
Official Music Videos: https://youtube.com/playlist?list=PLcK0neBMyFxSpYgDfKCsHRwgxlN-Tnt9D&playnext=1
Official Audio Tracks: https://youtube.com/playlist?list=PLcK0neBMyFxSLGtARgI2OzwpGvw2tz9Ep&playnext=1
Newest Videos: https://youtube.com/playlist?list=PLcK0neBMyFxTF85bfUSUXiKiDy_AlNsu2&playnext=1

WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.

Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.

We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.",2d,18662,PT3M22S,0,True,113670,none,rectangular,2018-09-04T08:40:29.000Z,,"['world star hip hop', 'worldstarhiphop', 'worldstar', 'world star', 'worldstar youtube', 'youtube worldstar', 'worldstarhiphop youtube', 'youtube worldstarhiphop', 'worldstarhiphop channel', 'wshh', 'hip hop', 'hip hop music', 'rap', 'rap music', 'music', 'music video', 'exclusive', 'WSHH exclusive']","G-Eazy ""Bad Boy"" (Machine Gun Kelly Diss) (WSHH Exclusive - Official Audio)",QtH9wiSd1DU,5945646,CDIQAA,
true,10,UCjjC1Jk_1o1VWpLalgo21XQ,GEazyMusicVEVO,85956,xxNoneFoundxx,hd,"‘These Things Happen’ Available Now iTunes: http://smarturl.it/TheseThingsHappen?IQid=yt Director - Bobby Bruderle  Producer - Abby Vo  Music video by G-Eazy feat. Remo performing I Mean It. (C) 2014

Follow G-Eazy
Website: https://g-eazy.com
Facebook: https://www.facebook.com/G.Eazy
Twitter: https://twitter.com/G_Eazy
Instagram: https://www.instagram.com/g_eazy

Listen to G-Eazy
iTunes: https://itunes.apple.com/bs/artist/g-eazy/id275649746
Spotify: https://open.spotify.com/artist/02kJSzxNuaWGqwubyUba0Z""",2d,96395,PT3M58S,0,True,2121273,none,rectangular,2014-05-28T19:30:00.000Z,"{'allowed': ['BZ', 'BY', 'BR', 'BS', 'BQ', 'BV', 'BW', 'BT', 'BJ', 'BH', 'BI', 'BN', 'BO', 'BL', 'BM', 'BB', 'BA', 'BF', 'BG', 'BD', 'BE', 'JE', 'JO', 'JM', 'JP', 'LU', 'GQ', 'GP', 'GS', 'GR', 'GU', 'GT', 'GW', 'GY', 'KG', 'GA', 'GB', 'GE', 'GD', 'GG', 'GF', 'GI', 'GH', 'GM', 'GL', 'GN', 'TZ', 'IL', 'TR', 'TT', 'TV', 'TW', 'TH', 'KM', 'TJ', 'TK', 'OM', 'TM', 'TN', 'TO', 'TC', 'TD', 'TF', 'TG', 'KI', 'UZ', 'UY', 'HT', 'HU', 'HR', 'HM', 'HN', 'UM', 'HK', 'VC', 'TL', 'UA', 'UG', 'FO', 'KR', 'SN', 'FJ', 'FK', 'MS', 'MR', 'MQ', 'EH', 'MW', 'MV', 'MU', 'MT', 'EC', 'MZ', 'MY', 'WF', 'EG', 'EE', 'RE', 'MC', 'MA', 'ZA', 'MG', 'MF', 'ME', 'MD', 'ES', 'ER', 'MH', 'MO', 'MN', 'MM', 'ZM', 'NU', 'SA', 'DK', 'ID', 'SM', 'SL', 'SO', 'FM', 'NR', 'SH', 'NP', 'FI', 'SE', 'SD', 'SG', 'PG', 'NZ', 'WS', 'SC', 'SB', 'NF', 'NG', 'NE', 'SY', 'SX', 'SZ', 'NO', 'NL', 'SI', 'FR', 'IN', 'SS', 'SR', 'CY', 'CX', 'CZ', 'CU', 'IT', 'CW', 'CV', 'CR', 'CM', 'CL', 'CO', 'MP', 'CI', 'CH', 'CK', 'ST', 'CD', 'CG', 'CF', 'CA', 'CC', 'RO', 'KE', 'PE', 'PF', 'SK', 'PA', 'PL', 'PM', 'PN', 'KN', 'PH', 'KH', 'PK', 'PT', 'KW', 'PW', 'KP', 'PR', 'PS', 'NI', 'KY', 'PY', 'KZ', 'SJ', 'MX', 'NC', 'YT', 'RU', 'IO', 'DJ', 'LS', 'LT', 'DM', 'LV', 'DO', 'LY', 'DE', 'LA', 'DZ', 'LC', 'LI', 'LK', 'LB', 'AW', 'NA', 'AU', 'AT', 'AS', 'AR', 'AQ', 'YE', 'AZ', 'AX', 'AG', 'AF', 'AE', 'AD', 'MK', 'RS', 'AO', 'SV', 'AM', 'AL', 'AI', 'LR', 'VE', 'QA', 'VU', 'IS', 'IR', 'IQ', 'RW', 'VN', 'US', 'IM', 'CN', 'ZW', 'VI', 'VG', 'IE', 'ML', 'ET', 'VA']}","['G Eazy', 'Geazy', 'Geazyvevo', 'vevo', 'official', 'video', 'music video', 'hq', 'single', 'album', 'rap', 'hip hop', 'featuring Remo', 'I Mean ItCalm Down', 'When Its Dark Out', 'You Got Me', 'Random', 'Drifting', 'Tumblr Girls', 'Lets Get Lost', 'Some Kind of Drug', 'Order More', 'Me Myself and I', 'BPG/RVG/RCA Records', 'G-Eazy feat. Remo', 'I Mean It', 'Rap']",G-Eazy - I Mean It (Official Music Video) ft. Remo,CxnaPa8ohmM,321873840,CDIQAA,
false,10,UCBkNpeyvBO2TdPGVC_PsPUA,G-Eazy,5522,xxNoneFoundxx,hd,"The Beautiful & Damned pre-order
Multi: http://smarturl.it/TBAD

DOWNLOAD ON ITUNES :: https://itun.es/i6Ft6N3
http://G-Eazy.com
http://twitter.com/g_eazy
http://facebook.com/g.eazy

Director & Director of Photography
Bobby Bruderle

Stylists & Creative Direction 
Gabe Garcia
Earl Martin

Executive Producer + Artist Management
Matt Bauerschmidt

Producer / UPM   
Abby Vo

Editor
Ben Wolin

Layout/Type
John Liwag

Production Company
Deltree

1st Assistant Director
Nick King

Gaffer 
Matt Stouppe

Key Grip 
Joe Heath

Camera Operator
Dillon Schneider 

1st Assistant Camera
Jon Chema

Best Boy Electric 
Julien de Benedictis

Best Boy Grips         
Jeff Cole
David Lanes

Dolly Grip     
Alyssa Moran

Dimmer Board Operator    
Zander Kroon

Grip 
Darren Rae

PA's   
Kevin Henry 
Clifford Parks

Stage Intern   
Mareika Greiss

Graphics Consultant
Burke Miles


Special Thanks to: LMA Productions LLC, Lexus Lighting, RTMS Lighting, Devon Baldwin, Marcus Grimes, Liza Nichayeva

Shot on the RED Epic with Angenieux Optics

Check Out More G-Eazy Music:
G-Eazy Official Music Videos - http://bit.ly/2b1rjqy
G-Eazy B-Sides - http://bit.ly/2aZTEAd

Watch G-Eazy’s Exclusive Web Series:
The Endless Summer Tour Series - http://bit.ly/2bHAGOT
When It’s Dark Out Series - http://bit.ly/2bndqVE
The Rise Series - http://bit.ly/2b1eSbg
From The Bay To The Universe - http://bit.ly/2aZvQXf
These Things Happen Series - http://bit.ly/2b1rO3O
The Life & Times Of Young Gerald - http://bit.ly/2b1sUMV",2d,5313,PT4M9S,0,False,159874,none,rectangular,2013-12-11T19:06:43.000Z,,"['music video', 'marilyn', ""when it's dark out"", 'bebe rexha', 'hypebeast', 'hip hop', 'free and easy', 'geazy', 'high times', 'g-eazy', 'gq', 'magazine cover', 'bobby bruderle', 'runaround sue', 'endless summer', 'g eazy', 'xxl', 'fader', 'g-eazy me myself', 'g eazy 2016', 'g easy', 'been on', 'these things happen', 'Almost famous', 'rolling stone', 'beautiful damned', 'one shot', 'christoph andersson', 'forbes', 'far alone', 'vice', 'one take', 'loaded', 'east bay express', 'john liwag', 'esquire']",G-Eazy - Almost Famous (Official Music Video),7LnEeRidcXw,30071944,CDIQAA,
false,10,UCjjC1Jk_1o1VWpLalgo21XQ,GEazyMusicVEVO,10824,xxNoneFoundxx,hd,"New Album ‘The Beautiful & Damned’ Available Everywhere December 15 http://smarturl.it/TBAD
 
Pre-order exclusive TB&D bundles here: http://smarturl.it/TBAD/officialstore
 
Apple Music: http://smarturl.it/TBAD/applemusic
Spotify: http://smarturl.it/TBAD/spotify
iTunes: http://smarturl.it/TBAD/itunes
Amazon Music: http://smarturl.it/TBAD/az
Google Play: http://smarturl.it/TBAD/googleplay
YouTube: http://smarturl.it/TBAD/youtube
 
Subscribe for more exclusive G-Eazy footage: http://bit.ly/GEazyYTSub
 
G-Eazy Official Site: http://g-eazy.com/
G-Eazy On Twitter: https://twitter.com/G_Eazy
G-Eazy On Facebook: https://www.facebook.com/G.Eazy
G-Eazy on Instagram: https://www.instagram.com/g_eazy

G-Eazy new album ""When It's Dark Out"" Available Now! Get it on:
iTunes: http://smarturl.it/GEazyWIDO?IQid=yt
Stream on Spotify: http://smarturl.it/GEazyWIDOs?IQid=yt
Google Play: http://smarturl.it/GEazyWIDOg?IQid=yt
Amazon: http://smarturl.it/GEazyWIDOa?IQid=yt",2d,18411,PT3M30S,0,True,370799,none,rectangular,2016-02-18T17:00:01.000Z,"{'allowed': ['EE', 'EG', 'EC', 'EH', 'ET', 'ES', 'ER', 'MP', 'JP', 'US', 'UY', 'UZ', 'JE', 'UG', 'UA', 'UM', 'JM', 'JO', 'HM', 'BL', 'BM', 'BN', 'BO', 'BH', 'BI', 'BJ', 'BD', 'BE', 'BF', 'BG', 'BA', 'BB', 'BY', 'BZ', 'HK', 'BT', 'MC', 'BV', 'BW', 'BQ', 'BR', 'BS', 'ZA', 'GY', 'GW', 'RU', 'GU', 'GT', 'GS', 'GR', 'GQ', 'GP', 'GN', 'GM', 'GL', 'GI', 'GH', 'GG', 'GF', 'GE', 'GD', 'GB', 'GA', 'RW', 'MR', 'HN', 'FM', 'RS', 'LK', 'LI', 'WF', 'LB', 'LC', 'LA', 'RO', 'LY', 'LV', 'LT', 'LU', 'LR', 'LS', 'DE', 'DO', 'DM', 'DJ', 'DK', 'PR', 'RE', 'DZ', 'IQ', 'TW', 'IS', 'IR', 'TR', 'IT', 'TZ', 'TF', 'TG', 'TD', 'ID', 'IE', 'TC', 'TN', 'TO', 'TL', 'TM', 'TJ', 'IL', 'IO', 'IN', 'AI', 'AM', 'AL', 'AO', 'AE', 'AD', 'AG', 'AF', 'AX', 'AZ', 'AQ', 'AS', 'AR', 'AU', 'AT', 'AW', 'NA', 'NC', 'YE', 'NE', 'NF', 'NG', 'MY', 'NI', 'FR', 'MX', 'NL', 'FJ', 'NO', 'NP', 'FI', 'NR', 'FK', 'NU', 'FO', 'QA', 'NZ', 'YT', 'TV', 'OM', 'TT', 'MN', 'ZM', 'VI', 'KI', 'KH', 'KN', 'KM', 'ZW', 'VA', 'VC', 'KG', 'VE', 'KE', 'VG', 'KZ', 'KY', 'PS', 'KR', 'KP', 'KW', 'VU', 'CC', 'CA', 'MF', 'CG', 'CF', 'CD', 'CK', 'CI', 'CH', 'CO', 'CN', 'CM', 'CL', 'CR', 'WS', 'CW', 'CV', 'CU', 'CZ', 'CY', 'CX', 'HR', 'SR', 'SV', 'HT', 'HU', 'SZ', 'SY', 'SX', 'SC', 'SB', 'SA', 'SG', 'MQ', 'SE', 'SD', 'SK', 'SJ', 'SI', 'SH', 'SO', 'SN', 'SM', 'SL', 'SS', 'VN', 'MZ', 'MV', 'MM', 'ML', 'MO', 'PY', 'MH', 'MK', 'ME', 'MD', 'MG', 'ST', 'MA', 'PW', 'PT', 'TK', 'PK', 'PH', 'IM', 'PN', 'TH', 'PL', 'PM', 'MU', 'MT', 'MW', 'PA', 'PF', 'PG', 'MS', 'PE']}","['BPG/RVG/RCA Records', 'G-Eazy feat. Starrah', 'Order More', 'Rap']",G-Eazy - Order More ft. Starrah,UI9WCl4Cd8E,51867011,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,1784,xxNoneFoundxx,hd,"Watch the official music video for ""Pull Up"" by G Herbo.

G Herbo's ""Strictly 4 My Fans"" out now! Stream here on Spotify: https://open.spotify.com/artist/5QdEbQJ3ylBnc3gsIASAT5
Directed by Lvtr Kevin & Lvtr Tone.
Machine Entertainment Group.

SUBSCRIBE to the Official WorldStarHipHop Channel for more original WorldStar material, music video premieres, and more: http://goo.gl/jl4las

More WorldStarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar (Follow)
https://fb.com/worldstarhiphop (Like)
http://instagram.com/worldstar (Photos)
http://shop.worldstarhiphop.com (Shop)",2d,2118,PT3M39S,0,False,91693,none,rectangular,2016-11-25T18:00:25.000Z,,"['g herbo pull up', 'G Herbo', 'Pull Up', 'Lil Herb', 'G Herbo Pull Up', 'Herb Pull Up', 'Strictly 4 My Fans', 'Strictly 4 my fans EP', 'g herbo music', 'g herbo 2016', 'g herbo music video', 'chicago', 'pull up g herbo', 's4mf', 'new hip hop songs', 'rap', 'hip hop', 'g herbo youtube', 'youtube g herbo', 'pull up music video', 'pull up video', 'g herbo music videos', 'g herbo video', 'worldstar', 'worldstarhiphop', 'worldstar youtube', 'worldstarhiphop youtube', 'g herbo strictly 4 my fans']","G Herbo ""Pull Up"" (WSHH Exclusive - Official Music Video)",isWE91LjbwI,6141287,CDIQAA,
false,10,UCJrREGJ2R1mMuKJkZ8SMCcA,BeckyGVEVO,283649,xxNoneFoundxx,hd,"Becky G feat. Bad Bunny - ""Mayores"" (Official Music Video)
""Mayores"" feat. Bad Bunny is available now on these digital platforms:
Choose Your Platform: https://SML.lnk.to/Mayores
iTunes: http://smarturl.it/Mayores
Apple Music: http://smarturl.it/MayoresA
Spotify: http://smarturl.it/MayoresSp
Amazon: http://smarturl.it/MayoresAm
Google Play: http://smarturl.it/MayoresGP
 
Follow Becky G!
Official Site: http://iambeckyg.com
Instagram: http://smarturl.it/BeckyGInstagram
Facebook: http://smarturl.it/BeckyGFB
Twitter: http://smarturl.it/BeckyGTW
Official music video by Becky G feat. Bad Bunny performing ""Mayores."" (C) 2017 Kemosabe Records/RCA Records/Sony Music Entertainment US Latin LLC",2d,554891,PT3M32S,0,True,4649335,none,rectangular,2017-07-14T04:00:00.000Z,"{'allowed': ['WS', 'DZ', 'LC', 'LA', 'IQ', 'LK', 'LI', 'LV', 'DO', 'LT', 'DM', 'DJ', 'DK', 'DE', 'LY', 'MA', 'TL', 'LS', 'IN', 'ME', 'MG', 'MD', 'TN', 'TO', 'MC', 'TM', 'TJ', 'TK', 'TH', 'MF', 'TF', 'TG', 'TD', 'ER', 'MM', 'TC', 'MO', 'MN', 'MQ', 'MP', 'MS', 'MR', 'MU', 'MT', 'MW', 'MH', 'MY', 'TW', 'EC', 'MZ', 'EE', 'ES', 'EG', 'BL', 'BM', 'BN', 'BO', 'BH', 'BI', 'BJ', 'BD', 'BE', 'BF', 'BG', 'BA', 'BB', 'ET', 'PR', 'BY', 'BZ', 'BT', 'BV', 'BW', 'BQ', 'BR', 'BS', 'JP', 'EH', 'UA', 'AZ', 'ZM', 'UG', 'UY', 'JE', 'UZ', 'SL', 'JM', 'US', 'JO', 'LR', 'CO', 'CN', 'CM', 'CL', 'CK', 'CI', 'CH', 'CG', 'CF', 'MV', 'CC', 'CA', 'TV', 'MK', 'CY', 'MX', 'CW', 'LB', 'CU', 'CR', 'KW', 'KR', 'KP', 'RU', 'RW', 'KZ', 'KY', 'RS', 'KG', 'KE', 'RO', 'KN', 'KM', 'IR', 'KI', 'KH', 'CX', 'CZ', 'CV', 'CD', 'HR', 'SZ', 'HT', 'HU', 'SV', 'ST', 'SS', 'SR', 'ML', 'SO', 'SN', 'SM', 'LU', 'SK', 'SJ', 'SI', 'SH', 'SG', 'HK', 'SE', 'SD', 'HN', 'SB', 'SA', 'HM', 'AE', 'AD', 'AG', 'AF', 'AM', 'AL', 'AO', 'AI', 'AU', 'TR', 'AW', 'SY', 'AQ', 'AS', 'AR', 'YE', 'AX', 'ZA', 'IM', 'IL', 'IO', 'PY', 'IE', 'PS', 'PW', 'PT', 'PK', 'PH', 'PN', 'PL', 'PM', 'IT', 'PA', 'SX', 'PG', 'IS', 'PE', 'FI', 'FJ', 'FK', 'FM', 'FO', 'FR', 'WF', 'NI', 'NL', 'NO', 'NA', 'NC', 'NE', 'NF', 'NG', 'PF', 'NZ', 'ZW', 'QA', 'YT', 'NP', 'NR', 'NU', 'GB', 'GA', 'GG', 'GF', 'GE', 'GD', 'GI', 'GH', 'GN', 'GM', 'GL', 'GS', 'GR', 'GQ', 'GP', 'GW', 'GU', 'GT', 'UM', 'GY', 'TZ', 'VU', 'OM', 'SC', 'TT', 'ID', 'VA', 'VC', 'VE', 'VG', 'VI', 'RE', 'VN', 'AT']}","['Becky G feat. Bad Bunny Music', 'Becky G feat. Bad Bunny Official Video', 'Becky G feat. Bad Bunny Video', 'Becky G feat. Bad Bunny Video Oficial', 'Becky G feat. Bad Bunny Nuevo Video', 'Becky G feat. Bad Bunny New Video', 'Mayores Official Video', 'Mayores Single', 'Becky G feat. Bad Bunny New Single', 'Becky G feat. Bad Bunny Single', 'Becky G feat. Bad Bunny Mayores', 'Becky G & Bad Bunny', 'Kemosabe Records/RCA Records/Sony Music Latin', 'Latin', 'Mayores']","Becky G, Bad Bunny - Mayores (Official Video)",GMFewiplIbw,1338031517,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,2931,xxNoneFoundxx,hd,"Watch the official music video for ""Bonjour"" by G Herbo.

Swervo by G Herbo & Southside available now: http://smarturl.it/SwervoGH

More G Herbo:
https://www.facebook.com/gherbomusic/
http://www.twitter.com/gherbo/
https://www.instagram.com/nolimitherbo/
https://www.soundcloud.com/gherbo/
http://spoti.fi/1LwQTBk 
https://www.gherbo.com/

SUBSCRIBE for more: http://bit.ly/subWSHH 

Follow WorldstarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar
https://facebook.com/worldstarhiphop
http://instagram.com/worldstar
 
Shop WorldStar:
http://shop.worldstarhiphop.com

Watch more WorldstarHipHop:
Rapper Relationship Advice: https://youtube.com/playlist?list=PLcK0neBMyFxQ6doeFSHbkI5LIQ9Fv_jdZ&playnext=1
Official Music Videos: https://youtube.com/playlist?list=PLcK0neBMyFxSpYgDfKCsHRwgxlN-Tnt9D&playnext=1
Official Audio Tracks: https://youtube.com/playlist?list=PLcK0neBMyFxSLGtARgI2OzwpGvw2tz9Ep&playnext=1
Newest Videos: https://youtube.com/playlist?list=PLcK0neBMyFxTF85bfUSUXiKiDy_AlNsu2&playnext=1

WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.

Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.

We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.",2d,1989,PT3M30S,0,False,49098,none,rectangular,2018-09-05T19:29:25.000Z,,"['world star hip hop', 'worldstarhiphop', 'worldstar', 'world star', 'worldstar youtube', 'youtube worldstar', 'worldstarhiphop youtube', 'youtube worldstarhiphop', 'worldstarhiphop channel', 'wshh', 'hip hop', 'hip hop music', 'rap', 'rap music', 'music', 'music video', 'exclusive', 'WSHH exclusive']","G Herbo ""Bonjour"" (WSHH Exclusive - Official Music Video)",sIGFPGzvVQI,3344806,CDIQAA,
