caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UC69T9fgnW9ucUD-h2w7s99w,OmarionVEVO,1540,xxNoneFoundxx,sd,Music video by Omarion performing O. (C) 2004 SONY BMG MUSIC ENTERTAINMENT,2d,1824,PT4M10S,0,True,54239,none,rectangular,2014-10-03T01:26:34.000Z,"{'allowed': ['HK', 'HM', 'HN', 'HR', 'HT', 'HU', 'KP', 'KR', 'GP', 'KW', 'ZW', 'KI', 'KH', 'SS', 'SR', 'KM', 'ST', 'RO', 'SY', 'SX', 'SZ', 'KE', 'KG', 'KY', 'SC', 'KZ', 'SE', 'SD', 'SG', 'SI', 'SH', 'SK', 'SJ', 'SM', 'SL', 'SO', 'SN', 'CA', 'CC', 'NI', 'CD', 'CG', 'CF', 'CI', 'CH', 'CK', 'CM', 'CL', 'CO', 'CN', 'CR', 'CU', 'CW', 'CV', 'CY', 'CX', 'CZ', 'JE', 'JO', 'JM', 'TL', 'JP', 'TM', 'US', 'TN', 'TK', 'BZ', 'BY', 'BV', 'BW', 'BT', 'BR', 'BS', 'BQ', 'BN', 'BO', 'BL', 'BM', 'BJ', 'TJ', 'BH', 'BI', 'BF', 'BG', 'BD', 'BE', 'BB', 'NU', 'BA', 'MO', 'MN', 'MM', 'ML', 'MK', 'MH', 'MG', 'MF', 'ME', 'MD', 'MC', 'UZ', 'UY', 'UG', 'OM', 'MA', 'MY', 'MX', 'MW', 'MV', 'MU', 'MT', 'MS', 'MR', 'MQ', 'MP', 'EG', 'EE', 'PK', 'EC', 'PM', 'PN', 'PA', 'PE', 'PF', 'EH', 'PY', 'ET', 'ES', 'ER', 'PR', 'PS', 'PT', 'MZ', 'TT', 'TV', 'TW', 'LI', 'TR', 'LK', 'LA', 'TZ', 'LC', 'TD', 'LB', 'TG', 'LY', 'TC', 'LT', 'LU', 'LV', 'TO', 'TH', 'UM', 'LR', 'LS', 'DM', 'DO', 'DJ', 'DK', 'TF', 'DZ', 'PH', 'AZ', 'WS', 'UA', 'PL', 'WF', 'GM', 'GL', 'GN', 'GI', 'GH', 'GE', 'GD', 'GG', 'GF', 'GA', 'GB', 'GY', 'ZA', 'GU', 'RW', 'GW', 'ZM', 'GQ', 'RS', 'GS', 'GR', 'VU', 'VI', 'VN', 'VC', 'VA', 'VG', 'VE', 'FJ', 'FK', 'NP', 'FI', 'PG', 'YT', 'NZ', 'QA', 'KN', 'GT', 'NC', 'NA', 'NF', 'NG', 'YE', 'NE', 'FR', 'RU', 'NO', 'NL', 'NR', 'IE', 'ID', 'IO', 'IN', 'IM', 'IL', 'IS', 'IR', 'IQ', 'IT', 'RE', 'FO', 'SA', 'AX', 'AS', 'AR', 'AQ', 'FM', 'AW', 'AU', 'AT', 'AI', 'SB', 'AO', 'AM', 'AL', 'SV', 'PW', 'AG', 'AF', 'AE', 'AD']}","['Epic', 'Omarion', 'Pop']",Omarion - O,BZfgJsNwmjM,6237115,CDIQAA
false,10,UCxqkOxQYocXRtSqlotgXh7w,FKJ,2049,xxNoneFoundxx,hd,"Taken from « French Kiwi Juice » by FKJ (Roche Musique)
Stream/Buy here ☞ http://roche.lnk.to/FrenchKiwiJuice

Words by (((O))) 
https://lllOlll.bandcamp.com
https://facebook.com/IllOlll
https://twitter.com/illiOilili
https://instagram.com/illiOilili

FKJ
https://www.facebook.com/frenchkiwijuice
https://soundcloud.com/fkj-2
https://www.instagram.com/frenchkiwijuice/
https://twitter.com/Fkjmusic



LYRICS :

Fittin in yo vibe and yu be stylin out too quickly
Man it's just the way yu do it when yu move so swiftly
Vibin out to yu it makin me too human
Smokin out the way I feel emotion
It's so good, it's so bad, it's so bad, it's so new
I’m wishin at the end of june

Clouds in my shroud in my vision grow clearly
Can't see ahead if I’m fine when I leave me
What is the sayin ""when yu should let go, 
what is so impossible""
Do me like that with a smile, with a smack, with a yu nose
Yu know me, no? Yu know me better

No rainy no windy no sun
Just music and just with the one
I’m fine like that, fine like that, fine
I never be losin', I’m one every time

No yu know nose me know better like that
Fittin' in your stylin out to quickly
Man it's in the way yu do when yu move so swiftly

Vibin out to yu make me too human
Smokin' out the way I feel emotion
It's so good, it's so bad, it's so bad, it's so new, I’m
Wishin at the end of June
Clouds in my shround in my vision grow clearly
Can't see ahead if I’m fine when I be leavin' me
What is the sayin ""when you let go, what is so impossible"" tho

Do me like that with a smile with a smack
With all your nose, yu know better like that
When we be on the scene, when ya gotten me wingin' me weather

No rainy no windy no sun
Just music and just with the one
I’m fine like that, fine like that, fine
I never be losin', I’m one every time

Time 

No it's up from above 
It don't leave me behind, it's a
Round all the earth and we know it's divine, yes a
When I be emptyin all of my mind
I see



CREDITS :

Directors : (((O))) & Fkj
Co-Director : Arsedi
Production : DeGaulle
Line Producer : Yoann Morin
DOP : Clément Arenou
1st Assistant Director: Maud Mathery
Steadycamer : Sacha Naceri
Color Grading : Sylvain Canaux
Choregrapher : Emanuelle Soum
Dancers : Emanuelle Soum - Julianna Casas - Johanna Faye - Oomoo
1st Camera Assistant : Mathieu Andrieux
2nd Camera Assistant : Tess Barthes
Gaffer : Pierre Corvaisier
Best Boy : Arthur Benoist
Best Boy : Gabrielle Petit
Decoration : Paul Descoings
Decoration assistant : Thibault Van Elslande
Key Grip : Guillaume Colbeau Justin
Co-Stylist : Anais Durand
Make up Artist : Julie Camus",2d,2116,PT6M4S,0,True,103857,none,rectangular,2017-09-01T11:22:15.000Z,,"['FKJ', 'french kiwi juice', 'roche musique', '(((O)))', ""vibin' out with (((O)))"", ""vibin' out""]",Fkj - Vibin' Out with (((O))),9Gq9N-sPdYg,6889644,CDIQAA
false,10,UCyKa1YNZLio6XfjMR7fw45Q,The Official Gummibär Channel,9178,xxNoneFoundxx,sd,"ChoKaKaO is a French music video by Gummibär aka Osito Gominola, Ursinho Gummy, Gumimaci, Funny Bear, The Gummy Bear, etc.
http://www.gummibar.net  
Download from iTunes: http://tinyurl.com/itunesgummybear
CD available on Amazon: http://tinyurl.com/gummybearcd
DVD available on Amazon: http://tinyurl.com/gummybeardvd
Shirts and merch - http://www.gummytees.com


Visit Gummibär online at imagummybear.com.  Cho Ka Ka O - from the album ""I Am Your Gummy Bear""
Artist: Gummibär
Title: Cho Ka Ka O
Album: I Am Your Gummy Bear


Subscribe to Gummibär's YouTube Channel - http://www.youtube.com/gummybearintl

GUMMIBÄR T-SHIRTS AND MERCH: http://imagummybear.spreadshirt.com

Sign up for the Gummibär mailing list to win great prizes! - http://www.gummibar.net/newsletter

PLAY GUMMIBÄR (THE GUMMY BEAR) GAME: http://www.gummybeargame.com

VISIT ON FACEBOOK: http://www.facebook.com/funnygummy

FOLLOW ON TWITTER: http://www.twitter.com/imagummybear

VISIT ON MYSPACE: http://www.myspace.com/funnygummy

FOLLOW ON PINTEREST: http://www.pinterest.com/imagummybear

SEND A GUMMIBÄR ECARD: http://www.funnygummy.com

GUMMIBÄR JAPAN: http://www.gummybear.jp

OSITO GOMINOLA: http://www.ositogominola.mx


More about Gummibär
Gummibär, a funny and lovable cartoon character, is a green animated gummy bear with a multitude of talents. Whether he is singing, break dancing, or playing his tuba, both children and adults can't get enough of his funny gummy antics. His multi-lingual abilities have led to a huge International following and allow him to sing in 20 different languages including English, Hungarian, French, German, Spanish, Swedish, Portuguese, Czech, Slovak, Russian, and Hebrew with more to follow.

With close to 1 billion plays and counting, the video for ""I Am A Gummy Bear"" (The Gummy Bear Song) by Gummibär, has captured the hearts and minds of Internet users world-wide. Viewers of videos on YouTube, MySpace, and other social networking websites have made this animated short one of the most watched, most discussed, and most favorited videos on the Internet.

Initially a regional success in Hungary, it wasn't long before the catchy little 30 second animated clip found it's way onto social networking sites. In a matter of months, dozens, then hundreds, and now thousands of postings of the original video have popped up all over MySpace, YouTube, Facebook, and just about every online community that you can think of. In addition, thousands of people have created and posted user generated fan videos of themselves singing and dancing to The Gummy Bear Song as well.",2d,40362,PT2M12S,0,True,98592,none,rectangular,2008-03-27T23:34:00.000Z,,"['gummy', 'bear', 'gummi', 'gummybear', 'song', 'cho', 'ka', 'chokakao', 'chocolate', 'hot', 'cocoa', 'dance', 'green', 'funny', 'osito', 'gominola', 'osito gominola', 'gummy bear', 'gummy bear song', 'Gummibär', 'french', 'france', 'Music (Industry)']",Gummibär - CHO KA KA O - French music video,IpYp-MsBUnM,216382337,CDIQAA
false,10,UCAkIMkEaa9sZmjcy7mfd5lQ,Gunna,6116,en,hd,"Watch the official music video of ""Oh Okay"" by Gunna featuring Young Thug & Lil Baby produced by Turbo. Directed By FoolWithTheCamera.

Subscribe to Gunna's official channel for exclusive music videos and behind the scenes footage

Follow Gunna:

https://twitter.com/1GunnaGunna
https://www.instagram.com/only1_gunna/",2d,13440,PT3M14S,0,False,248733,none,rectangular,2018-03-10T17:42:28.000Z,,xxNoneFoundxx,Gunna - Oh Okay ft. Young Thug & Lil Baby [Official Music Video],rajEOWsPhhY,42967455,CDIQAA
false,10,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,41314,xxNoneFoundxx,hd,"Acesse o Portal KondZilla
http://www.kondzilla.com/

Inscreva-se no Canal da KondZilla e assista os clipes antes de todo mundo.
https://goo.gl/HXfRT5

Siga o KondZilla no INSTAGRAM e confira os bastidores dos clipes
http://instagram.com/kondzilla

Compre agora os bonés da KondZilla
http://loja.kondzilla.com/


SHOWS:
Granfino Produções
(11) 2372-6136
(11) 93806-5126


LETRA:

Oh nanana
Oh nanana
A maioria das amigas
Da minha ex mina
Tão querendo dar
Na na na

Oh nanana
Olha as amigas
Da minha ex mina
Louca e doida 
Querendo sentar

Quem foi que disse
Pra tu me divulgar
Quem foi que disse
Pra tu me explanar
Que eu te pegava no quarto
Te fazia delirar
Te chamava de gostosa
Era mordida sem parar

E além de tudo
Tu que quis terminar
E além de tudo
Ela quis me largar

Copyright © 2017 KondZilla® Filmes Ltda. Todos os direitos reservados.",2d,64738,PT3M12S,0,True,1652200,none,rectangular,2017-03-22T22:00:01.000Z,,"['kondzilla', 'videoclipe', 'oficial', 'kond', 'zila', 'zilla', 'funk', 'ostentação', 'lançamento', '2017', 'musica', 'musicas', 'baixar', 'tom', 'produções', 'sarrada', 'MCs', 'mc', 'lançamentos', 'baile', 'bonde 300', 'oh nanana', 'onerpm']",Bonde R300 - Oh Nanana (KondZilla),7brpvQQ8xyg,132915954,CDIQAA
false,10,UCBIkByrjxU90al5f_OdYL7Q,hsp100,4044,xxNoneFoundxx,sd, ,2d,10160,PT5M36S,0,False,151997,none,rectangular,2009-09-13T09:56:07.000Z,,['Soul'],O'Jays - Cry together,n9yRGwRQ1xU,20847818,CDIQAA
false,10,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,146311,xxNoneFoundxx,hd,"Inscreva-se no Canal da KondZilla e assista os clipes antes de todo mundo.
https://goo.gl/HXfRT5

Siga o KondZilla no INSTAGRAM e confira os bastidores dos clipes
http://instagram.com/kondzilla

Compre agora os bonés da KondZilla
http://loja.kondzilla.com/


SHOWS:
KondZilla
(11) 2385-0126


LETRA:

É o novo hit do verão
Pra geral curtir
Ela joga o bumbum pro alto
Não dá pra resistir

Nem tenta pagar de santinha
Que o clima tá bom
Vai desce e sobe
Quebra e empina

Mostrando o seu dom
Eu vou de combo, de Jack
Ciroc e Chandon
Olha as novinhas dançando
Em cima do som

Eu vou mandar
O grave bater
E quero ver
Bumbum mexer

Copyright © 2017 KondZilla® Filmes Ltda. Todos os direitos reservados.",2d,249780,PT3M12S,0,True,3442928,none,rectangular,2017-03-21T22:00:01.000Z,,"['kondzilla', 'videoclipe', 'oficial', 'kond', 'zila', 'zilla', 'funk', 'ostentação', 'lançamento', '2017', 'musica', 'musicas', 'baixar', 'sarrada', 'MCs', 'mc', 'lançamentos', 'baile', 'mc kevinho', 'kevinho', 'kevinho lançamento', 'o grave bater', 'grave bater', 'kevinho o grave bater', 'o grave bater mc kevinho', 'o melhor do funk', 'o melhor do funk 2017', 'funk kondzilla', 'onerpm', 'sarrada no ar', 'clipe oficial', 'o grave bater clipe oficial', 'kevinho e jorginho', 'jorgin deejhay', 'jorgin dj', 'eu vou de combo', 'jack ciroc e chandon']",MC Kevinho - O Grave Bater (KondZilla),-PH4S7IPQxU,456021995,CDIQAA
false,10,UCj-z4t1XEtDH36yS6ZUUpYg,OfficialRickRossTV,2503,xxNoneFoundxx,sd,Visit http://rickrosstv.blogspot.com,2d,1454,PT4M47S,0,False,19009,none,rectangular,2010-04-02T11:25:00.000Z,,"['Waka', 'Flocka', 'Flame', 'Lets', 'Do', 'It', 'Remix', 'Ft.', 'Diddy', 'Rick', 'Ross']",Waka Flocka Flame - O Let's Do It (Remix) (Ft. Diddy & Rick Ross),REr0ahPII8o,5190521,CDIQAA
true,10,UCsoO-3c_sjJSbwYbdegqknA,Sinéad O'Connor,18520,en-GB,sd,"Follow Sinéad O'Connor: 
Listen to Sinéad Online - https://Sinead.lnk.to/Listen
Subscribe - https://Sinead.lnk.to/Subscribe
Facebook - https://Sinead.lnk.to/FB
Twitter - https://Sinead.lnk.to/TW
Web - https://Sinead.lnk.to/Web


Lyrics:

It's been seven hours and fifteen days
Since you took your love away
I go out every night and sleep all day
Since you took your love away

Since you been gone I can do whatever I want
I can see whomever I choose
I can eat my dinner in a fancy restaurant
But nothing
I said nothing can take away these blues
'Cause nothing compares
Nothing compares to you

It's been so lonely without you here
Like a bird without a song
Nothing can stop these lonely tears from falling
Tell me baby where did I go wrong

I could put my arms around every boy I see
But they'd only remind me of you
I went to the doctor and guess what he told me?
Guess what he told me?
He said girl you better try to have fun 
No matter what you do, but he's a fool
'Cause nothing compares
Nothing compares to you

All the flowers that you planted mama
In the back yard
All died when you went away
I know that living with you baby was sometimes hard
But I'm willing to give it another try
'Cause nothing compares
Nothing compares to you

Nothing compares
Nothing compares to you
Nothing compares
Nothing compares to you


Letras españolas:

Han pasado siete horas y quince días
desde que te llevaste tu amor
Salgo todas las noches y duermo todo el día
Desde que te llevaste tu amor
Desde que te fuiste puedo hacer lo que quiero
Puedo ver a quien yo elija
Puedo ir a cenar en un restaurante de lujo
Pero nada
y digo, nada, me puede quitar esta melancolìa
Porque nada se compara, nada se compara a ti
He estado tan sola aquí sin ti
Como un pájaro sin una canción
Nada puede parar estas lágrimas solitarias
Dime baby, donde me equivoqué
Podría poner mis brazos alrededor de cualquier chico que viera
Pero sólo me recordarían a ti
Fui al médico y adivina que me dijo? Adivina que me dijo?
Dijo: chica, es mejor que ententes divertirte No importa lo que hagas, pero él es un tonto
Porque nada se compara, nada se compara a ti
Todas las flores que plantaste mama
En el patio trasero
Todas murieron cuando te fuiste
Sé que vivir contigo, baby, a veces fue difícil
pero estoy dispuesta a darle otra oportunidad
Nada se compara
Nada se compara a ti
Nada se compara
Nada se compara a ti
Nada se compara
Nada se compara a ti",2d,27368,PT5M9S,0,True,440507,none,rectangular,2017-07-10T13:55:39.000Z,,"[""Sinéad O'Connor"", 'Nothing Compares 2U', 'Official Video', 'Nothing Compares To You', ""90's"", 'Prince', 'sinead', ""sinead o'connor"", ""o'connor"", 'nothing compares to you', 'Nothing Compares 2 U Lyrics', 'Nothing Compares To You Lyrics', 'Sinead O Connor Nothing Compares Lyrics', 'Nothing Compares 2 U Lyric Video', 'Nothing Compares 2 U Subtitulado Espanõl', 'Nothing Compares 2 U Espanõl Subtitulado', 'Nothing Compares 2 U Polskie Piosenki', 'Nothing Compares 2 U Polish', 'Prince Nothing Comapres 2 U', 'Español']",Sinéad O'Connor - Nothing Compares 2U [Official Music Video],0-EF60neguk,91813278,CDIQAA
true,10,UC-69vhXlCa3XHbF8JHCQHfg,Aya Nakamura,44576,xxNoneFoundxx,hd,"☀️ "" Djadja"" premier extrait du nouvel album à venir.
Single disponible ici : https://ayanakamura.lnk.to/djadjaAY

🎵 Prod by : Le SIDE
- 
https://www.instagram.com/ayanakamura_officiel/
https://www.snapchat.com/add/nakaamuroos
https://www.twitter.com/AyaNakamuraa
https://www.facebook.com/Ayanakamuraa93
https://www.youtube.com/c/ayanakamura",2d,83697,PT2M56S,0,True,901623,none,rectangular,2018-04-06T14:00:08.000Z,,['yt:cc=on'],Aya Nakamura - Djadja (Clip officiel),iPGgnzc34tY,177386543,CDIQAA
