caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token,contentRating
false,10,UCbY2ArmEk0a4oTnt_KR7nEQ,Dmv Glo,11,xxNoneFoundxx,hd,,2d,2,PT3M36S,0,True,120,none,rectangular,2018-09-30T22:40:20.000Z,,"['Q Da Fool x JuanHunnit - Murda', 'q da fool juanhunnit goon', 'dmvglo']",Q Da Fool x JuanHunnit - Murda,pIDSiI3kps4,1424,CDIQAA,
false,10,UCbY2ArmEk0a4oTnt_KR7nEQ,Dmv Glo,12,xxNoneFoundxx,hd,,2d,1,PT3M21S,0,True,102,none,rectangular,2018-09-30T22:35:02.000Z,,"['Q Da Fool x JuanHunnit - Slippery Slope', 'q da fool juanhunnit round goon', 'dmvglo']",Q Da Fool x JuanHunnit - Slippery Slope,Wh5JfobRa8Q,1268,CDIQAA,
false,10,UCj9vr9PYo75caM0VHgFYtcQ,KucaiMars,89,xxNoneFoundxx,hd,,2d,7,PT18M29S,0,True,909,none,rectangular,2018-09-28T14:16:53.000Z,,['#kucaimars #kucaiyang #q&a'],KUCAIMARS Q AND A,rpFvDI92TIU,10423,CDIQAA,
false,10,UCTGobKNSe_Ys8UlXEe2TFCA,Q Money,162,xxNoneFoundxx,hd,"Music video by Q Money performing Strangers (Official Video). 2018 Q Money

http://vevo.ly/cAwvnt",2d,145,PT2M58S,0,False,5181,none,rectangular,2018-04-16T12:00:06.000Z,,"['Money', 'Strangers', '(Official', 'Video)', 'Rap/Hip-Hop']",Q Money - Strangers (Official Music Video),TlLG1UBFRa0,338339,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,481,xxNoneFoundxx,hd,"Watch the official music video for ""Streetz Baby"" by Q Money Feat. Key Glock.

""Ain't Sh*t Funny"" by Q Money out now: https://ad.gt/aintshitfunny 
 
Follow Q Money:
https://www.instagram.com/q_moneyyyy/
https://twitter.com/q_moneyyyyy
https://www.facebook.com/qmoneyyyy
https://soundcloud.com/q_moneyyyy

We launched on Snap Discover! SUBSCRIBE HERE: http://bit.ly/worldstarsnap

SUBSCRIBE for more: http://bit.ly/subWSHH 

Follow WorldstarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar
https://facebook.com/worldstarhiphop
http://instagram.com/worldstar
 
Shop WorldStar:
http://shop.worldstarhiphop.com

Watch more WorldstarHipHop:
Rapper Relationship Advice: https://youtube.com/playlist?list=PLcK0neBMyFxQ6doeFSHbkI5LIQ9Fv_jdZ&playnext=1
Official Music Videos: https://youtube.com/playlist?list=PLcK0neBMyFxSpYgDfKCsHRwgxlN-Tnt9D&playnext=1
Official Audio Tracks: https://youtube.com/playlist?list=PLcK0neBMyFxSLGtARgI2OzwpGvw2tz9Ep&playnext=1
Newest Videos: https://youtube.com/playlist?list=PLcK0neBMyFxTF85bfUSUXiKiDy_AlNsu2&playnext=1

WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.

Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.

We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.",2d,313,PT2M40S,0,False,9541,none,rectangular,2018-09-25T20:14:20.000Z,,"['world star hip hop', 'worldstarhiphop', 'worldstar', 'world star', 'worldstar youtube', 'youtube worldstar', 'worldstarhiphop youtube', 'youtube worldstarhiphop', 'worldstarhiphop channel', 'wshh', 'hip hop', 'hip hop music', 'rap', 'rap music', 'music', 'music video', 'exclusive', 'WSHH exclusive']","Q Money Feat. Key Glock ""Streetz Baby"" (WSHH Exclusive - Official Music Video)",Fu7srKNREuY,365923,CDIQAA,
false,10,UCFnkaAHtPd0BD3iT1UxIM5A,TURCO,2,xxNoneFoundxx,sd,"Q' LoKura - Te He Prometido - Amor Divino
►Suscribite al canal y ACTIVA la campana 🔔 🔔 para no perderte ningún vídeo
►SUSCRIBITE! https://www.youtube.com/user/TurcoDC?sub_confirmation=1
►Facebook: https://www.facebook.com/cdscompletosonline/
►Pagina: https://www.somos-cuarteto.com
►COMENTA!!! DALE ME GUSTA AL VIDEO!!!! 👍 👍 👍
                         Todos Los Derechos Reservados (c) 2018























#UlisesBueno #DamianCordoba #Qlokura #Lakonga #Facuylafuerza #Chipote #Sabroso #ElLocoAmato #LaFiesta #LaMona #Cmj #DiegoOlmos #Lbc #LaBandadeCarlitos #kuarteto.com #LaBarra #CuartetoCaracteristico #DaleVieja #Infiel #FuisteCobarde #TanNatural #Intento #Enganchados2018 #AdelantosCuarteto #Cuarteteando #RitmoPunta #bailazo #SuperDeportivo #Forja #EstadiodelCentro #Sargento #Cuarteto
#UlisesBueno #PittyMurua #Monada
#Cuarteto
#daleviejadale
#pasiondesabado
#infama
#luisventura
#yahoramirame
#gabriela
#radiostudio
#lunapark
#abelpintos
#laberiso
#ellocoamato
#Qlokura
#Labandadecarlitos
#damiancordoba
#chipote",2d,0,PT3M51S,0,True,72,none,rectangular,2018-10-01T08:22:44.000Z,,"['UlisesBueno', 'Damian Cordoba', 'Pitty Murua', 'Monada', 'Q lokura', 'Lakonga', 'dale q va', 'cuarteto', 'Facuylafuerza', 'Chipote', 'la banda de carlitos']",*NUEVO* Q' LoKura - Te He Prometido - Amor Divino! (Sala del Rey 30/09/2018),4XQuIh5x-yU,1439,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,299,xxNoneFoundxx,hd,"Watch the official music video for ""Whole Ticket"" by Q Money Feat. YFN Lucci.

Off Q Money's ""Neva Had Shit"" project available now
https://smarturl.it/NevaHadShit

Follow on Instagram
https://www.instagram.com/q_moneyyyy/
https://www.instagram.com/yfnlucci/

Captured by BPace Productions
https://www.instagram.com/bpaceproduction/ 

SUBSCRIBE for more: http://bit.ly/subWSHH 

More WorldstarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar
https://facebook.com/worldstarhiphop
http://instagram.com/worldstar
 
Shop WorldStar:
http://shop.worldstarhiphop.com

WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.

Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.

We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.",2d,192,PT3M27S,0,False,5026,none,rectangular,2018-05-03T19:18:35.000Z,,"['world star hip hop', 'worldstarhiphop', 'worldstar', 'world star', 'worldstar youtube', 'youtube worldstar', 'worldstarhiphop youtube', 'youtube worldstarhiphop', 'worldstarhiphop channel', 'wshh', 'hip hop', 'hip hop music', 'rap', 'rap music', 'music', 'music video', 'exclusive', 'WSHH exclusive', 'Q Money', 'Q Money 2018', 'Q Money music video', 'Q Money video', 'Q Money Whole Ticket', 'YFN Lucci', 'Lucci', 'YFN Lucci music video', 'Whole Ticket', 'Whole Ticket music video', 'Whole Ticket video', 'Q Money YFN Lucci']","Q Money Feat. YFN Lucci ""Whole Ticket"" (WSHH Exclusive - Official Music Video)",QTBTZTHQYb0,310636,CDIQAA,
false,10,UCTGobKNSe_Ys8UlXEe2TFCA,Q Money,559,xxNoneFoundxx,hd,"""Neat"" by Q Money out now: https://ad.gt/neat
 
Follow Q Money:
https://www.instagram.com/q_moneyyyy/
https://twitter.com/q_moneyyyyy
https://www.facebook.com/qmoneyyyy
https://soundcloud.com/q_moneyyyy",2d,579,PT3M34S,0,True,16845,none,rectangular,2018-08-16T19:50:56.000Z,,"['q money', 'tig', 'tiag', ""think it's a game"", 'yfn lucci', 'new', 'hip hop', 'beat', 'hard', 'cleveland', 'wshh', 'worldstar', 'work', 'neva had shit', 'son', 'ohio', 'money', 'neat', 'dance']",Q Money – Neat (Official Music Video),xhwQqzxXP54,1280940,CDIQAA,
false,10,UCSL4BuzCmuzEKVTpw0R9ouQ,Concert Daily,33,xxNoneFoundxx,hd,"Here's some fancam audience view footage of Janet Jackson performing ""Got 'Til It's Gone"", when special guest Q-Tip came out to spit his rap during the song live at the 2018 Global Citizen Festival in Central Park, New York. This is the first time that they've performed this track together in 20 years.

Visit http://www.ConcertDaily.com for all of your concert needs, including pics, videos, reviews and much more!

Follow:
@JanetJackson
@QtipTheAbstract
@GlblCtzn ‏
@ConcertDaily",2d,4,PT3M5S,0,False,195,none,rectangular,2018-09-30T16:15:44.000Z,,"['Janet Jackson', 'Q-Tip', 'Global Citizen Festival', 'fest', '2018', 'GTIG', ""Got 'Til It's Gone"", 'live', 'concert', 'stage', 'show', 'rap', 'singing', 'dance', 'performs', 'performance', 'Central Park', 'New York', 'NYC', 'hip hop', 'contemporary r&b', 'audience', 'view', 'fancam']","Janet Jackson & Q-Tip perform ""Got 'Til It's Gone"" live at 2018 Global Citizen Festival",VHoDI4PzZXo,16044,CDIQAA,
false,10,UCLi6DTUnJdDOUkWu0szfI0g,ScHoolBoyQVEVO,4673,xxNoneFoundxx,hd,Buy now! http://smarturl.it/oxymoronq,2d,5791,PT4M28S,0,True,135926,none,rectangular,2014-03-06T22:00:02.000Z,,"['What They Want', 'Schoolboy Q', '2 Chainz', 'Schoolboy What They Want', 'What They Want Schoolboy Q', '2 Chainz What They Want']",SchoolBoy Q - What They Want (Explicit) ft. 2 Chainz,5dBy9KEorjw,23495529,CDIQAA,
