caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UCPTQlbt5SZO_SpYvC4Ygl-A,CTanganaVEVO,1021,xxNoneFoundxx,hd,"Music video by C. Tangana performing Cuando me Miras (Video Oficial). (C) 2018 Sony Music Entertainment España, S.L.

http://vevo.ly/YQjKQz",2d,1561,PT3M26S,0,True,20689,none,rectangular,2018-10-10T07:00:02.000Z,"{'allowed': ['MS', 'MR', 'MQ', 'MP', 'MW', 'MV', 'MU', 'MT', 'MZ', 'MY', 'MX', 'UG', 'MC', 'UZ', 'MA', 'MG', 'MF', 'ME', 'MD', 'MK', 'MH', 'MO', 'MN', 'MM', 'ML', 'TT', 'TV', 'JM', 'UM', 'TR', 'ZW', 'ES', 'ER', 'TZ', 'ET', 'TD', 'TF', 'EH', 'TC', 'EC', 'TM', 'TN', 'TO', 'EG', 'UA', 'EE', 'TK', 'RO', 'JP', 'RE', 'GP', 'JE', 'JO', 'RU', 'RS', 'BZ', 'BY', 'BV', 'BW', 'BT', 'BR', 'BS', 'BQ', 'BN', 'BO', 'BL', 'BM', 'BJ', 'BH', 'BI', 'BF', 'BG', 'BD', 'BE', 'BB', 'BA', 'SM', 'SL', 'KW', 'SN', 'SI', 'KP', 'SK', 'KR', 'SE', 'SD', 'SG', 'KY', 'SC', 'KZ', 'KE', 'US', 'KG', 'SY', 'SX', 'SZ', 'KM', 'ST', 'KN', 'KI', 'KH', 'SS', 'SR', 'CY', 'CX', 'CZ', 'CU', 'CW', 'CV', 'CR', 'CM', 'CL', 'CO', 'CN', 'CI', 'CH', 'CK', 'CD', 'CG', 'CF', 'CA', 'CC', 'AW', 'PE', 'PF', 'PG', 'PH', 'PK', 'PL', 'PM', 'PN', 'PR', 'PS', 'PT', 'PW', 'PY', 'HK', 'HM', 'HN', 'GR', 'HR', 'HT', 'HU', 'ID', 'QA', 'GF', 'FI', 'SO', 'SH', 'IO', 'IN', 'IM', 'AT', 'AS', 'AR', 'AQ', 'IE', 'SJ', 'AZ', 'AX', 'AG', 'AF', 'AE', 'AD', 'RW', 'AO', 'AM', 'AL', 'IS', 'IR', 'IQ', 'NZ', 'NR', 'SA', 'NP', 'NU', 'TL', 'NI', 'NO', 'NL', 'AU', 'NC', 'NA', 'NF', 'IL', 'NE', 'AI', 'IT', 'FJ', 'FK', 'YT', 'FO', 'FM', 'FR', 'TJ', 'NG', 'TH', 'YE', 'UY', 'DO', 'ZM', 'TG', 'VG', 'OM', 'SB', 'GA', 'SV', 'GE', 'GD', 'GG', 'VU', 'GI', 'GH', 'GM', 'GL', 'GN', 'GQ', 'VC', 'GS', 'VA', 'GU', 'GT', 'GW', 'VE', 'GY', 'VI', 'VN', 'LY', 'LT', 'LU', 'LV', 'LR', 'LS', 'GB', 'LI', 'LK', 'TW', 'LA', 'LB', 'LC', 'DE', 'WS', 'DM', 'ZA', 'DJ', 'DK', 'WF', 'PA', 'DZ']}","['C. Tangana', 'Cuando me Miras (Video Oficial)', 'Hip-Hop/Rap', 'Sony Music Entertainment']",C. Tangana - Cuando me Miras (Video Oficial),BPZsQRrjTGM,354666,CDIQAA
false,10,UCr4khIYgh50sf4VQE5Iwutw,876Relevant,8,xxNoneFoundxx,hd,Jamaicans and Chinese C!@$# Today. Government Don't Care,2d,0,PT7M36S,0,True,7,none,rectangular,2018-10-10T22:44:18.000Z,,"[""Jamaicans and Chinese C!@$# Today. Government Don't Care"", 'jamaican and chinese', 'jamaica', 'kingston', '876relevant']",Jamaicans and Chinese C!@$# Today. Government Don't Care,S-WYk8YEb2Y,76,CDIQAA
false,10,UCQNlC-n8uBuzhLQbc-m67Sw,Diego Money,129,xxNoneFoundxx,hd,"OFFICIAL VIDEO 
DIEGO MONEY SZN",2d,3,PT2M8S,0,False,812,none,rectangular,2018-10-08T19:04:03.000Z,,xxNoneFoundxx,DIEGO MONEY - NO A/C  [PROD BY ALTOSGP] | SHOT BY @BRAINZTEM,LQvfHxiMsq0,5565,CDIQAA
false,10,UCZ3pVT4hv4hgWwHpJHyTNRQ,AfinArte Music,85,xxNoneFoundxx,hd,"Siganos en

Instagram: @afinartemusic

Like en FB/afinartemusic

Subscribete aqui: https://www.youtube.com/afinartemusic",2d,59,PT2M15S,0,True,2146,none,rectangular,2018-10-05T12:00:01.000Z,,"['afinarte', 'music', '#NivelC', '#AfinArteMusic', 'codigofn', 'codice', 'calibre50', 'vozdemando', 'enigmanorteño', 'eldelaguitarra', 'legado7', 'culiacan', 'narco']",Nivel C - El Pata Seca  (Video Oficial 2018),avIZxdZ4NZw,70424,CDIQAA
false,10,UCer4i4N-OSa1_eKAz0wtxTw,BGMedia,42,xxNoneFoundxx,hd,"Make sure you Sub to Flip'C https://www.youtube.com/user/FlipCMusik

^^^^^^^^^^^^^^^^^^^^^^^^^^^
Sub to Flip'C
Sub to Flip'C
Sub to Flip'C


Facebook https://www.facebook.com/bgmediaofficial
Twitter @BGMediaOfficial",2d,12,PT3M20S,0,True,171,none,rectangular,2018-10-10T19:10:21.000Z,,['bgmedia'],BGMedia | Jack Richardson (Ricko) - Flowen Reply [Prod. by Flip'C],hFmgAN2aftM,1774,CDIQAA
false,10,UCkD89TEFWsTZluY6tk84yqg,ckan98,3892,xxNoneFoundxx,hd,"Producido por: Maxo & Maestro Alex

2018 Mastered Trax / C-Mobztas",2d,1554,PT3M21S,0,True,51122,none,rectangular,2018-10-04T17:00:05.000Z,,"['C-Kan', 'El Perro De La C', 'Hip Hop en Espanol', 'Mastered Trax', 'Cancha 98', 'Inalcanzables Records']",C-Kan - Toma 2,ueR3RxCfOhs,975649,CDIQAA
false,10,UCIyFeCs6uvy9HU0Bsq60KvA,pianoREADER,224,xxNoneFoundxx,hd,"Watch it again in B: https://www.youtube.com/watch?v=Pat89AmTDw8
♫ Learn piano with the songs you love: http://tinyurl.com/pianoreader-flowkey - sponsored by flowkey
- - - - -
""Canon"" was originally written by Pachelbel in the key of D Major. This version was arranged by George Winston, named ""Variations on the Kanon"", and is in the key of C Major. This video is a remake of my original Canon in C video, in higher quality + left/right separation.
- - - - -
Make sure to subscribe for more Synthesia videos like this one!",2d,105,PT5M41S,0,True,6488,none,rectangular,2014-12-27T18:01:01.000Z,,"['Pachelbel', 'Piano', 'classic', 'Synthesia', 'Canon in C', 'PIANOTEQ 5', 'Canon in D', 'Variations on the Kanon', 'Johann', 'music', 'pianoteq']",Canon in C // PACHELBEL,SbmeMwrQHKs,544224,CDIQAA
false,10,UCp-_AjOrkH5Xq9Km8T7voMg,OfficialCKanVEVO,20949,xxNoneFoundxx,hd,"From the album,""Voy Por El Sueno de Muchos"" Available on iTunes! http://tinyurl.com/aob9fqc
Amazon Music - http://tinyurl.com/dxyhpxv
Google Play - http://tinyurl.com/d2tuhee

Music video by C-Kan performing Esta Vida Me Encanta (feat. La Mafia Dela C). 2013 Mastered Trax / C-Mobztas",2d,21617,PT5M11S,0,True,339864,none,rectangular,2013-02-26T23:55:03.000Z,,"['C-Kan', 'Esta', 'Vida', 'Me', 'Encanta', '(feat.', 'La', 'Mafia', 'Dela', 'C)', 'Mastered', 'Trax', 'Latino', 'Rap/Hip-Hop', 'Mastered Trax / C-Mobztas']","C-Kan - Esta Vida Me Encanta ft. Zimple, Don Aero",B7KGgW90T9g,63306321,CDIQAA
false,10,UC5RrGzC-JXglhFW5NhT4r6w,2pac - Topic,388,xxNoneFoundxx,hd,"Provided to YouTube by Entertainment One Distribution US

Can't C Me · 2Pac

All Eyez On Me

℗ Death Row

Released on: 2001-03-06

Auto-generated by YouTube.",2d,1457,PT5M31S,0,True,20036,none,rectangular,2014-10-05T06:10:47.000Z,"{'allowed': ['BO', 'FR', 'BE', 'BG', 'BA', 'BY', 'FI', 'BR', 'UY', 'US', 'MT', 'MX', 'UA', 'GR', 'CO', 'CL', 'VE', 'GT', 'GU', 'VI', 'CA', 'GB', 'ZA', 'CY', 'CR', 'NI', 'NL', 'NO', 'RU', 'RS', 'RO', 'NZ', 'JP', 'MK', 'HR', 'HU', 'DE', 'HN', 'DO', 'DK', 'CH', 'SV', 'KR', 'SK', 'SI', 'SE', 'IT', 'EC', 'EE', 'IS', 'AT', 'AU', 'IN', 'TR', 'AR', 'AS', 'ID', 'IE', 'ES', 'PR', 'LI', 'PT', 'PY', 'PA', 'PE', 'CZ', 'LV', 'LU', 'LT', 'PL']}","['2Pac', 'All Eyez On Me', ""Can't C Me""]",Can't C Me,h_RXhwxrkOc,1530138,CDIQAA
false,10,UCp-_AjOrkH5Xq9Km8T7voMg,OfficialCKanVEVO,16248,xxNoneFoundxx,hd,"From the album, ""Clasificacion C, Vol. 1"".  Available Now!
iTunes: http://tinyurl.com/l7ybg6c
Amazon Music: http://tinyurl.com/mlfyvjd
Google Play: http://tinyurl.com/m5g2p9b

Official music video by C-Kan performing La Calle Sabe De Mi Nombre. 2014 Mastered Trax / C-Mobztas",2d,16081,PT3M41S,0,True,296244,none,rectangular,2014-09-16T01:00:01.000Z,,"['C-Kan', 'La', 'Calle', 'Sabe', 'De', 'Mi', 'Nombre', 'Mastered', 'Trax', 'C-Mobztas', 'Latin']",C-Kan - La Calle Sabe De Mi Nombre,Jm_ZdGh55n4,68394245,CDIQAA
