caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UCEONMnUys7beoGXrs_ZkM_Q,MATT MASON MUSIC,xxNoneFoundxx,xxNoneFoundxx,hd,"Official E Lyric Video

OFFICIAL ""E"" Lyric video.  

OFFICIAL LYRICS For E

V1
I got home from Wichita,
A couple days before I thought,
Didn't recognize the truck parked in my drive.
My boots hit the hardwood floor,
Busted through the bedroom door,
I guess I must've caught you by surprise.

By the time he got his buckle on,
I hit the safe and grabbed my gun,
You were begin' me with tears in your eyes.
Screamin' Baby let him go,
You don't want that on your soul,
I said a man is gonna die tonight.

CHORUS
I'm chasin' taillights,
Straight as the crow flies,
Huntin' justice down a country road.
I've got a shot gun,
It's ridin' shotgun,
And we're both fixin' to unload.
Son I know what you done,
There's only one way to outrun me.
You better pray, your tank,
Don't beat mine to E

V2
Just blew past the county line,
Needles pushin' ninety-five,
I'm on you like a shadow move for move.
All you see is my headlights,
I see the whites in your eyes,
And that fear mirrored in your rearview.
Go ahead and ride the gas,
Don't think that your liven' man,
Just cause you make it past dead mans curve.
Man as far as I can tell,
We might both end up in hell,
But your sure as hell join' first

CHORUS

LEAD BREAK

CHORUS 

Matt Mason Enterprises owns all music, lyric, and video. Reserved 2014",2d,xxNoneFoundxx,PT4M3S,0,False,xxNoneFoundxx,none,rectangular,2014-02-02T21:32:46.000Z,,"['iMovie', 'Matt Mason Music', 'E lyric video', 'Country Music', 'John Dorris', 'Kyle Jacobs', 'Jennifer Zuffinetti', 'lyrics', 'lyric video', 'chasing stardust', 'chasing stardust EP']","Matt Mason - ""E"" - (OFFICIAL Lyric video)",3QDHNpIqwkU,7690655,CDIQAA
false,10,UCzTR9iSH-TFC4-ocDS_ll4A,Sheet Music Boss,14157,xxNoneFoundxx,hd,"It's E... ...but Russian.
▶ Patreon is right here! https://www.patreon.com/sheetmusicboss
▶ Learn piano easily: https://tinyurl.com/sheetmusic-flowkey

Get the newest sheets:
▶ Musicnotes: https://tinyurl.com/smb-musicnotes
▶ Gumroad: https://gumroad.com/sheetmusicboss
▶ Sheet Music Plus: https://tinyurl.com/smb-sheet-music

Written by Andrew Wrangell
Edited by Samuel Dickenson

Follow Sheet Music Boss!
▶ https://sheetmusicboss.wordpress.com/
▶ https://www.facebook.com/SheetMusicBoss/
▶ https://www.twitter.com/SheetMusicBoss/
▶ https://sheetmusicboss.tumblr.com/

We have been doing this piano channel for a while, but I think we've finally peaked. It's all downhill after this one lads.

Lyrics:
E (x2)",2d,1631,PT2M58S,0,True,87532,none,rectangular,2018-06-01T21:00:01.000Z,,"['Piano Tutorial', 'rush e', 'e meme', 'russian e', 'sheet music boss rush e', 'impossible', 'meme']",RUSH E,Qskm9MTz2V4,2780627,CDIQAA
false,10,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,270859,xxNoneFoundxx,hd,"Acesse o Portal KondZilla
https://goo.gl/TS1PFX

Inscreva-se no Favela Venceu by KondZilla:
https://goo.gl/a7Tt6X

OUÇA NOSSOS Hits:
https://goo.gl/UBHQgS


SHOWS:
Start Music
(11) 2385-6292
Marcelo
(11) 94782-8478


LETRA:

Envolvimento diferente eu ensino a vocês 
Eu vou sentar e vou quicar
E vou descendo de uma vez 

Esse hit é chiclete na tua mente vai ficar
Sento, sento, sento, sento
E quico devagar (3x) 

Tu não precisa exagerar
Muito menos se empolgar 

Tu vai sentar, tu vai sentar, tu vai sentar devagar (3x) 

O nosso bonde é sinistro 
Vem cá que eu vou te ensinar 
A descer, a subir, a quicar e rebolar (4x ) 
A quicar e rebolar (2x) 

E ae, DJ 
Escama só de peixe  
Uai 

“Cebruthius’’

Copyright © 2018 KondZilla® Filmes Ltda. Todos os direitos reservados.",2d,507911,PT3M17S,0,True,3425317,none,rectangular,2018-02-09T21:19:09.000Z,,"['kondzilla', 'videoclipe', 'oficial', 'kond', 'zila', 'zilla', 'funk', 'ostentação', 'lançamento', '2017', 'mc loma', 'gemas lacracao', 'mc loma e as gêmeas lacração - envolvimento', 'hit', 'hit do carnaval', 'cebruthius', 'escama', 'só de peixe', 'so de peixe']",MC Loma e as Gêmeas Lacração - Envolvimento (KondZilla),lgJOJAmXlBw,226696148,CDIQAA
false,10,UCt8hUmML7zjM6effdZ3Ip5A,Dirty Workz,199,xxNoneFoundxx,hd,"Tweekacore and Darren Styles teamed up for the perfect Happy Hardcore collaboration -  Down With The E

🎧 https://ElectricFox.lnk.to/DownWithTheEYL
◉ Subscribe to the channel: http://www.dirtyworkz.com/youtube
▼ Subscribe to our Spotify playlist: http://DirtyWorkz.lnk.to/Spotify
◉ Subscribe to Electric Fox: http://ElectricFox.lnk.to/YouTube

Tweekacore & Darren Styles - Down With The E
Release date: 4th of October 2018
Label: Electric Fox

Make sure to subscribe to Dirty Workz : http://www.dirtyworkz.com/youtube 
..and turn on notifications to stay updated for all new uploads!🔔

VIDEOCLIP by The apPARTYment
https://www.facebook.com/apPARTYment
Thumbnail picture: Rossumedia

With thanks to Q-dance and Defqon.1 Festival for allowing us to use footage from the Tweekacore and Darren Styles set on the RED stage during Defqon.1 Festival 2018

Follow Tweekacore:
Facebook: https://www.facebook.com/Tweekacore/
Twitter: https://www.twitter.com/Tweekacore/
Instagram: https://www.instagram.com/Tweekacore/
Soundcloud: https://www.soundcloud.com/Tweekacore/

Follow Darren Styles: 
Facebook: https://www.facebook.com/DarrenStylesDJ/ 
Twitter: https://www.twitter.com/darrenstylesuk/
Instagram: https://www.instagram.com/darrenstylesuk/
Soundcloud: https://soundcloud.com/darren-styles

Electric Fox:
Facebook: http://www.facebook.com/ElectricFoxMusic
Twitter: https://twitter.com/electricfxmusic
Instagram: http://www.instagram.com/ElectricFoxMusic
Soundcloud: https://soundcloud.com/electricfoxmusic

With their amazing set on the prestigious Defqon.1 Festival RED Stage during the 2018 edition of the legendary Hardstyle festival, Tweekacore and Darren Styles teamed up for the perfect Happy Hardcore collaboration. Down With The E is packed with a happy vibe, blistering Happy Hard BPM and a mesmerising lead. The head figures of Electric Fox, the Happy Hard label of the moment, Tweekacore and Darren Styles proudly present you with their latest video clip. This is Tweekacore & Darren Styles - Down With The E.

Dirty Workz is the Worlds leading Hardstyle label. With a broad sound, representing World leading artists, supporting the rising stars in the scene as well as the darker sounds of Raw under the Anarchy imprint to the fresh new combination of sounds which is Wolf Clan and the faster party sounds of Electric Fox - Dirty Workz has it all!",2d,72,PT3M33S,0,True,3681,none,rectangular,2018-10-04T16:43:34.000Z,,"['Happy Hardcore', 'Happy Hard', 'UK Hardcore', 'Tweekacore', 'Darren Styles', 'Down With The E', 'With The E', 'Down With', 'Tweekacore Down With The E', 'Darren Styles Down With The E', 'Tweekacore & Darren Styles Down With The E', 'Da Tweekaz', 'Da Tweekaz Down With The E', 'Defqon.1 2018', 'Defqon.1 Festival', 'Hardstyle', 'Hard Dance', 'Video Clip', 'Video', 'Clip', 'Music', 'HQ', 'Electric Fox', 'Dirty Workz', 'DWX', 'DWX2460', 'hardstyle 2018', 'dance', 'dj', 'happy', '2018', 'bass', 'uk', 'official', 'summer', 'videoclip', 'music video', 'dance music']",Tweekacore & Darren Styles - Down With The E (Official Video Clip),TxWoyFmP5Mw,54121,CDIQAA
false,10,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,263705,xxNoneFoundxx,hd,"Acesse o Portal KondZilla
https://goo.gl/TS1PFX

Inscreva-se no Favela Venceu by KondZilla:
https://goo.gl/a7Tt6X

OUÇA NOSSOS Hits:
https://goo.gl/UBHQgS

SHOWS MC Kekel:
KondZilla
(11) 2385-0126

SHOWS MC Rita:
Bio G3 Assessoria Artística
(11) 94027-9974
(11) 96260-5889

LETRA:

Espera aí
Preciso tanto conversar
Então vem aqui
Pra gente se entender, sei lá
O seu olhar se desencontrou do meu
Meu coração tá tão longe do seu

Eu tô querendo novamente ver
Pra hoje em dia eu falar pra você
Que a indecisão apertou no coração
Aquele aperto se é sim ou não

Só de pensar um dia te perder
Fiz essa canção pra você não me esquecer
Olha pra mim, deixa eu olhar pra você
Vem mais perto que hoje eu vou te dizer
Me abraça e seu corpo ao meu
O seu peito nunca me esqueceu

Na vida podem existir milhares
Mas nenhuma vai ser como você
Que comigo o amor foi de verdade
Que fez a minha vida acontecer
Eu troco a estrela por um beijo seu
Eu troco aquela lua pelo seu olhar
Eu deixo de viver no paraíso
Minha verdade é você meu lar

Na vida podem existir milhares
Mas nenhum vai ser como você
Que comigo o amor foi de verdade
Que fez a minha vida acontecer
Eu troco a estrela por um beijo seu
Eu troco aquela lua pelo seu olhar
Eu deixo de viver no paraíso
Minha verdade é você meu lar

Copyright © 2018 KondZilla® Filmes Ltda. Todos os direitos reservados.",2d,206098,PT3M35S,0,True,4697722,none,rectangular,2018-03-31T18:00:00.000Z,,"['kondzilla', 'videoclipe', 'oficial', 'kond', 'zila', 'zilla', 'funk', 'ostentação', 'lançamento', '2017', 'mc kekel', 'mc rita', 'mc kekel e mc rita - amor de verdade', 'kekel e rita', 'amor de verdade']",MC Kekel e MC Rita - Amor de Verdade (KondZilla),8_oE-iQeFeE,459360675,CDIQAA
false,10,UC-tDtay-KBnW7nuZ0lHAGQA,E40VEVO,11428,xxNoneFoundxx,hd,"E-40 - Choices (Yup)

Featuring cameos from damn near the entire rap game, Bay Area Royalty and Hip-Hop Icon E-40 weighs his options in his latest video for his hit single, ""Choices (Yup).” The Vallejo native flexes his lyrical muscle, as a seemingly endless cameo of Hip-Hop’s who’s-who flashes in the background. The track is found on 40 Water’s, Sharp on All 4 Corners 1, and the Deluxe Edition available now. 
 
Choices single @ iTunes = http://smarturl.it/E-40_Choices
Choices single @ Spotify = http://smarturl.it/Choices_Spotify
 
Sharp On All 4 Corners 1 = http://smarturl.it/E40Sharp1
Sharp On All 4 Corners Deluxe = http://smarturl.it/E40sharp

http://vevo.ly/sTk2z0",2d,24883,PT4M45S,0,True,356535,none,rectangular,2015-07-09T21:30:01.000Z,"{'allowed': ['US', 'CA']}","['E-40', 'Choices', '(Yup)', 'UNIVERSAL', 'MUSIC', 'LLC', 'Rap/Hip-Hop']",E-40 - Choices (Yup),bRChz-OYi9o,45697983,CDIQAA
false,10,UCTwEZxQrhUGjZdHemNDy9zA,BEZPALEVA PRODUCTION,11040,xxNoneFoundxx,hd,"Всем привет.  Представляем вашему вниманию супер хит лета 2018 - CYGO - Panda E. Подписывайтесь на этот канал и на инстаграм артиста @cygo_vevo
Группа ВК https://vk.com/club150323760

Автор видео: vk.com/id8788736
Инстаграм: https://www.instagram.com/romych513/

Наша группа в ВК: https://vk.com/bpproduct
_________________________________________________________________

Если ты из Москвы и пробуешь себя в качестве видеографа или режиссёра монтажа, и тебе необходимо портфолио  с интересных проектов, то тебе к нам. По всем вопросам пишите сюда vk.com/id8788736",2d,9430,PT3M41S,0,False,127361,none,rectangular,2018-07-10T21:22:47.000Z,,"['CYGO', 'Панда', 'panda', 'panda e', 'мы бежим с тобой как буд то от гипарда', 'рэпзавод', 'рэп завод', 'рэп', 'русский рэп', 'новая школа', 'хип хоп', 'хипхоп']",CYGO - Panda E,ZZh_ZQGPMgQ,10056887,CDIQAA
true,10,UC1oPBUWifc0QOOY8DEKhLuQ,avex,1715,xxNoneFoundxx,hd,"この秋話題の映画主題歌！10月3日発売E-girls「Perfect World」のミュージックビデオ、新アーティスト写真が遂に公開！！

EXILE / 三代目 J Soul Brothersのパフォーマーとしても活躍する岩田剛典、映画、ドラマに大活躍中の杉咲花のW主演で話題の映画「パーフェクトワールド 君といる奇跡」！
その映画主題歌を担当するE-girlsの最新曲「Perfect World」のミュージックビデオと新アーティスト写真が公開になりました！

映画のために書き下ろされたこの”Perfect World”は、映画の主人公「川奈つぐみ」の心情を歌っているような楽曲。笑顔と涙を繰り返しながら、一人の男性にかける想いと共に、
幾重にも目の前に立ちはだかる困難や悩みや葛藤を乗り越えていくという強い想いと、この先にも何かしら待っている壁にも、二人で一緒に立ち向かい、笑顔と共に歩んでいく姿が描かれています。

ミュージックビデオは歌詞と同様に、困難なことや悩みなどを乗り越えながら、笑顔を絶やさずに一人の人を想い続ける女性を描いた作品。
E-girls11人がそれぞれの恋愛模様の中で、男女の幸せな時間以外にも、想いを馳せる表情などを見せた映像になっています。
もちろん真骨頂でもあるダンスシーンも必見で、力強さの中しなやかさと、どこか憂いを感じるようなダンスが目を奪われる作品になっています。

映画、楽曲、ミュージックビデオが、まるで一つの作品かのような仕上がりになっているので、是非チェックしてください！


2018年10月3日(水)配信スタート
E-girls「Perfect World」
映画「パーフェクトワールド 君といる奇跡」主題歌

https://m.egfamily-m.jp/

映画『パーフェクトワールド 君といる奇跡』公式サイト
http://perfectworld-movie.jp/


E-girlsの曲がAWAなら聴き放題
無料で体験する▶https://mf.awa.fm/2ybGZ7Z
━━━━━━━━━━━━━━━━━━━━━━━━
＼　 世界最大規模5000万曲がAWAで聴き放題　  ／
　＼全曲ダウンロード可能！圏外でも聴ける！／

・広告なしで聴ける！公式音楽アプリ
・Google play「2017年　ベストアプリ」大賞を受賞
・好みを分析して自動で音楽をおすすめ
・音楽プロデューサー、アーティストなどによる
　プレイリストが豊富
無料で体験する▶https://mf.awa.fm/2ybGZ7Z

※無料トライアル期間は、AWAの未登録の方に限ります。
━━━━━━━━━━━━━━━━━━━━━━━━",2d,290,PT4M14S,0,True,17173,none,rectangular,2018-09-21T19:00:04.000Z,,"['E-girls', 'EGfamily', '鷲尾伶菜', '藤井夏恋', '武部柚那', 'SAYAKA', 'YURINO', '楓', '須田アンナ', '佐藤晴美', '坂東希', '山口乃々華', '石井杏奈', 'LDH', 'EXILE', '三代目', 'Soul', 'Brothers', 'GENERATIONS', 'THE', 'SECOND', 'ダンス', 'DANCE', 'Show', 'Time', 'EG', '11', 'アリーナツアー', '岩田剛典', '杉咲花', '映画', 'パーフェクトワールド']",E-girls / Perfect World (Music Video),Q7YBopVZyao,1067459,CDIQAA
false,10,UCRRu9OXVYd5clj2Bs29gUVQ,Zé Neto e Cristiano,18795,xxNoneFoundxx,hd,"Zé Neto e Cristiano - NOTIFICAÇÃO PREFERIDA - #EsqueceOMundoLaFora
OUÇA OS ÁUDIOS OFICIAIS CLICANDO NO LINK
https://SomLivre.lnk.to/EsqueceoMundoLaForaDeluxe

Zé Neto e Cristiano - NOTIFICAÇÃO PREFERIDA - Esquece O Mundo Lá Fora
INSCREVA-SE NO NOSSO CANAL NO YOUTUBE.
Contatos para shows: (62) 3241-7163 / (62) 9109-9766
Zé Neto e Cristiano Acústico

NOTIFICAÇÃO PREFERIDA [ Letra ]
Compositores: Júnior Gomes, Vine Show, Thiago Alves, Samuel Alves

Já doeu, mas hoje não dói mais
Tanto fiz que agora tanto faz
O nosso amor calejou
Apanhou, apanhou que cansou
Na minha cama cê fez tanta falta
Que o meu coração te expulsou

Não tem mais eu e você
Tá facin de entender
Você me deu aula de como aprender a te esquecer

Foi, mas não é mais a minha notificação preferida
Já foi, mas não é mais a número um da minha vida
Sinto em te dizer, mas eu já superei você

Foi, mas não é mais a minha notificação preferida
Já foi, mas não é mais a número um da minha vida
Sinto em te dizer, mas eu já superei você",2d,56564,PT3M9S,0,True,1151466,none,rectangular,2018-06-29T14:00:05.000Z,,"['zé neto e cristiano', 'zé neto e cristiano 2018', 'largado as traças', 'derreter a aliança', 'moça do espelho', 'nova música', 'status que eu não queria', 'fogo com gasolina', 'novo álbum', 'DVD novo zé neto e cristiano', 'Esquece o Mundo Lá Fora', 'Sertanejo', 'Sertanejo Universitário', 'Mix Sertanejo 2018', 'Top Sertanejo 2018', 'Armadura', 'Morador de rua', 'Notificação preferida']",Zé Neto e Cristiano - NOTIFICAÇÃO PREFERIDA - #EsqueceOMundoLaFora,rYKOuKaWEjg,223249356,CDIQAA
false,10,UCuQpGUi-sUp8Zf7zGOBKO4A,BLACK TBILISI,1191,xxNoneFoundxx,hd,"BLACK TBILISI - Блатная музыка, самая хорошая и кайфовая ✵♛

♛ LIKE & SUBSCRIBE CHANNEL ♛

✖ Follow Black Tbilisi:
https://www.facebook.com/blacktbilisi
https://vk.com/blacktbilisi

✖ Follow CYGO:
https://vk.com/id39391896
https://www.instagram.com/cygo_vevo/

© No copyright infringement intended. Video will be removed if requested by the copyright owner. For any copyright issues please email us at sabaqimadze@mail.ru",2d,1157,PT3M45S,0,False,27760,none,rectangular,2018-06-11T14:16:08.000Z,,"['blatnoi', 'blatnoimusic', 'Жизньворам', 'BLACKTBILISI', 'АУЕ', 'rap', 'russiarap', 'bradziaga', 'hiphop', 'Блатной', 'басота', 'НовыйРэп', 'Пацанам', 'qurdulebi', 'russia', 'Lithuania', 'Kiev', 'Moscow', 'Tbilisi', 'вор', 'Vor', 'vorvzakone', 'jiznvaram', 'qurdebi', 'Блатнаямузыка', 'CYGO – Panda E', 'Panda E', 'CYGO', 'CYGO - Panda E']",CYGO - Panda E,fJSjLgG48NM,2377050,CDIQAA
