caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UCGk8ySTMGvqnXciT1qMXqlw,Lemon Records,12127,xxNoneFoundxx,hd,"Subskrybuj kanał i baw się z razem z nami https://www.youtube.com/channel/UCGk8ySTMGvqnXciT1qMXqlw

http://www.facebook.com/zespolfaster
INSTAGRAM: instagram.com/filipjekopawel/
SNAPCHAT: zespolfaster
http://www.zespolfaster.pl

Produkcja: FASTER MEDIA www.faster-media.pl
Reżyseria i scenariusz: Paweł Pilipienko
Operator kamery: Mateusz Wasążnik
Montaż i korekcja kolorów: Paweł Pilipienko
Gaffer: Robert Kuliś
Best boy: Jarek Góralczyk
Makeup i charakteryzacja: Aleksandra Arabasz
Samochód: facebook.com/samochodzklasa

Pobierz dzwonek! Wyślij SMS o treści HIT.76784 na numer 7268 (cena za wysłanie SMS 2,46 zł brutto). Pobierz MP3! Wyślij SMS o treści HIT.76755 na numer 7368 (cena za wysłanie SMS 3,69 zł brutto) reg.: www.hitmuza.pl CTM Mobiltek S.A.

Ustaw utwór ""Audi w LPG"" zamiast sygnału oczekiwania na połączenie! Wyślij SMS: FAST2 na numer 80833 (0zł). Abonament: Orange – 4 zł | Plus - 2,02 zł T-Mobile – 4,99 zł | Play - 2 zł reg. halodzwonek.pl”

Pobierz piosenkę:
https://play.google.com/store/music/album/Faster_Audi_W_LPG?id=Bs2mt25ln2kxmi3bxvvpvdvm4oy
https://itunes.apple.com/pl/album/audi-w-lpg-single/id1172480704?l=pl
https://www.amazon.com/gp/product/B01M5K70IA


TEKST:
Eee, synek, dawaj leciemy na te wieske, poszpanować trochę!

Ref. Jadę Audi w el pe dżi,
Jestem panem każdej wsi,
Jest Mariola, jest Teresa,
Więc jedziemy pod GS-a,
Jadę Audi w el pe dżi,
Jestem Panem każdej wsi,
Wsiadaj niunia zamknij drzwi,
W Audi dam Banana Ci !

El pe dżi, panem wsi,
El pe dżi, panem każdej wsi, Hej !

1. Każda laska jeździć chce,
bo mam Audi w LPG,
Nówka sztuka, nie stukane,
Liepsze od Passata, panie,
Więc lecimy dziś na wiochę,
Poszpanować Audi troszkę trochę,
Muza głośno, szyby w dół
Na tej wiosce jestem król!

Ref. Jadę Audi w el pe dżi,
Jestem panem każdej wsi,
Jest Mariola, jest Teresa,
Więc jedziemy pod GS-a,
Jadę Audi w el pe dżi,
Jestem Panem każdej wsi,
Wsiadaj niunia zamknij drzwi,
W Audi dam Banana Ci !

2. Za dopłaty ją kupiłem,
może trochę przepłaciłem,
Fajne Audi, łysa klata,
To co lubi małolata.
Więc na miasto dziś wbijamy,
no i foki ogarniamy
Muza głośno, szyby w dół,
Z Audi w mieście jestem król!",2d,20573,PT3M46S,0,True,172702,none,rectangular,2016-11-04T15:00:10.000Z,,"['lemon records', 'lemon', 'disco polo', 'disco polo hity', 'disco polo nowość', 'disco polo piosenki', 'faster', 'audi', 'lpg', 'el pe dżi', 'passat', 'golf', 'volkswagen', 'mariola', 'teresa', 'polo tv', 'ałdi', 'faster audi w lpg', 'audi w lpg', 'zespół faster', 'disco polo 2016', 'disco polo hit', 'piosenki disco polo', 'audi lpg', 'jade audi w lpg', 'audi w tdi piosenka', 'nowość disco polo', 'hity disco polo', 'beta w benzie', 'disco polo 2017', 'nowość disco polo 2017', 'disco polo nowosc 2017', 'faster 2017']",FASTER - Audi w LPG (el pe dżi) - (2016 Official Video),HDTl9grOBdw,39041667,CDIQAA
false,10,UCqFnzlvTOH8rQD3GBAt5AXA,Luisa Fernanda W,104361,xxNoneFoundxx,hd,"Aquí les presento mi Roast Yourself con mucha felicidad!!! #BLOQUEOBLOQUEO 

Escrito por Luisa Fernanda w 

Producción musical por:  @dejota2021 
@itzza_primera  @legarda  @ryanroymusic 

Producción artistica y audiovisual por: @villanostorytelles @iseeyousm 

https://onerpm.lnk.to/Bloqueo

Instagram: https://www.instagram.com/luisafernandaw/
Facebook: https://www.facebook.com/Luisafw
Twitter: https://twitter.com/luisafernandaw
YouTube: http://www.youtube.com/c/LuisaFernandaW",2d,88992,PT3M11S,0,True,814990,none,rectangular,2018-07-06T05:00:02.000Z,,"['luisa w', 'luisa fernanda w', 'vlogs', 'brosnacion', 'bros nacion', 'amparito', 'simon pulgarin', 'daniel jaramillo', 'dosogas', 'dosbros', 'mexico', 'argentina', 'colombia', 'yao cabrera', 'juan de dios pantoja', 'kimberly loaiza', 'kika nieto', 'ami rodriguez', 'wismichu', 'auron play', 'roast yourself challenge']",BLOQUEO  (roast yourself challenge) - LUISA FERNANDA W prod. dejota2021,kUO_xvCWCEk,38313110,CDIQAA
true,10,UC2y72duNLL3Ps0pST7RGQEQ,MBOofficial,30391,xxNoneFoundxx,hd,"การโคจรมาเจอกันครั้งแรกของไอดอลแห่งยุค พลอยชมพู กับ ต่อ ธนภพ
กับ Music Video ปลิว(Away) Single ที่ 2 ของพลอยชมพู ภายใต้สังกัด MBO ในเครือ GMM Grammy 
เรื่องราวของคนแอบรัก ที่ทำยังไงความรู้สึกนี้ก็ไม่เคยปลิวไปถึงเขาสักที.... T T

Digital Download *1231118 / iTunes Store / KKBox / JOOX

คำร้อง     เผ่าพันธุ์  อมตะ   
ทำนอง     สุวัธชัย  สุทธิรัตน์
เรียบเรียง  สุวัธชัย  สุทธิรัตน์

ได้เพียงแต่ยืนอยู่ไกล ไกล
ได้เพียงแต่มองจากในเงา
เฝ้าดูเรื่องราวผู้คนล้อมรอบตัวเธอ
  
ไม่เคยมีฉันอยู่ในนั้น 
และคงไม่มีวันนั้นเลย 
ฉันทำได้เพียงให้ความฝันปลอบใจในค่ำคืน
  
แค่เฝ้ามอง แค่ชื่นใจ แค่ยิ้มผ่านลมฟ้าไป
เผื่อเธอรับรู้ เผื่อเธอจะมองมาสักครั้งนึง
  
อยู่ภายในใจเป็นหมื่นล้านคำ
บอกให้เธอฟังไม่ได้ซักคำ 
เปล่งได้แค่เสียงเบา เบา ในยามลำพัง ว่าฉันรักเธอ ฉันรักเธอ
อยากให้ได้ยินคำในหัวใจ
แต่มันคงเบาไปไม่ถึงเธอ
หนึ่งคำว่ารักคงปลิวไปตามแรงลมก่อนถึงใจเธอ
แล้วก็คงสลายไป   
แม้มันจะมีอยู่บางครั้ง 
ที่เราเผอิญได้ใกล้กัน 
สายตาจากเธอก็มองข้ามผ่านไปอยู่ทุกที....

ติดต่องานแสดงศิลปิน โทร. 02 669 9966
ติดตามพลอยชมพู ได้ที่  
Facebook.com/MBOofficial
Instagram : MBOofficial
Twitter : @MBOtweet
Youtube : MBOofficial
Line@ : http://line.me/ti/p/%40mboline
Instagram : @jannineweigel",2d,19433,PT6M28S,0,True,531882,none,rectangular,2016-02-26T12:00:01.000Z,,"['away', 'newsingle', 'ploychompoo', 'jannineweigel', 'ปลิว', 'เพลงเพราะ', 'แกรมมี่', 'gmmgrammy', 'เพลงเศร้า', 'เพลงแอบรัก', 'เพลงฮิต', 'เพลงช้า', 'ฟังเพลิน', 'เพลงดัง', 'แอบรัก', 'ต่อธนภพ', 'mbo', 'เอ็มบริโอ้', 'สวย', 'ชมพู', 'เสียงดี', 'นาดาว', 'gdh', 'ไผ่ ฮอร์โมน', 'ต่อ', 'พี่ต่อ', 'จิ้น', 'คู่จิ้น', 'ฟิน', 'เพลงฮิต2016', 'เพลงไทยเพราะ']",ปลิว (Away) - Ploychompoo (Jannine W) [Official MV.],c91bNchSC5Q,117361485,CDIQAA
false,10,UCig8VXo12JBPN9MxB23rYYw,Banky Wellington,2792,xxNoneFoundxx,hd,"Written, Produced and Directed by Banky W, for Empire Mates Entertainment. Shot in NYC, and co-starring the winner of Best Actress in the 2016 AMVCA's, Miss Adesua Etomi.",2d,1872,PT5M56S,0,True,64807,none,rectangular,2016-02-26T11:34:48.000Z,,"['naija', 'afrobeats', '2face idibia', 'banky w', 'wizkid', 'davido', 'tiwa savage', 'timaya', 'nigerian music', 'wande coal', ""d'banj""]","Banky W - ""Made For You"" [Official Video ]",SY1xW7J_u5w,7856732,CDIQAA
false,10,UCJLIG5RKlQYPIVK8Zc1iEPg,JBEATZ DABEATZ,1092,xxNoneFoundxx,hd,PLEASE ENJOY AND SHARE,2d,1116,PT6M55S,0,False,7755,none,rectangular,2018-05-22T05:22:42.000Z,,xxNoneFoundxx,JBEATZ FEAT. BLONDEDY FERDINAND RENMEN’M RENMEN'W (OFFICIAL VIDEO),EcgluYGzl4g,1158592,CDIQAA
true,10,UCJrOtniJ0-NWz37R30urifQ,Alan Walker,250474,en,hd,"Hope you guys like this track - it's a remake of the instrumental ”Spectre” that I released a few years ago. Some of you might recognize it as it’s been part of my live shows lately. It’s a song that I specifically want to dedicate to my core fans, who’ve been following me since the start. Excited to hear what you think, leave your comment in the section below!

Listen to ”The Spectre” on Spotify: http://spoti.fi/2xIFwSk 
Listen to ”The Spectre” on iTunes: http://apple.co/2eBf4po
Listen to ”The Spectre” on Apple Music: http://apple.co/2vY3I0Y
Listen to ""The Spectre"" on Tidal: https://tidal.com/album/78173586
Listen to ”The Spectre” via other plattforms: https://AlanWalker.lnk.to/TheSpectre

#WorldOfWalker

Merch available at http://bit.ly/AlanWalkerMerch

Instagram: http://bit.ly/AlanWalker_Instagram
Facebook: http://bit.ly/AlanWalker_Facebook
Snapchat: http://bit.ly/AlanWalkerSnapchat
Twitter: http://bit.ly/AlanWalker_Twitter

Video credits:
Concept: MER
Director: Alexander Zarate Frez & Audun Notevarp
DOP: Alexander Zarate Frez & Lars Erik Steffensen
Editing: Alexander Zarate Frez
Motion Graphics & Grading: Audun Notevarp
Lighting: Kenneth Tangen
Choreography & dancing: Quick Style Studio (Arvin Go, David Leung, Jan Erik Santos, Jonas Storheim)

Lyrics:
Hello, hello
Can you hear me
As I scream your name
Hello, hello
Do you need me
Before I fade away

Is this a place that I call home
To find what I've become
Walk along the path unknown
We live, we love, we lie

Deep in the dark
I don't need the light
There's a ghost inside me
It all belongs to the other side
We live, we love, we lie

Hello, hello
Nice to meet you
Voice inside my head
Hello, hello
I believe you
How can I forget",2d,92636,PT3M27S,0,True,3568982,none,rectangular,2017-09-15T07:02:57.000Z,,"['Alan Walker', 'DJ Walkzz', 'K-391', 'House', 'Techno', 'Spectre', 'The Spectre', 'Alan', 'Walker', 'Faded', 'NCS', 'EDM', 'DJ', 'Alan Walker Faded', 'unmasked', 'live', 'hello', 'nice to meet you', 'Voice inside my head', 'Alone', 'Walkers', 'alan walker alone', 'The Spectre lyrics', 'lyrics', 'World of walker', 'worldofwalker']",Alan Walker - The Spectre,wJnBTPUQS5A,438264895,CDIQAA
false,10,UCQuSMKcwirmoLvzR4qlKjoQ,ProstoTV,7148,xxNoneFoundxx,hd,"http://www.facebook.com/rozbojnikalibaba
http://www.facebook.com/synalkaponooficjalnie
http://www.facebook.com/kazansens
http://www.facebook.com/prostolabel
http://www.facebook.com/prostossf
http://www.facebook.com/r5filmsofficial

Title: W sieci;
Artist: Rozbójnik Alibaba;
Producer: Rozbójnik Alibaba;
Lyrics: Pono, Kazan;
Featuring: Pono, Kazan, Laura;
Chorus: Laura;
Album: Bal maturalny;
File: Video;
Video production: R5 Films;

Subscribe our ProstoTV channel
Subskrybuj nasz kanal ProstoTV

Aby ustawić sygnał oczekiwania u poszczególnych operatorów należy postępować zgodnie z informacją poniżej:
Orange (Halogranie)  Wyślij KUP 1426790 na numer 3333 (cena 3,69 zł z VAT + 2 zł z VAT/mc)
T-Mobile (Granie na czekanie bez limitu)  Wyślij 44484* na numer 444 (cena 4,99 zł z VAT/m-c + koszt wysłania SMS)
Play (Muzyka na czekanie)  Wyślij 1161826 na numer 333 (cena 2 zł z VAT)
Plus (Czasoumilacz)  Wyślij P33160 na 333 (cena 2.52 z VAT)",2d,5524,PT4M39S,0,True,109511,none,rectangular,2013-04-03T14:59:02.000Z,,"['rozbójnik alibaba', 'alibaba', 'robert m', 'w sieci', 'pono', 'kazan', 'laura', 'r5 films', 'prosto tv', 'bal maturalny', 'prosto label']","Rozbójnik Alibaba feat. Pono, Kazan, Laura - W sieci",blEqiOdW3eE,33952435,CDIQAA
false,10,UCig8VXo12JBPN9MxB23rYYw,Banky Wellington,2769,xxNoneFoundxx,hd,"This is the video for ""Yes/No"".. the lead single from Banky W's #R&BW album. The song was produced by Cobhams Asuquo. The video was co-directed by Clarence Peters and Banky W. The #R&BW album drops on Valentine's Day in 2013. Quite simply put, it captures a love story. Hope you enjoy it...",2d,1620,PT4M39S,0,True,40296,none,rectangular,2012-12-30T06:15:32.000Z,,"['banky w', 'wizkid', 'skales', 'eme', 'naija', 'nollywood', 'davido', 'tuface', '2face', 'dbanj', 'africa', 'afrobeats', 'african', 'music', 'sexy', 'soul', 'r&b', 'rnb', 'shaydee', 'niyola', 'djxclusive', 'iceprince', 'naija music', 'african music', 'banky wellington', 'empire mates entertainment', 'may-d', 'afropop', 'childhood crush', '#R&BW', 'psquare', 'iyanya', 'nigeria', 'darey', 'dare art alade', 'ice prince', 'azonto', 'etighi', 'dance', 'ballad', 'chris brown', 'ne-yo', 'usher', 'samba', 'Soul Music (Musical Genre)', 'Usher (entertainer)', 'flavour', 'r&bw']","Official Video: Banky W - ""Yes/No""",0kRnrIh0hyA,7355279,CDIQAA
true,10,UCqqLLbOfdaFrCiMzcsiU5Hg,TwoPieAreSquared,10332,xxNoneFoundxx,sd,An Immortal Technique classic.,2d,4420,PT9M42S,0,False,100863,none,rectangular,2008-12-28T08:16:08.000Z,,"['Immortal', 'Technique', 'Revolutionary', 'Vol.', 'Dance', 'With', 'the', 'Devil', 'Diabolic', 'Hidden', 'Track', 'Lyrics', 'Full', 'Version']",Immortal Technique - Dance With the Devil (Full Version w/ Lyrics and Hidden Track ft. Diabolic),k8yKTuvRmPE,13506645,CDIQAA
true,10,UCZv9g3AfQQVCJbtLZbrfIUg,Vanila Records,1130,xxNoneFoundxx,hd,"🎧 http://soundline.biz/PlayboysJawtoniewierzeOriginalMix

Oficjalny teledysk grupy Playboys do utworu 'Ja w to nie wierze'!
📞KONCERTY: 508 750 659
🔹FB Playboys - https://goo.gl/7lN1Oj
🔹FB Vanila Records - https://goo.gl/mGJMIE
♦️Subskrybuj Vanila Records - https://goo.gl/cexwUu

Ustaw utwór Ja w to nie wierze zamiast nudnego bipa w Twoim telefonie!
Wyślij OR978 na numer 80833 (0 zł)
Abonament miesięczny:
Play – 2zł
Plus – 2,02zł
T-Mobile – 4,99zł
Orange – 4zł
reg. halodzwonek.pl

Serdeczne podziękowania dla:
Lilla Art Photography📸 
https://www.facebook.com/LillaArtPhotography/

Aranżacja🎹
https://m.sendspace.com/file/y9yqaj

Management: Impresariat www.impresariat.pl
biuro@impresariat.pl
Koncerty, media: Krzysztof Bogucki +48 508 750 659
Wydawca: Vanila Records www.vanilarecords.pl
PLAYBOYS - JA W TO NIE WIERZE (C) +(P) 2018 Vanila Records

Album dostępny na empik.com i w serwisach z muzyką cyfrową:
http://soundline.biz/PlayboysJawtoniewierzeOriginalMix

iTunes https://itunes.apple.com/pl/album/ja-w-to-nie-wierz%C4%99-single/1391742335?l=pl&ls=1&app=itunes
Apple Music https://itunes.apple.com/pl/album/ja-w-to-nie-wierz%C4%99-single/1391742335?l=pl
Tidal https://listen.tidal.com/album/89641802
Wimp https://play.wimpmusic.com/album/89641802
Spotify https://open.spotify.com/album/6yd5KiiD5tUOGgwCCusjcr
Deezer https://www.deezer.com/pl/album/64773232
Google Play https://play.google.com/store/music/album/Playboys_Ja_w_to_nie_wierz%C4%99_Original_Mix?id=Bp7z76j6k7og75skpmu5r4kr77u
Empik.com http://www.empik.com/ja-w-to-nie-wierze,p1201792651,ebooki-i-mp3-p
Plus Music https://plusmusic.pl/album/3900980/ja-w-to-nie-wierze-original-mix
PlayTheMusic http://www.playthemusic.pl/mp3/utwor.html?pid=2939071&artistId=276026&t=Playboys%2BJa+w+to+nie+wierze+Original+Mix
Muzyka T-Mobile http://www.muzyka.t-mobile.pl/main/utwor.htm?pid=5275194

Bądź na bieżąco! Subskrybuj kanał Vanila Records: http://bit.ly/VanilaRecords",2d,3954,PT5M1S,0,True,40517,none,rectangular,2018-05-30T16:17:29.000Z,,"['disco polo', 'discopolo', 'vanilarecords', 'vanila records', 'impresariat', 'hit 2018', 'disco 2018', 'nowość 2018', 'nowość', 'nowosc', 'disco hity', 'najlepsze disco', 'disco', 'polo', '2018', 'playboys', 'ja w to nie wierze', 'ja w to nie wierzę', 'playboys - ja w to nie wierzę', 'playboys ja w to nie wierze', 'tylko ty', 'dotykac calowac', 'dotykać całować', 'disco polo 2018', 'nowośc disco polo']",Playboys - Ja w to nie wierze (Oficjalny teledysk) DISCO POLO 2018,XajbMJ2c5C4,11226424,CDIQAA
