caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token,contentRating
true,10,UCdVlI3zsHhvKKH4OEQVHyHA,EllaMaiVEVO,72274,xxNoneFoundxx,hd,"Pre-order 'Ella Mai' now: http://smartURL.it/EllaMai
Subscribe for more: http://smartURL.it/EllaMaiYT

Follow Ella Mai:
http://www.instagram.com/ellamai
http://www.facebook.com/ellamai
http://www.twitter.com/ellamai

#EllaMai #BoodUp

Music video by Ella Mai performing Boo'd Up. © 2018 10 Summers Records, LLC

http://vevo.ly/RvG7bq",2d,115333,PT4M2S,0,True,1657525,none,rectangular,2018-04-26T17:00:01.000Z,,"['Ella', 'Mai', ""Boo'd"", 'Up', '10', 'Summers', 'Interscope', 'PS']",Ella Mai - Boo'd Up,6YNZlXfW6Ho,248012330,CDIQAA,
false,10,UCZ430y2VULo_kIPplRBgsaw,D. Ace Officiel,1082,xxNoneFoundxx,hd,"Découvrez le quatrième épisode la série "" Les 7 Péchés Capitaux ""  Avarice

 ► Billet la Cigale: 
https://www.weezevent.com/dace-a-la-cigale

 ► Single dispo ici : 
https://lnk.to/DAce-Les7PechesCapitaux-Avarice

Contact : officieldace@gmail.com

Réalisation : HaMé
Compositeur : John Kercy

© JUSTON RECORDS 2018

Retrouvez moi sur mes réseaux :

https://www.facebook.com/D.aceofficiel
https://www.instagram.com/D_acereal
https://twitter.com/SamakeD_ace

Snap : Smk_D

Venez me voir au concert à la Cigale le 12 Janvier 2019 à 19:00 !  

Lien billeterie : https://www.weezevent.com/dace-a-la-cigale",2d,181,PT3M1S,0,True,15190,none,rectangular,2018-10-09T16:00:06.000Z,,"['D.ACE', 'freestyle poulet', 'les 7 péchés capitaux', 'Avarice', 'mangas 2', 'mangas']",D. Ace - Les  7 Péchés Capitaux - ( Avarice #4 ),g_-AurEgZaM,205916,CDIQAA,
false,10,UCBNkm8o5LiEVLxO8w0p2sfQ,JustinGuitar,43,xxNoneFoundxx,hd,"D Chord Using A C Shape. Web Link: https://www.justinguitar.com/modules/59-second-guitar-lessons
59 Second Guitar Lesson? Yeah, I'm trying to make super short guitar lessons for y'all with short attention spans! :) Basically, chop out all the waffle and get to the point super fast... but many of these will have an extended mix on the website.

http://www.justinguitar.com

See my web site for hundreds more free lessons, loads of songs and detailed courses for beginners and intermediate players getting into blues, jazz, fingerstyle and many lessons on technique, aural training and loads more...

And it is all totally free, no bull. No sample lessons, no memberships, no hard sell and spammy emails, no free ebook. Just hundreds and hundreds of great lessons :)

To get help with this lesson and get additional notes and tips, use the Lesson ID in the search box at the top of the web site!

Hope you enjoy it - if you do please subscribe to my YouTube Channel
and come find me on my socials below. Much appreciate the support!

• YouTube Lessons
https://www.youtube.com/user/JustinSandercoe
• YouTube Songs
https://www.youtube.com/user/JustinSandercoeSongs
• Facebook
https://www.facebook.com/justinguitarofficial
• Twitter
https://twitter.com/justinsandercoe
• JustinGuitar Community (forum)
https://www.justinguitarcommunity.com",2d,3,PT1M,0,True,259,none,rectangular,2018-10-10T16:00:10.000Z,,"['justinguitar', 'justin guitar', 'guitar lessons', 'guitar tutorial', 'guitar', 'lesson', 'f56a 66 Ewe', '59 second guitar lesson', '59 seconds', 'D Chord Using a C Shape', 'D Chord', 'how to play D', 'D Chord variations', 'chord fun', 'shapes', 'chords', 'guitar chords', 'easy']",59 Second Guitar Lesson: D Chord Using A C Shape (#002),tWYz-L4F2tI,3273,CDIQAA,
false,10,UCz015ho6P0Ooo7IZFyQU7fw,Tee Grizzley,15527,xxNoneFoundxx,hd,"Get ACTIVATED Now: https://ffm.to/activated

Subscribe to Tee Grizzley's Channel: http://flyt.it/SubscribeTee

Listen to ""From The D To The A"" 
Spotify: http://flyt.it/DtotheA
iTunes: http://flyt.it/DtotheA_IT
Google Play: http://flyt.it/DtotheA_GP",2d,20059,PT2M50S,0,True,393808,none,rectangular,2017-05-05T16:16:05.000Z,,"['lil yachty', 'tee grizzley', 'from the d to the a', 'detroit', 'atlanta', 'tee grizzley jail', 'first day out', 'no effort', 'hip hop', '21 savage', '300', '300 entertainment', '300 ENT']","Tee Grizzley - ""From The D To The A ft. Lil Yachty"" [Official Video]",-S0aea777jM,54603737,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,5095,xxNoneFoundxx,hd,"Listen to the official audio for ""Boo'd Up Remix"" by Plies.

SUBSCRIBE for more: http://bit.ly/subWSHH 

More WorldstarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar
https://facebook.com/worldstarhiphop
http://instagram.com/worldstar
 
Shop WorldStar:
http://shop.worldstarhiphop.com

WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.

Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.

We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.",2d,12674,PT4M54S,0,False,181434,none,rectangular,2018-05-17T22:10:43.000Z,,"['world star hip hop', 'worldstarhiphop', 'worldstar', 'world star', 'worldstar youtube', 'youtube worldstar', 'worldstarhiphop youtube', 'youtube worldstarhiphop', 'worldstarhiphop channel', 'wshh', 'hip hop', 'hip hop music', 'rap', 'rap music', 'music', 'music video', 'exclusive', 'WSHH exclusive', 'Plies Bood Up', 'Plies', ""Boo'd Up"", ""Plies Boo'd Up"", 'Ella Mai', 'Plies Feat. Ella Mai', 'Ella Mai Remix', 'Ella Mai Bood Up', 'Plies Music', 'Plies 2018', 'Worldstar', 'Official Audio']","Plies ""Boo'd Up"" (Ella Mai Remix) (WSHH Exclusive - Official Audio)",FkU70ySifj4,20134149,CDIQAA,
false,10,UC9olj0UlwlrE60pNZeTLWZw,Ella Mai - Topic,11450,xxNoneFoundxx,hd,"Provided to YouTube by Universal Music Group North America

Boo'd Up · Ella Mai

READY

℗ 2017 10 Summers Records, LLC

Released on: 2017-02-22

Producer: Mustard
Co- Producer: Larrance “Rance"" Dopsin
Author, Composer: Ella Mai
Author, Composer: Dijon McFarlane
Author, Composer: Larrance Dopson
Author, Composer: Joelle James
Music Publisher: BMG Platinum Songs
Music Publisher: Ella Howell Publishing Designee
Music Publisher: Songs MP
Music Publisher: WB Music Corp.

Auto-generated by YouTube.",2d,35892,PT4M16S,0,True,431969,none,rectangular,2017-02-24T03:30:30.000Z,"{'allowed': ['CA', 'MX', 'US']}","['Ella Mai', 'READY', ""Boo'd Up""]",Boo'd Up,x00MCqDrM0E,49272271,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,7800,xxNoneFoundxx,hd,"Listen to the official audio of ""From The D To The A"" by Tee Grizzley x Lil Yachty.

Spotify: http://flyt.it/DtotheA
iTunes: http://flyt.it/DtotheA_IT
Google Play: http://flyt.it/DtotheA_GP

Subscribe to Tee Grizzley's official channel: https://goo.gl/46DBpK. 

Follow Tee Grizzley: 
https://instagram.com/tee_grizzley
https://twitter.com/Tee_Grizzley
https://facebook.com/teegrizzley1

SUBSCRIBE to the Official WorldStarHipHop Channel for more original WorldStar material, music video premieres, and more: http://goo.gl/jl4las

More WorldstarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar (Follow)
https://fb.com/worldstarhiphop (Like)
http://instagram.com/worldstar (Photos)
http://shop.worldstarhiphop.com (Shop)",2d,12713,PT2M43S,0,False,203407,none,rectangular,2017-03-17T05:41:18.000Z,,"['new hip hop songs', 'rap', 'hip hop', 'wshh exclusive', 'Tee Grizzley', 'Lil Yachty', 'From The D To The A', 'Tee Grizzley From The D To The A', 'Lil Yachty From The D To The A', 'Atlanta', 'Detroit', 'Official Audio', 'Worldstar', 't grizzley', 't grizzly', 'tee grizzley 2017', 'lil boat', 'lil yachty music', 'tee grizzley music', 'tee grizzley youtube', 'lil yachty youtube', 'd to the a youtube', 'youtube tee grizzley', 'tee grizzley music video', 'lil yachty music video', 'tee grizzley d to the a', 'lil yachty d to the a']","Tee Grizzley x Lil Yachty ""From The D To The A"" (WSHH Exclusive - Official Audio)",L7dwub7Fzsc,29134226,CDIQAA,
false,10,UCz7h6Eshwht37ryP7up2NmQ,Link Up TV | Music,105,xxNoneFoundxx,hd,"👉 SUBSCRIBE & ENABLE 🔔 for more: http://goo.gl/cBSDnP
📱 INSTALL our UK mixtapes APP for iOS & Android: http://splt.cc/lutv
➡️ Visit our website for the latest videos: http://splt.cc/thelinkup

FACEBOOK: http://goo.gl/vDzP6 -- TWITTER: http://goo.gl/ZvbkK

Browse Our Online Shop: http://goo.gl/IkVjZX
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
For enquiries visit our website or see email list below:

Advertising Enquiries - advertising@linkuptv.co.uk
Mixtape Promotion - mixtapes@linkuptv.co.uk
Video Production - production@linkuptv.co.uk
Upload your video to our YouTube Channel - http://goo.gl/rd1UTz
Appear On Freestyle Show - freestyle@linkuptv.co.uk

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
If you believe this video breaches your copyright, please direct your DMCA related emails to enea@linkuptv.co.uk",2d,65,PT2M36S,0,True,282,none,rectangular,2018-10-08T17:30:00.000Z,,"['linkuptv', 'link', 'up', 'tv', 'thelinkup.com', 'tim', 'westwood', '1xtra', 'djvlad', 'ukf', 'grime', 'free', 'freestyle', 'hip-hop', 'rap', 'city', 'hiphop', 'pacman', 'mixtapes', 'music', 'video', 'urban', 'degree', 'hosting', 'claim', 'credit', 'donate', 'insurance', 'loans', 'mortgage', 'london', 'uk', 'sbtv', 'grm', 'grimedaily', 'sb.tv', 'jumpoff', 'charlie', 'sloth', 'spiff', 'dontflop', 'p110', 'jdzmedia', 'grimereport', 'zane', 'beats', 'mobo', 'big', 'shaq', 'stormzy', 'hus', 'Drake', 'Behind', 'Barz', 'Behindbarz']",M Dot R x D Live - All Girls [Music Video] | Link Up TV,5UQJN9idCN0,8868,CDIQAA,
false,10,UCUlnP5qJXAJ47e0snB8cpxw,SiRVEVO,1288,xxNoneFoundxx,hd,"Music video for D'Evils performed by SiR.

TXDXE.com

https://itunes.apple.com/us/artist/sir/884211644

Copyright (C) 2018 Top Dawg Entertainment.
---
Powered by http://www.vydia.com

http://vevo.ly/7EX4AU

#SiR #DEvils #Vevo #RandB #VevoOfficial",2d,798,PT3M40S,0,True,51465,none,rectangular,2018-05-04T18:00:06.000Z,,"['inglewoodsir', 'TDE', 'music', 'music video', 'vydia', ""D'Evils"", 'SiR', 'R&B/Soul', 'November', '2018', 'Top Dawg Entertainment', 'Karena Evans', 'Darryl Farris', 'vevo']",SiR - D'Evils,txZVJ24UVUs,2575382,CDIQAA,
false,10,UCO8JJg8OjpnOAEZubKIijNQ,TeeFLii - Topic,6,xxNoneFoundxx,hd,"Provided to YouTube by Sony Music Entertainment

This D · TeeFLii · DJ Mustard

This D

℗ 2013 Epic Records, a division of Sony Music Entertainment

Released on: 2013-10-02

Associated Performer: TeeFLii and DJ Mustard
Composer, Lyricist, Mastering  Engineer, Mixing  Engineer, Recording  Engineer: Christian Jones
Composer, Lyricist: Dijon McFarlane
Producer: Dijon ""DJ Mustard"" McFarlane

Auto-generated by YouTube.",2d,61,PT3M5S,0,True,836,none,rectangular,2014-11-08T07:36:36.000Z,"{'allowed': ['PR', 'GU', 'US', 'VI', 'AS', 'BY', 'IN', 'ZA', 'RU', 'UA', 'ID']}","['TeeFLii', 'DJ Mustard', 'This D', 'This D']",This D,jWazvxPfWvA,53232,CDIQAA,
