caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UCzTR9iSH-TFC4-ocDS_ll4A,Sheet Music Boss,13851,xxNoneFoundxx,hd,"It's E... ...but Russian.
▶ Patreon is right here! https://www.patreon.com/sheetmusicboss
▶ Learn piano easily: https://tinyurl.com/sheetmusic-flowkey

Get the newest sheets:
▶ Musicnotes: https://tinyurl.com/smb-musicnotes
▶ Gumroad: https://gumroad.com/sheetmusicboss
▶ Sheet Music Plus: https://tinyurl.com/smb-sheet-music

Written by Andrew Wrangell
Edited by Samuel Dickenson

Follow Sheet Music Boss!
▶ https://sheetmusicboss.wordpress.com/
▶ https://www.facebook.com/SheetMusicBoss/
▶ https://www.twitter.com/SheetMusicBoss/
▶ https://sheetmusicboss.tumblr.com/

We have been doing this piano channel for a while, but I think we've finally peaked. It's all downhill after this one lads.

Lyrics:
E (x2)",2d,1594,PT2M58S,0,True,85579,none,rectangular,2018-06-01T21:00:01.000Z,,"['Piano Tutorial', 'rush e', 'e meme', 'russian e', 'sheet music boss rush e', 'impossible', 'meme']",RUSH E,Qskm9MTz2V4,2683655,CDIQAA
false,10,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,1942,xxNoneFoundxx,hd,"Acesse o Portal KondZilla
https://goo.gl/5pZpcC

Inscreva-se no Favela Venceu by KondZilla:
https://goo.gl/a7Tt6X

Confira os lançamentos da KondZilla Wear
http://bit.ly/kondzillawear

OUÇA NOSSOS Hits:
https://goo.gl/UBHQgS


SHOWS:
11) 94732-7318- Haroldo Bruno
(11) 98341-4860- Kleber Kokão
(11) 5677-2310- Play Produtora

REDES SOCIAIS:
MC DG
Instagram: @mcdg.oficial
Facebook: https://www.facebook.com/Emicidg/

Jhury Machado
Instagram: @jhurymachado
Facebook: https://www.facebook.com/jhurymachado/

LETRA:
Quando a sua bunda tiver esse movimento
A gente conversa tá?

Quando a sua bunda tiver esse movimento
A gente conversa tá?

Entra na dança e vai...
Tron tron tron tron
Eu só saio de casa pra dar close toda hora
Quem tem joga
Joga joga joga joga joga

A minha inspiração é a dança dessas gostosas
Quem tem joga
joga joga joga joga

Você quer ir pra onde?
Você quer viajar?
Foca na cintura dela que ela vai te guiar

Você quer ir pra onde?
Você quer viajar?
Foca minha cintura  que ela vai te guiar

Copyright © 2018 KondZilla® Filmes Ltda. Todos os direitos reservados.",2d,4044,PT4M12S,0,True,47071,none,rectangular,2018-09-27T20:00:02.000Z,,"['kondzilla', 'videoclipe', 'oficial', 'kond', 'zila', 'zilla', 'funk', 'lançamento', 'portal', 'kevinho', 'brega', 'bregafunk', 'jhury machado', 'mc dg', 'esse movimento megatron', 'Jhury Machado e MC DG - Esse Movimento Megatron (kondzilla.com)']",Jhury Machado e MC DG - Esse Movimento Megatron (kondzilla.com),K4xdLB1rw-M,1295289,CDIQAA
false,10,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,270380,xxNoneFoundxx,hd,"Acesse o Portal KondZilla
https://goo.gl/TS1PFX

Inscreva-se no Favela Venceu by KondZilla:
https://goo.gl/a7Tt6X

OUÇA NOSSOS Hits:
https://goo.gl/UBHQgS


SHOWS:
Start Music
(11) 2385-6292
Marcelo
(11) 94782-8478


LETRA:

Envolvimento diferente eu ensino a vocês 
Eu vou sentar e vou quicar
E vou descendo de uma vez 

Esse hit é chiclete na tua mente vai ficar
Sento, sento, sento, sento
E quico devagar (3x) 

Tu não precisa exagerar
Muito menos se empolgar 

Tu vai sentar, tu vai sentar, tu vai sentar devagar (3x) 

O nosso bonde é sinistro 
Vem cá que eu vou te ensinar 
A descer, a subir, a quicar e rebolar (4x ) 
A quicar e rebolar (2x) 

E ae, DJ 
Escama só de peixe  
Uai 

“Cebruthius’’

Copyright © 2018 KondZilla® Filmes Ltda. Todos os direitos reservados.",2d,506606,PT3M17S,0,True,3417264,none,rectangular,2018-02-09T21:19:09.000Z,,"['kondzilla', 'videoclipe', 'oficial', 'kond', 'zila', 'zilla', 'funk', 'ostentação', 'lançamento', '2017', 'mc loma', 'gemas lacracao', 'mc loma e as gêmeas lacração - envolvimento', 'hit', 'hit do carnaval', 'cebruthius', 'escama', 'só de peixe', 'so de peixe']",MC Loma e as Gêmeas Lacração - Envolvimento (KondZilla),lgJOJAmXlBw,225275097,CDIQAA
false,10,UC605s7hMHDSDaUx3txHckGQ,Marcos e Belutti,468,xxNoneFoundxx,hd,"Vídeo OFICIAL da música Legítima Defesa - Marcos e Belutti part. Xand Avião.

PARA SHOWS:  (67) 99690-4866
shows@marcosebelutti.com.br

Tá me acusando com toda razão
Matei minha vontade em outra boca
E não vou te pedir perdão
Quem nunca esteve em meu lugar
Pode até me apedrejar

Mas se você parar pra me ouvir
Vai ver que nossa história não é bem assim
Eu vou protocolar minha defesa
Vou virar a mesa em meu favor

Eu tenho muitas provas do seu desamor

Se eu matei a solidão 
Foi por falta de atenção
Crime não premeditado
Mereço ser perdoado

Se eu matei minha carência 
Foi por falta de assistência
Fui tratado com frieza
Foi legítima defesa

Produção musical: Ray Ferrari
Composição: Flávio Corel / Paulo Vitor / Kauê Segundêro / Pedro Taveira / Marcelo Martins
Gravadora: Sony Music

Conecte-se com Marcos e Belutti:
▶ YouTube: http://youtube.com/marcosebelutti
▶ Facebook: https://www.facebook.com/marcosebeluttioficial
▶ Instagram: https://www.instagram.com/marcosebelutti
▶ Twitter: http://www.twitter.com/marcosebelutti",2d,215,PT2M52S,0,True,16537,none,rectangular,2018-09-28T14:00:12.000Z,,"['Marcos e Belutti', 'Marcos', 'Belutti', 'Xand Avião', 'Xandy', 'Xandy Aviões', 'Sertanejo', 'Sucesso', 'Lançamento', 'Top', 'Mais Tocadas', 'Paredão', 'Playlist', 'Churrasco', 'Zé Neto e Cristiano', 'Jorge e Mateus', 'Henrique e Juliano', 'Humberto e Ronaldo', 'Luan Santana', '#elenão', 'Anitta', 'Marilia', 'Marilia Mendonça', 'Naiara Azevedo', 'Multishow', 'TVZ', 'Wesley Safadão', 'Gusttavo Lima', 'Chitãozinho', 'Luciano Huck', 'Caldeirão', 'Simone e Simaria', 'Maiara e Maraisa', 'Tatá', 'Daniela Mercury', 'VillaMix', 'Festeja', 'Festival', 'Woods']",Marcos e Belutti - Legítima Defesa - Part. Xand Avião - DVD 10 Anos,dvhVSvM1pwQ,1003910,CDIQAA
false,10,UCAILl3AE11CoqiSVs6rBwBQ,CBC Music,64,xxNoneFoundxx,hd,"""It's not great music, but it's really lovely to listen to...""

We gave actors Amybeth McNulty and R. H. Thomson from CBC’s Anne with an E the ultimate playlist featuring songs from Aretha Franklin, Stompin Tom Connors, The Tragically Hip and more!

What do you think of our playlist?

Subscribe to our channel! https://youtube.com/cbcmusic

CBC Music is your hub for coast-to-coast-to-coast Canadian music. Watch exclusive performances, candid interviews, and behind-the-scenes content featuring your favourite artists. Visit http://cbcmusic.ca for the full story!

Follow us on Facebook: https://facebook.com/CBCMusic
Or Twitter: https://twitter.com/cbcmusic
Or Instagram: https://instagram.com/cbc_music

--------------------------------------------------

Get more music, film and arts interviews at CBC's q: https://youtube.com/user/Qtv
And learn a thing or two about music at: https://youtube.com/cbcmusiclab",2d,2,PT2M6S,0,True,908,none,rectangular,2018-09-29T13:00:04.000Z,,"['anne with an e', 'cbc music', 'cbc anne with an e', 'jam or not a jam anne with an e', 'amybeth mcnulty', 'r.h. thomson', 'canadian actors', 'anne of green gables', 'aretha franklin', 'stompin tom connors', 'the tragically hip', 'ariana grande']",Jam or Not a Jam with the cast of Anne with an E,ETnKHvq0Cbk,11361,CDIQAA
false,10,UC-tDtay-KBnW7nuZ0lHAGQA,E40VEVO,11368,xxNoneFoundxx,hd,"E-40 - Choices (Yup)

Featuring cameos from damn near the entire rap game, Bay Area Royalty and Hip-Hop Icon E-40 weighs his options in his latest video for his hit single, ""Choices (Yup).” The Vallejo native flexes his lyrical muscle, as a seemingly endless cameo of Hip-Hop’s who’s-who flashes in the background. The track is found on 40 Water’s, Sharp on All 4 Corners 1, and the Deluxe Edition available now. 
 
Choices single @ iTunes = http://smarturl.it/E-40_Choices
Choices single @ Spotify = http://smarturl.it/Choices_Spotify
 
Sharp On All 4 Corners 1 = http://smarturl.it/E40Sharp1
Sharp On All 4 Corners Deluxe = http://smarturl.it/E40sharp

http://vevo.ly/sTk2z0",2d,24627,PT4M45S,0,True,353131,none,rectangular,2015-07-09T21:30:01.000Z,"{'allowed': ['CA', 'US']}","['E-40', 'Choices', '(Yup)', 'UNIVERSAL', 'MUSIC', 'LLC', 'Rap/Hip-Hop']",E-40 - Choices (Yup),bRChz-OYi9o,45235170,CDIQAA
false,10,UCRRu9OXVYd5clj2Bs29gUVQ,Zé Neto e Cristiano,1422,xxNoneFoundxx,hd,"Zé Neto e Cristiano - LUGAR BOM - #EsqueceOMundoLaFora

OUÇA OS ÁUDIOS OFICIAIS CLICANDO NO LINK
https://SomLivre.lnk.to/EsqueceoMundoLaForaDeluxe

Zé Neto e Cristiano - LUGAR BOM - Esquece O Mundo Lá Fora
INSCREVA-SE NO NOSSO CANAL NO YOUTUBE.
Contatos para shows: (62) 3241-7163 / (62) 9109-9766

LUGAR BOM [ Letra ]
Compositores: Cristyan Ribeiro, Ray Ferrari

Eu sei que você tem
Um lugar bom pra morar
Não tem porque sair de lá
A um cem metros tem
Um parque bom pra caminhar
E um shopping pra você gastar

Mas tem um lugar aqui
Que não compara esse
E a sensação que vai sentir
Vai ser melhor mil vezes

Vem morar no meu coração
No melhor lugar que tem lá
Sem nenhum vizinho pra te perturbar

Vem morar no meu coração
No melhor lugar que tem lá
Hoje só o amor pode entrar

Mas tem um lugar aqui
Que não compara a esse
E a sensação que vai sentir
Vai ser melhor mil vezes

Vem morar no meu coração
No melhor lugar que tem lá
Sem nenhum vizinho pra te perturbar

Vem morar no meu coração
No melhor lugar que tem lá
Onde só o amor pode entrar",2d,920,PT2M47S,0,True,84680,none,rectangular,2018-09-28T14:01:43.000Z,,"['zé neto e cristiano', 'largado as traças', 'derreter a aliança', 'status que eu não queria', 'Esquece o Mundo Lá Fora', 'Sertanejo', 'Armadura', 'Morador de rua', 'Notificação preferida', 'Derretar a aliança', 'Bebida na ferida', 'Mulher maravilha', 'A farra perdeu pro amor', 'ontem era eu', 'amor a primeira esquina', 'grão de arroz', 'água na peneira', 'Na base da pancada', 'to voltando', 'tô voltando', 'tô voltando zé neto e cristiano', '#zenetoecristiano', 'luga bom', 'zé neto e cristiano lugar bom']",Zé Neto e Cristiano - LUGAR BOM - #EsqueceOMundoLaFora,OTh0s23rYig,1631909,CDIQAA
false,10,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,59406,xxNoneFoundxx,hd,"Acesse o Portal KondZilla
http://www.kondzilla.com/

Ouça os nossos Hits no Spotify:
https://open.spotify.com/user/kondzilla

Inscreva-se no Canal da KondZilla e assista os clipes antes de todo mundo.
https://goo.gl/HXfRT5

Compre agora os bonés da KondZilla
http://loja.kondzilla.com/


DOWNLOAD:
https://soundcloud.com/kondzilla/mc-gustta-e-mc-dg-abusadamente

SHOWS:
KondZilla
(11) 2385-0126

PRODUÇÃO MUSICAL:
MC Gustta

LETRA:

Abusadamente
Bum, bum, bum, bum

Abusadamente
Ela vai batendo
Bumbum
Ela vai sentando
Bumbum
Ela vai quicando
Bumbum

Abusadamente
Ela vem batendo
Bumbum
Ela vem quicando
Bumbum
Ela vem tremendo
Bumbum

E a partir desse momento
Taca em um por um
O bumbum, bumbum

Olha o tamanho dessa raba
Ela joga na cara
Bumbum
Joga na cara
Dos quebrada
Bum

Vou ter que assumir
Que tu é fod*
Bumbum
Que tu é brava
Com a jogada de bunda
Toda recalcada pára

Olha a Maria
Jogando a bunda
Olha a Carlinha
Jogando a bunda
Olha a Fernanda
Jogando a bunda
Essas meninas
Tão doida e maluca

Ela joga a bunda pro alto
Caiu, deixa bater
Ela joga a bunda pro alto
E cai no Gustta e no DG

Copyright © 2017 KondZilla® Filmes Ltda. Todos os direitos reservados.",2d,97340,PT3M54S,0,True,1863771,none,rectangular,2017-08-21T23:11:33.000Z,,"['kondzilla', 'videoclipe', 'oficial', 'kond', 'zila', 'zilla', 'funk', 'ostentação', 'lançamento', '2017', 'mc gustta e mc dg', 'mc gustta', 'mc dg', 'abusadamente', 'playlist funk', 'melhor do funk', 'gustta', 'dg', 'abusada mente', 'mente abusada']",MC Gustta e MC DG - Abusadamente (KondZilla),Jy93WgiXtzo,208957807,CDIQAA
true,10,UCyL2zsWDGzMSvbbMoPNlOlA,Israel Novaes,1034,xxNoneFoundxx,hd,"#Chip #DesafioDoChip #IsraelNovaes #JerrySmith #Psirico

Intérprete: Israel Novaes Feat. Jerry Smith e Márcio Victor (Psirico)
Música: Chip 
Compositores: Israel Novaes / Jenner Melo / Bruna Mendanha 
Gravadora: MM Music

♪
-

Oh mulher tu tem um Chip ai

E só tocar o beat que o bumbum não resiste

E começa a sacudir

De dia ela é santa 

 Bumbum não balança

 Parece sem sal

Na madrugada ela desanda            

Carrega na raba o chip do mal

Só tocar o solinho

Faz o bumbum dela enlouquecer

Dança até o quadradinho e começa  a tremer

Copyright © 2018 MM Music. Todos os direitos reservados.


Facebook: www.fb.com/oficialisraelnovaes
Instagram: @israelnovaes
Twitter: @israelnovaes",2d,6322,PT3M21S,0,True,100598,none,rectangular,2018-06-08T20:21:56.000Z,,"['MM Music (Record Label)', 'Slap Música', 'Música Sertaneja (Musical Genre)', 'Arrocha', 'Israel Novaes', 'Vem Ni Mim Dodge Ram', 'Vó To Estourado', 'Minha Ex Tá Bem', 'Sertanejo 2018', 'Jerry Smith', 'Psirico']","Israel Novaes, Márcio Victor (Psirico) e Jerry Smith - Chip",idgJ_mjH5Eg,21153584,CDIQAA
true,10,UC1oPBUWifc0QOOY8DEKhLuQ,avex,1490,xxNoneFoundxx,hd,"この秋話題の映画主題歌！10月3日発売E-girls「Perfect World」のミュージックビデオ、新アーティスト写真が遂に公開！！

EXILE / 三代目 J Soul Brothersのパフォーマーとしても活躍する岩田剛典、映画、ドラマに大活躍中の杉咲花のW主演で話題の映画「パーフェクトワールド 君といる奇跡」！
その映画主題歌を担当するE-girlsの最新曲「Perfect World」のミュージックビデオと新アーティスト写真が公開になりました！

映画のために書き下ろされたこの”Perfect World”は、映画の主人公「川奈つぐみ」の心情を歌っているような楽曲。笑顔と涙を繰り返しながら、一人の男性にかける想いと共に、
幾重にも目の前に立ちはだかる困難や悩みや葛藤を乗り越えていくという強い想いと、この先にも何かしら待っている壁にも、二人で一緒に立ち向かい、笑顔と共に歩んでいく姿が描かれています。

ミュージックビデオは歌詞と同様に、困難なことや悩みなどを乗り越えながら、笑顔を絶やさずに一人の人を想い続ける女性を描いた作品。
E-girls11人がそれぞれの恋愛模様の中で、男女の幸せな時間以外にも、想いを馳せる表情などを見せた映像になっています。
もちろん真骨頂でもあるダンスシーンも必見で、力強さの中しなやかさと、どこか憂いを感じるようなダンスが目を奪われる作品になっています。

映画、楽曲、ミュージックビデオが、まるで一つの作品かのような仕上がりになっているので、是非チェックしてください！


2018年10月3日(水)配信スタート
E-girls「Perfect World」
映画「パーフェクトワールド 君といる奇跡」主題歌

https://m.egfamily-m.jp/

映画『パーフェクトワールド 君といる奇跡』公式サイト
http://perfectworld-movie.jp/",2d,210,PT4M14S,0,True,14495,none,rectangular,2018-09-21T19:00:04.000Z,,"['E-girls', 'EGfamily', '鷲尾伶菜', '藤井夏恋', '武部柚那', 'SAYAKA', 'YURINO', '楓', '須田アンナ', '佐藤晴美', '坂東希', '山口乃々華', '石井杏奈', 'LDH', 'EXILE', '三代目', 'Soul', 'Brothers', 'GENERATIONS', 'THE', 'SECOND', 'ダンス', 'DANCE', 'Show', 'Time', 'EG', '11', 'アリーナツアー', '岩田剛典', '杉咲花', '映画', 'パーフェクトワールド']",E-girls / Perfect World (Music Video),Q7YBopVZyao,721326,CDIQAA
