caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token,contentRating
false,10,UC4XR0EZ0oHwSV2XhhShzX5A,CrazyFrogVEVO,359897,xxNoneFoundxx,sd,"Is Crazy Frog catchy or just plain annoying? Vote here: http://www.udiscovermusic.com/stories/catchy-most-annoying-songs

Listen to more from Crazy Frog: https://crazyfrog.lnk.to/Essentials

Music video by Crazy Frog performing Axel F. (C) 2005 Mach 1 Records GmbH under exclusive license to Universal Records, a Division of UMG Recordings, Inc

#CrazyFrog #AexlF #vevo #electronic #vevoofficial",2d,932270,PT2M54S,0,True,5005096,none,rectangular,2009-06-17T04:30:53.000Z,,"['crazy frog', 'crazy frog dance', 'crazy frog kids', 'crazy frog lyrics', 'crazy frog piano', 'crazy frog remix', 'crazy frog ringtone', 'axel f', 'axel f annoying frog', 'axel f club mix', 'axel f crazy frog', 'axel f crazy frog cover', 'axel f crazy frog dance', 'axel f crazy frog remix', 'axel f dirty frog', 'axel f lyrics', 'axel f piano', 'axel f remix', 'axel foley', 'crazy frog axel f lyrics']",Crazy Frog - Axel F,k85mRPqvMbE,1411178452,CDIQAA,
false,10,UCtqvBBpTry7VR526GbIqSGw,Trokas Y Corridos,2,xxNoneFoundxx,hd,"Link De Descarga: http://www.mediafire.com/file/14xnzyp74h8go4w/El_F_Menor_-_Sebastian_Osuna_%28Corridos_2018%29.mp3/file
Sebastian Osuna - El F Menor (Corridos 2018)",2d,5,PT2M59S,0,True,71,none,rectangular,2018-10-01T17:59:07.000Z,,"['christian nodal', 'gerardo ortiz tour', 'calibre 50']",Sebastian Osuna - El F Menor (Corridos 2018),KTX43r2mNAc,524,CDIQAA,
false,10,UCzTR9iSH-TFC4-ocDS_ll4A,Sheet Music Boss,9394,xxNoneFoundxx,hd,"SMASH F TO PAY RESPECTS (and subscribe too!)
▶ Get COOL extras! https://www.patreon.com/sheetmusicboss
▶ Learn piano easily: https://tinyurl.com/sheetmusic-flowkey

Get the newest sheets:
▶ Musicnotes: https://tinyurl.com/smb-musicnotes
▶ Gumroad: https://gumroad.com/sheetmusicboss
▶ Sheet Music Plus: https://tinyurl.com/smb-sheet-music

Learn Rush F by Andrew Wrangell on piano with this tutorial! Please enjoy!

Composed by Andrew Wrangell
Edited by Samuel Dickenson

Follow Sheet Music Boss!
▶ https://sheetmusicboss.com/
▶ https://www.facebook.com/SheetMusicBoss/
▶ https://www.twitter.com/SheetMusicBoss/
▶ https://sheetmusicboss.tumblr.com/

First we rushed B, then we rushed A, then we rushed E...
...now we finally rushed F.

We hope that you like this latest installment of our Rush series! We've had heaps of fun making these! Is Rush F going to be the final Rush? Or will there be more? Let us know what you think in the comments!",2d,645,PT3M3S,0,True,42390,none,rectangular,2018-09-17T21:00:00.000Z,,"['rush f', 'sheet music boss rush f', 'sheet music boss rush', 'rush f original', 'rush f meme', 'rush meme', 'piano tutorial', 'impossible piano', 'impossible', 'meme', 'russian']",RUSH F,Asy-XN_C5Lg,820365,CDIQAA,
false,10,UC7Pf9PCnoBJhWVkLwTyQyJw,Wikid Films,154,xxNoneFoundxx,hd,"Big Boogie | F%k da Media |(Official Music Video)
http://www.instagram.com/wikidfilms_lugga
#Bigboogie #Wikidfilms #redrum",2d,60,PT3M58S,0,True,3134,none,rectangular,2018-09-26T19:41:37.000Z,,"['Big', 'Boogie', 'Gotcha Love', 'Prod', 'By', 'A.O.', 'Official', 'Music', 'Video', 'Let Me Know', 'HitKidd', 'T-Head', 'Dog', 'Tay', 'Keith', 'Moneybagg Yo - Psycho Mode (Official Video)', 'Lil', 'Baby', 'Gunna', 'Drip Too Hard', '(WSHH', 'Exclusive', 'Audio)', 'The', 'Making', 'Of', 'BlocBoy', 'JB', ""Drake's"", 'Look Alive', 'With', 'Deconstructed', 'Drake', 'By:', '(Official', 'Video)', 'Shot', '@Fredrivk_Ali']",Big Boogie | F%k Da Media🖕🏿 | Prod By Tay Keith Shot By @Wikidfilms_lugga🍿,C0oJ841iR8I,118152,CDIQAA,
false,10,UCzTR9iSH-TFC4-ocDS_ll4A,Sheet Music Boss,976,xxNoneFoundxx,hd,"▶ SHEET MUSIC: https://gum.co/hsOcz SUBSCRIBE for more!
▶ Get COOL extras! https://www.patreon.com/sheetmusicboss
▶ Learn piano easily: https://tinyurl.com/sheetmusic-flowkey

Get the newest sheets:
▶ Musicnotes: https://tinyurl.com/smb-musicnotes
▶ Gumroad: https://gumroad.com/sheetmusicboss
▶ Sheet Music Plus: https://tinyurl.com/smb-sheet-music

Learn Press F but it's Rushed by Rafał Bienias on piano with this tutorial! Please enjoy!

Press F and Rush F written by Andrew Wrangell
Arranged by Rafał Bienias
Edited by Samuel Dickenson

Follow Sheet Music Boss!
▶ https://sheetmusicboss.com/
▶ https://www.facebook.com/SheetMusicBoss/
▶ https://www.twitter.com/SheetMusicBoss/
▶ https://sheetmusicboss.tumblr.com/

Welcome Rafał Bienias to the Sheet Music Boss team!

We made a piano piece that was so easy that you only needed to play one key... Press F! But sometimes it just isn't enough to press F: sometimes you need to rush it a little...

Press F but it's Rushed is not Rush F, but it does take the Rush format and apply it to this novelty piece! Have fun with it!",2d,86,PT2M17S,0,True,4989,none,rectangular,2018-09-28T21:00:02.000Z,,"['Piano Tutorial', 'press f', 'its impossible but', 'press f russian', 'rush f', 'press f rush version', 'sheet music boss press f', 'rafal bienias']",PRESS F but it's RUSHED!,iV5y__fE_bI,84827,CDIQAA,
false,10,UC1VFL52ejHdGid7FsLSrjLQ,Gang Plug,3,xxNoneFoundxx,hd,"If you like me please support me: Donate Gang Plug's: https://streamlabs.com/gangplug or https://paypal.me/tamxuan
I would love to share some good videos for you, but I'm having a hard time financially. Please support me in part. Thank you so much﻿

Mixtapes, Full Mixtapes, New Mixtapes.....
dj jeff duran Gang Plug
* Gang Plug 2 (New hiphop songs): https://www.youtube.com/channel/UCVEsxNbF8uRqwfm9fHXnuCQ

* Follow Me:
Facebook: https://www.facebook.com/hotnewhiphop.35/
Twitter: https://twitter.com/gang_plug
G+: https://plus.google.com/b/116266804417276839431/116266804417276839431",2d,8,PT5M7S,0,False,165,none,rectangular,2018-09-30T16:51:26.000Z,,"['The Plug', 'Gang Plug', 'dj jeff duran', 'Full Mixtape', 'New Mixtape']",Lil Wayne - Bloody Day f. XXXTENTACION (Tha Carter 5),q-K1ohl_Uv4,7351,CDIQAA,
false,10,UCZnf3mdsauHpQu7Txmrf8ww,JustNickMusic,3,xxNoneFoundxx,hd,"Maybe you've never heard people refer to chords by number; maybe you have.  Whatever kind of music you play, the so called ""Nashville Number System"" is a  super useful thing to know and practice and it's easy to learn.  Let's get to it!  We'll practice by jamming on a modified blues progression.  Get the backing tracks for practice here: http://justnickguitar.bandcamp.com Support more of these lessons by donating at http://paypal.me/justnickjaffe or pledging at http://patreon.com/justnick Thanks!!",2d,0,PT11M36S,0,True,42,none,rectangular,2018-10-01T03:51:42.000Z,,"['just', 'nick', 'jaffe', 'guitar', 'effects', 'pedals', 'stompbox', 'amp', 'music', 'rock', 'blues', 'funk', 'jazz', 'gear', 'amplifiers', 'blues rock', 'guitar lesson', 'easy', 'play-along', 'fun', 'theory', 'I-IV-V', '1-4-5', 'chord progression', 'music theory']",What the f**k is a I-IV-V?  And what the f**k is a 1-4-5?  A play-along blues guitar lesson.,pi-jzKu8aj4,616,CDIQAA,
false,10,UCThtsSuaP7MZqLcXEsoHb6Q,Euphongang,3,xxNoneFoundxx,hd,AIRFORCE Mixtape,2d,0,PT2M46S,0,False,11,none,rectangular,2018-10-01T15:54:25.000Z,,"['F.DECIDE', 'OTR', 'Intro', 'Airfoce', 'Euphongang', 'Trap', 'Rap', 'Bochum', 'Don Teflon', 'Euphon', 'Mixtape', '27Corazones']",1. OTR x F.DECIDE - INTRO (Prod. 27Corazones),Qz-hHU1zacw,93,CDIQAA,
false,10,UCzTR9iSH-TFC4-ocDS_ll4A,Sheet Music Boss,1444,xxNoneFoundxx,hd,"▶ SHEET MUSIC: https://gum.co/Mleng SUBSCRIBE for more!
▶ Get COOL extras! https://www.patreon.com/sheetmusicboss
▶ Learn piano easily: https://tinyurl.com/sheetmusic-flowkey

Get the newest sheets:
▶ Musicnotes: https://tinyurl.com/smb-musicnotes
▶ Gumroad: https://gumroad.com/sheetmusicboss
▶ Sheet Music Plus: https://tinyurl.com/smb-sheet-music

Learn Rush F by Andrew Wrangell on piano with this tutorial! Please enjoy!

Performed by Andrew Wrangell
Edited by Samuel Dickenson

Follow Sheet Music Boss!
▶ https://sheetmusicboss.com/
▶ https://www.facebook.com/SheetMusicBoss/
▶ https://www.twitter.com/SheetMusicBoss/
▶ https://sheetmusicboss.tumblr.com/

Rush F is a testament to the will-power of humanity to pay respects on a large scale. This playable version of Rush F will have your fingers tied in knots, but will ultimately be rewarding and great fun!

The sheet music for Rush F is intended for advanced level pianists, but we think that the hard work will really pay off for this one! Good luck!

Lyrics:
[respects*f]",2d,82,PT2M41S,0,True,6894,none,rectangular,2018-09-18T21:00:04.000Z,,"['Piano Tutorial', 'rush f', 'rush f playable', 'rush f piano', 'rush f cover', 'rush f meme', 'sheet music boss rush f', 'meme', 'russian', 'hard']",RUSH F but it's ACTUALLY PLAYABLE,bLhDebTHmMQ,187527,CDIQAA,
false,10,UCEXDaXzYhqYdLCQ3Ce7U2Og,Quist,189,xxNoneFoundxx,sd,"This jam track is made for F Dorian Mode/Scale and starts at 0:45! B dorian version http://bit.ly/2bwWP1N
A dorian version https://goo.gl/f7rSAh Bassless version https://goo.gl/ExOJBM Download for free http://goo.gl/nTBHyU 
From the album Groovin' on Dorian Mode - Download from Itunes http://goo.gl/lFzUg Link up! http://www.facebook.com/Quistguitar ENJOY!!

Single version on Itunes here: http://goo.gl/A2XJY

F Dorian: F G Ab Bb C D Eb (F) 

You can also use: F Minor Pentatonic / F Minor Blues Scale

Chords:   II: Fm I  Bb7 I  Fm I  Bb7 I  Fm  I  Bb7 I  Fm7  I  Bb7 :II 

Played on my Gibson 335 (1968)

Dorian jam tracks playlist: http://www.youtube.com/playlist?list=PLC8054A50AEE791DF

Have fun!

/////////////////////////////////

Have you seen ♥ Guitar Love ♥ ? http://www.youtube.com/watch?v=NEIagtnGMmA

Enjoy!!!

http://www.quistorama.com 
http://twitter.com/QuistJam
http://www.facebook.com/Quistguitar",2d,42,PT6M36S,0,True,1228,none,rectangular,2013-02-07T13:01:24.000Z,,"['scales', 'gibson es335', 'alto', 'Backing Track', 'trumpet', 'Along', 'Pista Jam', 'Pista De Acompañamiento', 'gibson 335', 'scale', 'Jam Track', 'instruments', 'free', 'gibson', 'lesson', 'track', 'vintage gibson 335', 'sax', 'B-flat instrument', 'Platback', 'jam', 'Pistas Del Atasco', 'jazz', 'happy', 'Jamming', 'mode', 'guitar', 'jazzy', 'modal', '1968', 'Improvising', 'groovy', 'Improvise', 'blues', 'live', 'modes', 'play along', 'Play', 'dorian', 'funky', 'practice', 'backing', 'Dzhem Trek', 'Improvisation', 'saxophone', 'retro', 'feel', 'excellent', 'f dorian', 'джем трек', 'Bb instruments', 'quist jam tracks']",F Dorian Mode Groove Backing Track,eH_1TYN4hpE,446639,CDIQAA,
