caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token,contentRating
false,10,UCj2GTFekdV3EUsTVN8oaEqA,kevingatesTV,495,xxNoneFoundxx,hd,"Kevin Gates - Servin H
Stream/Download - https://kevingates.lnk.to/LucaBrasi3

Subscribe for more official content from Kevin Gates:
https://kevingates.lnk.to/Subscribe

Follow Gates
Twitter: http://twitter.com/kevin_gates
Instagram: http://instagram.com/iamkevingates
Facebook: https://facebook.com/kvngates
Soundcloud: https://soundcloud.com/kevingates
Website: http://www.kvngates.com

The official YouTube channel of Atlantic Records artist Kevin Gates. Subscribe for the latest music videos, performances, and more.",2d,203,PT3M45S,0,True,12965,none,rectangular,2018-09-28T04:00:05.000Z,,"['kevin gates', 'kevin', 'gates', 'atlantic', 'atlantic records', 'how we livin', '2 phones', 'really really', 'by any means 2', 'Servin H', 'Luca Brasi', 'Luca Brasi 2', 'Luca Brasi 3', 'BWA', 'Bread Winners', 'Money Long', 'Great Man', 'Adding Up', 'Me Too', 'g2is0LBBqDQ']",Kevin Gates - Servin H [Official Audio],s9WXEi0m3S4,466882,CDIQAA,
false,10,UC0v3jnb3i8oo_ndHCRTYbgg,ZzaAakK Gaming,2597,xxNoneFoundxx,sd,"Artist: Tool
Song: H.
Album: Ænima",2d,1212,PT6M7S,0,True,20087,none,rectangular,2008-06-24T12:20:15.000Z,,"['Tool', 'H.', 'Ænima']",Tool - H.,3iXMhphebGI,5278931,CDIQAA,
false,10,UCzHlP8bj5wHAzOYvrz8eyJA,La fête de la chanson française,14,xxNoneFoundxx,hd,Hommage à Charles Aznavour,2d,0,PT5M52S,0,True,126,none,rectangular,2018-10-01T14:25:01.000Z,,"['fete', 'chanson française', 'musique', 'live', 'variété', 'daniela lumbroso', 'charles aznavour', 'emmenez moi']","Charles Aznavour "" Emmenez moi "" avec P. Bruel, C. Badi et H. Ségara",v_QTtR-uZTM,4790,CDIQAA,
false,10,UCfDbiLm99P37rmcqd7pZNfg,Hot New Trap Music,63,xxNoneFoundxx,sd,"Kevin Gates - Servin H (Luca Brasi 3)

Kevin Gates - #LucaBrasi3 (Full Album): https://www.youtube.com/playlist?list=PLE1W31SiRxov4d-6mHdW_XeujZ9T4mRk6

Stream/Download - https://kevingates.lnk.to/LucaBrasi3

Connect with Kevin Gates: 
https://www.twitter.com/kevin_gates
https://www.instagram.com/iamkevingates
https://www.facebook.com/kvngates/
https://www.kvngates.com/

Connect with Hot New Trap Music:
https://twitter.com/hntrapmusic
https://instagram.com/hntrapmusic
https://www.youtube.com/channel/UCfDbiLm99P37rmcqd7pZNfg

For submission/business inquiries contact hntrapmusic@gmail.com

Copyright issues contact hntrapmusic@gmail.com

#HotNewTrapMusic #kevingates #lucabrasi3

*Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended. ALL RIGHTS BELONG TO THEIR RESPECTIVE OWNERS*",2d,76,PT3M45S,0,False,2707,none,rectangular,2018-09-28T17:00:23.000Z,,"['kevin gates luca brasi 3', 'kevin gates servin h', 'servin h kevin gates', 'kevin gates luca brasi 3 album', 'kevin gates', 'kevin gates serving h luca brasi 3', 'servin h kevin gates luca brasi 3 album']",Kevin Gates - Servin H (Luca Brasi 3),BCt3onOEg1I,151060,CDIQAA,
false,10,UCnbxauSHmysDdIahTUlXG_Q,Various Artists - Topic,36,xxNoneFoundxx,hd,"Provided to YouTube by Warner Music Group

Servin H · Kevin Gates

Luca Brasi 3

℗ 2018 Bread Winners' Association

Auto-generated by YouTube.",2d,50,PT3M45S,0,True,2315,none,rectangular,2018-09-28T02:40:47.000Z,"{'allowed': ['FR', 'BO', 'BG', 'SV', 'BA', 'SI', 'SK', 'BY', 'SE', 'FI', 'BR', 'KR', 'BE', 'AT', 'CL', 'CO', 'GR', 'CH', 'CA', 'GB', 'CY', 'CZ', 'CR', 'PE', 'PA', 'PL', 'HU', 'HR', 'PT', 'HN', 'TR', 'PY', 'UY', 'LI', 'DK', 'LT', 'LU', 'LV', 'DO', 'DE', 'GT', 'IS', 'IT', 'UA', 'IE', 'ID', 'US', 'IN', 'ZA', 'MK', 'RU', 'ES', 'RS', 'RO', 'MT', 'AR', 'EE', 'EC', 'AU', 'MX', 'NZ', 'JP', 'VE', 'NI', 'NO', 'NL']}","['Kevin Gates', 'Luca Brasi 3', 'Servin H']",Servin H,OQ_rmth6oq4,124196,CDIQAA,
false,10,UC1jkBRpKnhXz3qkoAufXbvw,Mizo-H Casino,30,xxNoneFoundxx,hd,"Mixing/Mastering : Mahdi Machfar
Mixtape : Lucid Dreams
Facebook : https://www.facebook.com/issammzouughi",2d,0,PT4M12S,0,False,101,none,rectangular,2018-10-01T20:59:21.000Z,,"['activia', 'mizo h', 'mizo h casino', 'rap tunisien 2018', 'mahdi machfer', 'la goulette', 'casino', 'faucel zarougui', 'trippi red', 'kendrick lamar']",Mizo-H - Chna3mél Houni,Zx34nuIHF2k,440,CDIQAA,
false,10,UCVOf5qtdjbIHRiACHcy4vMA,FullRap Malaga,4,xxNoneFoundxx,hd,"LOS CUARTOS DE FINAL DE ESTA BATALLA LOS PODRÉIS ENCONTRAR EN EL CANAL DE AllRapMallorca
A continuación les dejo el link del canal:
https://www.youtube.com/channel/UCR2aLqosR-MPY16aHaqJ79A

Instagram : @fullrapmalaga


Aquí tenéis un pedazo de canal donde encontrar muchas de las instrumentales usadas en las batallas 
https://www.youtube.com/channel/UCa2Gl6KM4OP0B5WF39oor3g",2d,1,PT4M47S,0,True,29,none,rectangular,2018-10-01T19:39:36.000Z,,"['RAP', 'RISA', 'BLOG', 'MUSICA', 'BATALLA', 'DE', 'GALLOS', 'mejores']",Jesus LC Vs Sultan H (BATALLÓN) l Mallorca Vs Málaga l OCTAVOS,BcLOvMjrlds,203,CDIQAA,
false,10,UCthj9ek9R6QZILwEy2Xxxxg,Zach though,1505,xxNoneFoundxx,hd,"The song ""H."" by the band Tool.  Lyrics are IN the video.
  Album :  Aenima",2d,590,PT6M7S,0,False,11283,none,rectangular,2010-07-01T15:51:01.000Z,,"['tool', 'video', 'lyrics', 'music', 'tatro', 'tahtro', 'tatro96', 'god', 'leeroy', 'jenkins', 'toby', 'roots', 'aenima', 'workshed', 'tools', 'hammer', 'drill', 'hacksaw', 'blood', 'murder', 'kill', 'halo', 'mw2', 'mw', 'cod', 'call', 'of', 'duty', 'tombstone', 'drugs', 'women']",Tool - H. w/ Lyrics (HD),nQ2x0AUkDdw,1863728,CDIQAA,
false,10,UCjt5aCibc8pUxIGn4af8-Jw,Sara'h Officiel,1493,xxNoneFoundxx,hd,"Vous avez été très nombreux à me demander ce titre, c'est donc avec plaisir que je l'ai repris ✨😊 Ariana Grande est une artiste que j'aime beaucoup elle a une voix sublime ❤️ j'espere que ma version vous plaira 😘

N’hésitez pas à vous abonner à ma chaine et à activer les notifications avec la petite cloche 🔔 juste au dessus pour découvrir mes covers avant tout le monde 😃❤️🎹🎼🎤🎧

Pour venir me voir en concert c'est juste ici 😃🎤: http://bit.ly/SARAHenCONCERT

Pour me suivre :
Facebook : https://www.facebook.com/Sarahhofficiel
Twitter : https://twitter.com/Sara_hofficiel
Instagram : https://www.instagram.com/sara_hofficiel
Snap : sarahageali 
Contact : sarahofficielpro@gmail.com ( pro uniquement , sinon merci de me contacter sur mes réseaux je me ferai un plaisir de vous répondre ;) )

Adaptation française : Sarah Hage ali / Nico Staf
Prod / Mix / recording : Nico Staf at Miscendo Studio
Réalisation video : Sarah Hage ali",2d,471,PT2M47S,0,True,19503,none,rectangular,2018-09-28T15:58:06.000Z,,"['ariana grande', 'god is a woman', 'cover', 'french cover', 'version française', ""sara'h cover"", 'despacito français', 'despacito', 'sarah', 'sarah cover']",GOD IS A WOMAN ( FRENCH VERSION ) ARIANA GRANDE ( SARA'H COVER ),uWQm_NYOJJk,281978,CDIQAA,
false,10,UCPpQJbUv3r35juWtkI_TULQ,Lyric Music Videos,155,xxNoneFoundxx,hd,"Tool
H.",2d,57,PT6M9S,0,False,1741,none,rectangular,2014-07-09T17:28:51.000Z,,"['lyrics', 'Tool (Musical Group)', 'tool h.', 'tool h. lyrics', 'h. lyrics', 'H. (Musical Recording)']",Tool - H. (Lyrics on Screen),spFgIns7vU0,186670,CDIQAA,
