caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token,contentRating
false,10,UCbjIvruLlh2jnj6lJlq_Cow,JSR Movement,474,xxNoneFoundxx,hd,"JAYRUN | SIRPOPPA | RAHBOY

Title : ยาวไป (ヤバイ) 
Artist : J$R ft. FIIXD & YDIZZY
Produced : BENG
Arranged : J$R, NINO
Mixed : NINO
Mastering : Dominic dot Okune
Lyrics : J$R, FIIXD, YDIZZY

Director : Dome Neykofear
D.O.P :  Bankban 83
Assistant Director : Oak Thanes
Editor/ VFX : @3eview
Assistant Editor : Dome Neykofear , madCG
Colorist : Chunya Phonwa
Stylist : snackswk
Actor : Taka Yuki

Special thanks : @manammanam , Staygold, Fucking Hero, Dandee, DJ T-Double E, Arthur, Mark Khanatsanan, KS”, Kaow, Taka Yuki, Norm Clothing

#ยาวไป #ヤバイ#JSR 

SHOW BOOKING : 064-1926-777 (คุณเพลิน)

Follow J$R :
Facebook ► https://facebook.com/jsrmovements
Instagram ► http://bit.ly/JSRmusic",2d,37,PT4M55S,0,True,4059,none,rectangular,2018-10-10T10:59:13.000Z,,"['ยาวไป', 'yaopai', 'ヤバイ', 'JSR', 'J$R', 'jackjayrun', 'jayrunbae', 'jayrunboy', 'jayrun', 'sirpoppa', 'poppa', 'therapper', 'sirpoppalot', 'rahboy', 'showmethemoney', 'smtmthailand', 'thai', 'rap', 'thairap', 'hiphop', 'thaihiphop', 'fiixd', 'xd', '93flow', 'ydizzy', 'japan', 'killa', 'yabai']",J$R - ยาวไป (ヤバイ) ft. FIIXD & YDIZZY,eKcmRfkIjdE,51987,CDIQAA,
true,10,UCnzJFckvQBA5nn9lMu08LWQ,JColeVEVO,53086,xxNoneFoundxx,hd,"J. Cole – ATM (Official Music Video)
Listen to KOD now: http://smarturl.it/KODJCole 
 
Directed by Scott Lazer, J. Cole
 
Connect with J. Cole:
Instagram: https://www.instagram.com/realcoleworld/
Twitter: https://twitter.com/jcolenc
Facebook: https://www.facebook.com/JColeMusic/
 
Connect with Dreamvile:
http://dreamville.com/
Instagram: https://www.instagram.com/dreamville
Twitter: https://twitter.com/Dreamville
Facebook: https://www.facebook.com/dreamville

Music video by J. Cole performing ATM. © 2018 Dreamville, Inc., Under exclusive license to Roc Nation Records

http://vevo.ly/944gTr",2d,47728,PT4M42S,0,True,760347,none,rectangular,2018-04-20T16:00:04.000Z,,"['J.', 'Cole', 'ATM', 'UMGRI', 'Interscope', 'Hip', 'Hop']",J. Cole - ATM,vUTI4bPdlgE,56721057,CDIQAA,
true,10,UCrHL_BF5lHyK43BxLU8-vBQ,jbalvinVEVO,437822,xxNoneFoundxx,hd,"J BALVIN & WILLY WILLIAM “MI GENTE”
https://UMLE.lnk.to/-Rc9DFp 

Connect with J Balvin:
https://www.facebook.com/JBalvinOficial/
https://www.instagram.com/jbalvin/
https://twitter.com/JBALVIN

Connect with Willy William:
https://www.facebook.com/willywilliamofficiel/
https://www.instagram.com/willywilliamofficiel/
https://twitter.com/willy_william

Music video by J. Balvin, Willy William performing Mi Gente. (C) 2017 Scorpio Music Under Exclusive License To Universal Music Latin Entertainment

http://vevo.ly/cRfYgm",2d,712554,PT3M6S,0,True,10822783,none,rectangular,2017-06-30T04:00:05.000Z,,"['J.', 'Balvin', 'Willy', 'William', 'Mi', 'Gente', 'EMI', 'Latin', '(LAT)', 'Urban']","J Balvin, Willy William - Mi Gente (Official Video)",wnJ6LuUFpMo,2056200073,CDIQAA,
false,10,UCrHL_BF5lHyK43BxLU8-vBQ,jbalvinVEVO,103694,xxNoneFoundxx,hd,"http://bit.ly/1pmSS9L
http://amzn.to/1qYvyCd

Music video by J. Balvin performing Ay Vamos. (C) 2014 EMI Music Mexico S.A. De C.V",2d,252868,PT4M27S,0,True,3551343,none,rectangular,2014-08-29T16:06:21.000Z,,"['J.', 'Balvin', 'Ay', 'Vamos', 'EMI', 'Latin', 'Urban']",J. Balvin - Ay Vamos,TapXs54Ah3E,1517311881,CDIQAA,
false,10,UCGej5zp_KWZ-b_1w4Rq2hyA,JessieJVEVO,198903,xxNoneFoundxx,hd,"Get Jessie J + Ariana Grande + Nicki Minaj ""Bang Bang"" now! http://smarturl.it/JSJSweetTalkerdlxDA
Best of Jessie J: https://goo.gl/mGgpVe
Subscribe here: https://goo.gl/e1nShX",2d,296062,PT4M23S,0,True,5301616,none,rectangular,2014-08-26T01:00:02.000Z,,"['Jessie J', 'Ariana Grande', 'Nicki Minaj', 'Bang Bang', 'Jessie', 'Ariana', 'Grande', 'Nicki', 'Minaj', 'Bang', 'jessie j who you are', 'jessie j live', 'jessie j price tag', 'jessie j songs', 'jessie j bang bang', 'bang bang song', 'bang bang lyrics', 'bang bang lyric video', 'bang bang ariana grande', 'bang bang nicki minaj', 'bang bang rap lyrics', 'sweet talker jessie j lyrics', 'sweet talker lyrics', 'sweet talker album', 'sweet talker', 'sweet talker jessie j']","Jessie J, Ariana Grande, Nicki Minaj - Bang Bang ft. Ariana Grande, Nicki Minaj",0HDdjwpPM3Y,1224244293,CDIQAA,
false,10,UCnzJFckvQBA5nn9lMu08LWQ,JColeVEVO,28246,xxNoneFoundxx,hd,"Download J. Cole's new album '2014 Forest Hills Drive' on iTunes:  http://smarturl.it/ForestHillsDrive  Directed by Ryan Staake Production Company: Pomp&Clout

Follow J. Cole
Facebook: https://www.facebook.com/JColeMusic
Twitter: https://twitter.com/JColeNC
Instagram: https://www.instagram.com/realcoleworld

Listen to J. Cole
iTunes: https://itunes.apple.com/us/artist/j-cole/id73705833
Spotify: https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5""",2d,29796,PT4M1S,0,True,890661,none,rectangular,2015-04-21T14:00:05.000Z,"{'allowed': ['CI', 'CH', 'CK', 'KR', 'CM', 'CL', 'CO', 'CN', 'CA', 'VC', 'CC', 'KZ', 'CD', 'CG', 'CF', 'CY', 'CX', 'CZ', 'KE', 'KG', 'KI', 'KH', 'CR', 'CU', 'CW', 'CV', 'SY', 'SX', 'SZ', 'KW', 'SS', 'SR', 'ST', 'SV', 'SI', 'KY', 'SK', 'SJ', 'SM', 'SL', 'SO', 'SN', 'SA', 'SC', 'SB', 'SE', 'SD', 'SG', 'VA', 'KP', 'JO', 'FR', 'VG', 'FJ', 'FK', 'FI', 'FO', 'FM', 'PA', 'VE', 'NC', 'NA', 'NF', 'NG', 'NE', 'NI', 'NO', 'NL', 'NR', 'NP', 'GN', 'MU', 'NU', 'NZ', 'AO', 'AM', 'IT', 'IS', 'IR', 'AI', 'HU', 'AG', 'AF', 'AE', 'AD', 'IE', 'ID', 'AZ', 'AX', 'AW', 'IN', 'AU', 'AT', 'AS', 'AR', 'AQ', 'KM', 'GB', 'KN', 'QA', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'LI', 'TR', 'LK', 'TT', 'TV', 'TW', 'VU', 'LA', 'LB', 'LC', 'LY', 'TC', 'TD', 'TF', 'TG', 'TH', 'LR', 'LS', 'LT', 'LU', 'LV', 'TO', 'GY', 'GU', 'ZW', 'GW', 'GQ', 'GP', 'GS', 'GR', 'GM', 'GL', 'ZM', 'GI', 'GH', 'GE', 'GD', 'GG', 'GF', 'GA', 'ZA', 'IQ', 'SH', 'OM', 'BF', 'BG', 'BD', 'BE', 'BB', 'BA', 'BN', 'BO', 'BL', 'BM', 'BJ', 'BH', 'BI', 'BV', 'BW', 'BT', 'YT', 'BR', 'BS', 'BQ', 'MK', 'BZ', 'MP', 'BY', 'RW', 'RU', 'AL', 'RS', 'JE', 'RE', 'RO', 'GT', 'TZ', 'JP', 'EC', 'EG', 'EE', 'EH', 'YE', 'ES', 'ER', 'ET', 'IO', 'VN', 'PS', 'IM', 'VI', 'IL', 'MO', 'MN', 'MM', 'ML', 'MC', 'UZ', 'MA', 'MG', 'MF', 'ME', 'MD', 'MZ', 'UA', 'MX', 'UG', 'MS', 'MR', 'MQ', 'JM', 'MW', 'MV', 'UM', 'MT', 'HT', 'US', 'HR', 'WF', 'MH', 'HM', 'HN', 'TJ', 'WS', 'HK', 'TK', 'PY', 'MY', 'PT', 'TL', 'PW', 'PR', 'TM', 'PL', 'PM', 'PN', 'PH', 'TN', 'PK', 'PE', 'PF', 'PG', 'UY']}","['J Cole', 'Jcolevevo', 'vevo', 'Jcole', 'official', 'video', 'music video', 'hq', 'single', 'album', 'rap', 'hip hop', 'Wet Dreams', '2014 Forest Hills Drive', 'J. Cole', 'Rap', 'Roc Nation/Columbia', 'Wet Dreamz']",J. Cole - Wet Dreamz (Video),eCGV26aj-mM,113248936,CDIQAA,
false,10,UCnzJFckvQBA5nn9lMu08LWQ,JColeVEVO,29732,xxNoneFoundxx,hd,"Download J. Cole's new album '2014 Forest Hills Drive' on iTunes: 
http://smarturl.it/ForestHillsDrive

Google Play: http://smarturl.it/ForestHillsDriveGP
Amazon: http://geni.us/ForestHillsDrive 
Listen on Spotify: http://smarturl.it/2014FHDSpotify
 
http://www.dreamville.com/
http://www.jcolemusic.com/
Best of J. Cole: https://goo.gl/bAsRm2
Subscribe here: https://goo.gl/6k7yg8",2d,29210,PT5M,0,True,709765,none,rectangular,2014-12-09T22:00:01.000Z,,"['J. Cole', 'Apparently', 'Cole', 'Rap', 'Hip Hop', 'Columbia']",J. Cole - Apparently,eRaFMlZ1YHA,107900076,CDIQAA,
true,10,UCJ-EbQ-wL3rQkkfA-q2yOkA,BasVEVO,11547,xxNoneFoundxx,hd,"Bas’s “Milky Way” is available now! 
http://smarturl.it/BasMilkyWay

Director: Andrew Nisinson for The Fiends
Producer: Gerrardo Lopez for Baby Panther and The Fiends
Production Company: Baby Panther and The Fiends

Follow Bas:
https://www.instagram.com/bas/
https://twitter.com/Bas
https://www.facebook.com/FiendBassy/

Music video by Bas performing Tribe. © 2018 Dreamville/Interscope

http://vevo.ly/0WM9Cd",2d,3770,PT3M59S,0,True,249092,none,rectangular,2018-08-22T04:00:02.000Z,"{'allowed': ['WS', 'OM', 'WF', 'HK', 'HU', 'DZ', 'HT', 'DK', 'DJ', 'DO', 'DM', 'DE', 'LC', 'LB', 'LA', 'AI', 'LK', 'LI', 'CU', 'LS', 'LR', 'IS', 'LV', 'LU', 'LT', 'AL', 'LY', 'BW', 'AM', 'TK', 'IQ', 'IR', 'TH', 'IT', 'TN', 'TM', 'AO', 'TC', 'TL', 'AD', 'AE', 'AF', 'AG', 'AX', 'TZ', 'AZ', 'ID', 'IE', 'AQ', 'AR', 'AS', 'AT', 'AU', 'IN', 'AW', 'MD', 'ME', 'MF', 'MG', 'MA', 'ZA', 'MC', 'ML', 'MM', 'MN', 'MO', 'MH', 'MK', 'MT', 'MU', 'MV', 'MW', 'MP', 'MQ', 'MR', 'MS', 'TD', 'MX', 'MY', 'MZ', 'BM', 'BL', 'BO', 'BI', 'BH', 'BJ', 'BE', 'BD', 'BG', 'UG', 'BA', 'UA', 'BB', 'JE', 'UY', 'BZ', 'JM', 'BT', 'JO', 'BV', 'BQ', 'BS', 'BR', 'RU', 'RW', 'RS', 'RO', 'TJ', 'TR', 'RE', 'GB', 'GA', 'GF', 'GG', 'GD', 'GE', 'ZM', 'IL', 'GH', 'GI', 'GN', 'GM', 'GR', 'GS', 'GP', 'GQ', 'GW', 'GT', 'GU', 'GY', 'IM', 'SZ', 'SX', 'SY', 'SV', 'ST', 'SR', 'SN', 'SO', 'SL', 'SM', 'SJ', 'SK', 'SH', 'SI', 'SG', 'SD', 'SE', 'SB', 'SC', 'SA', 'TW', 'TV', 'PW', 'HN', 'HM', 'PT', 'PS', 'PR', 'CO', 'US', 'PY', 'PG', 'PF', 'PE', 'PA', 'PN', 'PM', 'PL', 'PK', 'HR', 'PH', 'ET', 'ER', 'ES', 'EH', 'EE', 'EG', 'TT', 'EC', 'JP', 'TG', 'QA', 'CA', 'YE', 'FI', 'FK', 'FJ', 'FM', 'ZW', 'FO', 'FR', 'YT', 'TF', 'NI', 'VU', 'NL', 'NO', 'NA', 'NC', 'NE', 'NG', 'NF', 'VA', 'CV', 'VC', 'NZ', 'VE', 'VG', 'NR', 'NU', 'VN', 'CN', 'KW', 'CL', 'CM', 'KR', 'CK', 'CH', 'CI', 'CF', 'CG', 'CD', 'KZ', 'CC', 'TO', 'KY', 'KG', 'KE', 'CZ', 'CX', 'CY', 'KN', 'CW', 'KM', 'CR', 'KH', 'KI']}","['Bas', 'Tribe', 'J.', 'Cole/', 'DreamVille', 'Rap']",Bas - Tribe with J.Cole,OA8aw07dpg0,10928389,CDIQAA,
false,10,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,25679,xxNoneFoundxx,hd,"Watch the official music video for ""Album Of The Year (Freestyle)"" by J. Cole.

The Off Season coming soon... All roads lead to The Fall Off - Cole

Directed by Simon David

Connect with J. Cole: 
Instagram:https://www.instagram.com/realcoleworld/ 
Twitter: https://twitter.com/jcolenc
Facebook: https://www.facebook.com/JColeMusic/

Connect with Dreamvile: 
http://dreamville.com/ 
Instagram: https://www.instagram.com/dreamville
Twitter: https://twitter.com/Dreamville
Facebook: https://www.facebook.com/dreamville

SUBSCRIBE for more: http://bit.ly/subWSHH 

More WorldstarHipHop: 
http://worldstarhiphop.com 
https://twitter.com/worldstar
https://facebook.com/worldstarhiphop
http://instagram.com/worldstar
 
Shop WorldStar:
http://shop.worldstarhiphop.com

Watch more WorldstarHipHop:
Rapper Relationship Advice: https://youtube.com/playlist?list=PLcK0neBMyFxQ6doeFSHbkI5LIQ9Fv_jdZ&playnext=1&index=2
Official Music Videos: https://youtube.com/playlist?list=PLcK0neBMyFxSpYgDfKCsHRwgxlN-Tnt9D&playnext=1&index=2
Official Audio Tracks: https://youtube.com/playlist?list=PLcK0neBMyFxSLGtARgI2OzwpGvw2tz9Ep&playnext=1&index=2
Newest Videos: https://youtube.com/playlist?list=PLcK0neBMyFxTF85bfUSUXiKiDy_AlNsu2&playnext=1&index=2

WorldstarHipHop is home to everything entertainment & hip hop. The #1 urban outlet responsible for breaking the latest premiere music videos, exclusive artist content, entertainment stories, celebrity rumors, sports highlights, interviews, comedy skits, rap freestyles, crazy fights, eye candy models, the best viral videos & more.

Since 2005, WorldstarHipHop has worked with some of our generation's most groundbreaking artists, athletes & musicians - all who have helped continue to define our unique identity and attitude.

We plan on continuing to work with only the best, so keep an eye out for all the exciting new projects / collaborations we plan on dropping in the very near future.",2d,5468,PT2M23S,0,False,291081,none,rectangular,2018-08-08T01:00:39.000Z,,"['world star hip hop', 'worldstarhiphop', 'worldstar', 'world star', 'worldstar youtube', 'youtube worldstar', 'worldstarhiphop youtube', 'youtube worldstarhiphop', 'worldstarhiphop channel', 'wshh', 'hip hop', 'hip hop music', 'rap', 'rap music', 'music', 'music video', 'exclusive', 'WSHH exclusive']","J. Cole ""Album Of The Year (Freestyle)"" (WSHH Exclusive - Official Music Video)",q_ohmJtsUYs,9567632,CDIQAA,
false,10,UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,219418,xxNoneFoundxx,hd,"Cardi B, Bad Bunny & J Balvin - I Like It from Cardi B's Debut Album Invasion of Privacy available now!
Stream/Download: https://CardiB.lnk.to/IOPAY
 
INVASION OF PRIVACY merchandise available here: http://smarturl.it/BardiGangMerchYT

Follow Cardi B
http://Facebook.com/IAmCardiB
http://Instagram.com/IAmCardiB
http://Twitter.com/IAmCardiB
http://Soundcloud.com/IAmCardiB

Director - Eif Rivera
Executive Producer – Kareem Johnson
Video Commissioner/VP Video Production – Emmanuelle Cuny-Diop
Associate Director, Video Administration – Lily F Thrall
Assistant, Video Production – Trevor Joseph Newton",2d,312733,PT4M17S,0,True,4811410,none,rectangular,2018-05-29T14:05:10.000Z,,"['Cardi B', 'I Like It', 'Invasion of Privacy', 'Bad Bunny', 'J Balvin', 'Bronx', 'New York', 'Rap', 'Hip Hop', 'Bodak Yellow', 'Bartier Cardi', '8zSRkr1nQNw', 'Cardi', 'Bardi', 'iAeYPfrXwk4', '#1 Billboard', 'XXXTentacion']","Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",xTlNMmZKwpA,609627803,CDIQAA,
