caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UC7Pf9PCnoBJhWVkLwTyQyJw,Wikid Films,154,xxNoneFoundxx,hd,"Big Boogie | F%k da Media |(Official Music Video)
http://www.instagram.com/wikidfilms_lugga
#Bigboogie #Wikidfilms #redrum",2d,62,PT3M58S,0,True,3135,none,rectangular,2018-09-26T19:41:37.000Z,,"['Big', 'Boogie', 'Gotcha Love', 'Prod', 'By', 'A.O.', 'Official', 'Music', 'Video', 'Let Me Know', 'HitKidd', 'T-Head', 'Dog', 'Tay', 'Keith', 'Moneybagg Yo - Psycho Mode (Official Video)', 'Lil', 'Baby', 'Gunna', 'Drip Too Hard', '(WSHH', 'Exclusive', 'Audio)', 'The', 'Making', 'Of', 'BlocBoy', 'JB', ""Drake's"", 'Look Alive', 'With', 'Deconstructed', 'Drake', 'By:', '(Official', 'Video)', 'Shot', '@Fredrivk_Ali']",Big Boogie | F%k Da Media🖕🏿 | Prod By Tay Keith Shot By @Wikidfilms_lugga🍿,C0oJ841iR8I,118196,CDIQAA
false,10,UCAvjWIAJdUM1F5PXL4-6Kxg,KPazDeLaSierraVEVO,2800,xxNoneFoundxx,sd,Music video by K-Paz De La Sierra performing Mi Credo. (C) 2008 Disa Latin Music A Division Of UMG Recordings Inc.,2d,6209,PT3M13S,0,True,107302,none,rectangular,2009-12-23T21:54:04.000Z,,"['K-Paz', 'De', 'La', 'Sierra', 'Disa', 'Latin', 'Regional', 'Mexican']",K-Paz De La Sierra - Mi Credo,nyd7QcGUjQs,33562917,CDIQAA
true,10,UCFh7OwlRlWXEY8EyMu64uPg,KAOHAOCHE Official,69,xxNoneFoundxx,hd,"K-HOW高浩哲
Facebook：https://www.facebook.com/kaohaoche1996
Instagram : https://www.instagram.com/kaohaoche/
Marz23
Facebook：https://www.facebook.com/Marrrz23/
Instagram : https://www.instagram.com/marrrz23/
海底隊 HELI CREW
Facebook：https://www.facebook.com/HELICREWW/
Instagram : https://www.instagram.com/helicrew_official/
ON-AIR CLOTHING
Facebook：https://www.facebook.com/ONAIRCLOTHING/
Instagram :https://www.instagram.com/onair_clothing/
@wwyyxx007
Instagram :https://www.instagram.com/wwyyxx007/

詞曲 Lyrics : 高浩哲 KAOHAOCHE  / Marz23
編曲Arrangement :  Sōryo @soryotheflamethrower
錄音Recorded : 高浩哲 KAOHAOCHE  / Marz23
混音Mixing : 嘻哈魯智深 Hiphop Lu Chih Shen @hiphopluchihshen
導演 Director :: 李宸瑋 Lee chen Wei @weilee_backmountkid & WANZ @bboyed94
剪輯 Editor :: 李宸瑋 Lee chen Wei
攝影 Cameraman :: WANZ & 李宸瑋 Lee chen Wei 
特效 VFX :: 李宸瑋 Lee chen Wei
Vfx assistant ::WANZ @bboyed94
BTS :: Giant Harris @giantharris2001汪庭蔚 (Ting-Wei Wang)
空拍  Aerial Photographer :: 亞崴尤奈 Yawi yungay @yawiyungay

特別感謝
Ris @about_ris",2d,33,PT3M28S,0,False,483,none,rectangular,2018-09-28T10:59:24.000Z,,xxNoneFoundxx,K-HOW高浩哲 Ft.Marz23 - 殺 MURDER (Official Video),h3vTyjFMZ8w,10022,CDIQAA
false,10,UClz9-XGhY8Ex-whPfapY0mg,The Bean,1856,xxNoneFoundxx,hd,"I've been listening to this song forever, so I figured ""Why not make a lyric video of it?"" Well, now I'm tired of listening to it. Enjoy.",2d,1595,PT5M19S,0,False,86597,none,rectangular,2017-08-05T21:29:14.000Z,,xxNoneFoundxx,Cigarettes After Sex - K [Lyrics],wha6bFmUtCA,8652000,CDIQAA
false,10,UCjo7oMbNu181jPBs3_lZIJA,Buffet Boys,134847,xxNoneFoundxx,hd,"Filmed By
@Mekathakidd
@Visbybwoods

Hosted by: DJ Phat
Prod. By  S.Diesel 

Twitter: @TAYK47USA
SoundCloud: https://soundcloud.com/tay-k47

#FREETAYK #FREE PIMPYZ #FREESANTANA",2d,69227,PT1M45S,0,False,1114461,none,rectangular,2017-07-01T00:50:26.000Z,,xxNoneFoundxx,TAY-K x THE RACE #FREETAYK,OYhXJaEbw7c,148058324,CDIQAA
false,10,UCANrYDf_rhQw16jo5ImerlQ,Sam Johnson,926,xxNoneFoundxx,hd,"https://www.patreon.com/samjohnson

Brush your teeth: https://amzn.to/2oGuKZF

I hope this observation on how they sing helps you figure out how the voice works better, so you can learn how to make smart choices in your own voice. 

Go to http://www.vocalease.net to sign up for lessons with Sam through video chat!

Buy a titanium straw (for vocalizing and the environment): https://amzn.to/2wwCFNz
Produce electronic music intuitively: https://amzn.to/2PqnjRx
My microphone: https://amzn.to/2PCEOhE
My watch: https://amzn.to/2PnAZNi

Social Media:
https://www.instagram.com/oksamjohnson

This description contains affiliate links.",2d,28,PT6M32S,0,True,7451,none,rectangular,2018-09-28T20:00:03.000Z,,"['vocal coach reacts', 'vocal coach', 'vocal coach reaction', 'exo reaction', 'kpop reaction', 'sabor a mi', 'sam johnson', 'voice teacher', 'vocal technique', 'reaction vocal coach', 'korean pop', 'exo sabor a mi', 'reacting to kpop', 'reaction to exo', 'reaction exo', 'react to exo', 'exo react', 'voice teacher reacts', 'sabor a mi reaction exo', 'sabor a mi reaction', 'exo k sabor a mi reaction']",Voice Teacher Reacts to EXO-K 'Sabor a Mi',qjxdc1c9FUo,77465,CDIQAA
false,10,UCVHtfh-4ozIfF5FYA-IBtag,KCampVEVO,7377,xxNoneFoundxx,hd,"K Camp’s debut album “Only Way Is Up” Available NOW

iTunes Deluxe Explicit: http://smarturl.it/KCampOWIUdlxEX
Google Play Standard Explicit: http://smarturl.it/KCampOWIUstdEXgp
Google Play Standard Clean : http://smarturl.it/KCampOWIUstdEDgp
Google Play Explicit Deluxe: http://smarturl.it/KCampOWIUdlxEXgp
Google Play Clean Deluxe: http://smarturl.it/KCampOWIUdlxEDgp

http://kcamp427.com
http://twitter.com/twitter.com/kcamp427
http://facebook.com/kcamp427
http://instagram.com/kcamp427

http://vevo.ly/h1MhCH",2d,18213,PT3M56S,0,True,440560,none,rectangular,2015-06-28T00:00:01.000Z,,"['K Camp', 'K Camp Vevo', 'Comfortable', 'K Camp Comfortable', 'Comfortable K Camp', 'Hip Hop', 'Hip Hop Music', 'Vevo', 'Vevo Music', 'Music 2018', 'Music', 'Music Playlist', 'New Music 2018', 'Official Music Video', 'Vevo Official', 'Official', 'Top Hits']",K Camp - Comfortable,sAJI06nEGH8,60995111,CDIQAA
false,10,UCx5Tqy7lZgSj8NLocGgYZ6g,kmichelle,15197,xxNoneFoundxx,hd,"Pre-order K. Michelle's ""Anybody Wanna Buy A Heart"" on iTunes right now and instantly receive ""Love 'Em All"" and ""Maybe I Should Call"":
http://smarturl.it/AWBAH
Download on Google Play/Amazon: http://smarturl.it/getAWBAH

K. Michelle's #1 debut album 'Rebellious Soul' is available in stores and online now http://bit.ly/rebellioussoulYT!

Follow K. Michelle:
Twitter:  https://twitter.com/kmichelle
Facebook: https://www.facebook.com/kmichellemusic
Instagram: https://instagram.com/kmichellemusic
Website: https://TheKMichelle.com
",2d,9431,PT3M34S,0,True,186102,none,rectangular,2013-06-29T22:53:44.000Z,,"['kmichelle', 'loveandhiphop', 'atlantic', 'atlanticrecords', 'rebellious soul', 'k michelle album', 'k michelle album full stream']",K. Michelle  - V.S.O.P. [Official Video],X5y9Q5CmWYg,30826420,CDIQAA
false,10,UCAvjWIAJdUM1F5PXL4-6Kxg,KPazDeLaSierraVEVO,5721,xxNoneFoundxx,sd,Music video by K-Paz De La Sierra performing Volveré. (C) 2008 Disa,2d,13507,PT3M35S,0,True,179200,none,rectangular,2009-06-16T22:32:23.000Z,,"['K-Paz', 'De', 'La', 'Sierra', 'Disa', 'Latin']",K-Paz De La Sierra - Volveré,3Mj8tL_1QsU,59130848,CDIQAA
false,10,UCVHtfh-4ozIfF5FYA-IBtag,KCampVEVO,13777,xxNoneFoundxx,hd,"Single Available Now!
iTunes: http://smarturl.it/MoneyBaby
Amazon Music: http://tinyurl.com/l7t935q
Google Play: http://tinyurl.com/mdp7kkp

Music video by K Camp performing Money Baby. 2013 4.27 Music Group/FTE",2d,32942,PT4M8S,0,True,479583,none,rectangular,2013-10-30T12:00:01.000Z,,"['K Camp', 'K Camp Vevo', 'Money Baby', 'Money Baby K Camp', '$ Baby', 'Kwony Cash', 'Money Baby Official Video', 'Hip Hop', 'Hip Hop Music', 'Vevo', 'Vevo Music', 'Official Music Video', 'Vevo Official', 'Official', 'Top Hits', 'Music Playlist']",K Camp - Money Baby (Official Video) ft. Kwony Cash,zzO4zqWQLvY,99629923,CDIQAA
