caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UC-2UvIM9u0ZIKVBfjhrsNGQ,Guille Slb,2,xxNoneFoundxx,hd,"Lo NUEVO de Q LOKURA con este tema que se llama DEMASIADO cantado por el crack de NICO SATTLER

Me gusta al video y suscribite 🤙🏼🤙🏼",2d,2,PT2M42S,0,True,25,none,rectangular,2018-10-10T18:52:00.000Z,,"['q lokura', 'lo nuevo', 'lo nuevo de q lokura', 'nico sattler', 'chipote', 'lo mejor de q lokura', 'lo mejor de nico sattler', 'demasiado', '2018', 'cuarteto', 'guilleslb']",Q’ LOKURA 2018 - Demasiado (Con LETRA) (Canta NICO),a_P6B6quZJo,309,CDIQAA
false,10,UCFnkaAHtPd0BD3iT1UxIM5A,TURCO,5,xxNoneFoundxx,sd,"Q' LoKura | Demasiado (Cover Bandalos Chinos)
►Suscribite al canal y ACTIVA la campana 🔔 🔔 para no perderte ningún video
►SUSCRIBITE! https://www.youtube.com/user/TurcoDC?sub_confirmation=1
►Facebook: https://www.facebook.com/cdscompletosonline/
►Pagina: https://www.somos-cuarteto.com
►COMENTA!!! DALE ME GUSTA AL VIDEO!!!! 👍 👍 👍
                         Todos Los Derechos Reservados (c) 2018























#UlisesBueno #DamianCordoba #Qlokura #Lakonga #Facuylafuerza #Chipote #Sabroso #ElLocoAmato #LaFiesta #LaMona #Cmj #DiegoOlmos #Lbc #LaBandadeCarlitos #kuarteto.com #LaBarra #CuartetoCaracteristico #DaleVieja #Infiel #FuisteCobarde #TanNatural #Intento #Enganchados2018 #AdelantosCuarteto #Cuarteteando #RitmoPunta #bailazo #SuperDeportivo #Forja #EstadiodelCentro #Sargento #Cuarteto
#UlisesBueno #PittyMurua #Monada
#Cuarteto
#daleviejadale
#pasiondesabado
#infama
#luisventura
#yahoramirame
#gabriela
#radiostudio
#lunapark
#abelpintos
#laberiso
#ellocoamato
#Qlokura
#Labandadecarlitos
#damiancordoba
#chipote",2d,4,PT2M41S,0,True,143,none,rectangular,2018-10-09T18:46:39.000Z,,"['UlisesBueno', 'Damian Cordoba', 'Pitty Murua', 'Monada', 'Q lokura', 'Lakonga', 'dale q va', 'cuarteto', 'Facuylafuerza', 'Chipote', 'la banda de carlitos', 'bandalos chinos']",*TEMON* Q' LoKura | Demasiado (En Vivo - Visualiser),YKjb18X67Fs,5332,CDIQAA
false,10,UCowlb9qY0EUeXRIxwy-OTbw,Q' Lokura Oficial,31,xxNoneFoundxx,hd,"https://www.facebook.com/qlokuracbaok/
https://twitter.com/Qlokuracba
https://www.instagram.com/qlokuracbaok/",2d,15,PT2M40S,0,False,699,none,rectangular,2018-10-09T00:35:50.000Z,,"[""Q'"", 'Lokura', 'QLK', ""Q'Lokura"", 'Demasiado']",Q' Lokura - Demasiado,FcUnJzv_aG8,17405,CDIQAA
false,10,UCwHIIH3YpvGNtQxbIfCWJpg,Intan rifqi official,54,xxNoneFoundxx,hd,,2d,7,PT14M28S,0,False,549,none,rectangular,2018-10-09T09:00:25.000Z,,xxNoneFoundxx,Q & A #2 PERTANYAAN PALING MEMATIKAN . ADA NIATAN POLIGAMI GA BANG?,bPM1iPH-Si0,9557,CDIQAA
false,10,UC45DvlXhHi7K3uHZDwUPvKA,Dave Simpson,58,xxNoneFoundxx,hd,"Submit Questions to - davidsimpson1986@hotmail.co.uk

1. Do you prefer the MG100 or the CR120 for classic rock tones? 6:12
2. Have you ever tried an old 90s roland blues cube? 12:44
3. Whats it like toy work in a guitar shop?
Favourite Pink Floyd Album?
Whats the cheapest looper pedal for £30?
Have you ver considered being a Session Musician?
Have you played through a Session amp and what did you think to them?
How many springs do you have in your strats? 16:10
4. How does John Frusciante make that sound at the beginning of the Federation Square jam?  38:23
5. Have you tried the Zoom G3 and do you like Horror movies? If so what safe your favourites? 45:42
6. If its possible, Whats the best pedals to get a John Frusciante tone running a pure clean tone? Also cab you run an overdrive into a DS2 to make it behave? 55:54",2d,1,PT1H6M21S,0,True,132,none,rectangular,2018-10-10T17:15:08.000Z,,"['john frusciante', '1962 fender stratocaster', 'orange cr120', 'marshall mg100 hdfx', 'boss katana', 'line 6 hx effects', 'boss ds2', 'zoom pedal', 'rob chapman', 'chappers', 'captain anderton', 'andertons', 'guitar con 2018']",Q & A Of Wed nes day,ynurLHf5Jxg,1188,CDIQAA
false,10,UCRtxk4ZmqojMFq6csUT12Aw,outofmyheadintomybed,14,xxNoneFoundxx,sd,"SUPPQRT Q: https://singlerussiancuties1.bandcamp.com/album/recqrd
http://spottedrace.bigcartel.com/product/q-7
0:00 HQW
1:06 TERRQR
2:06 CQP
3:00 CQNTRQL
4:20 NQTHING",2d,7,PT5M17S,0,False,436,none,rectangular,2015-11-04T02:54:25.000Z,,"['Q RECQRD', 'lumpy records']","Q - RECQRD 7""",TezpM7B9QnE,20685,CDIQAA
false,10,UCTGobKNSe_Ys8UlXEe2TFCA,Q Money,606,xxNoneFoundxx,hd,"""Neat"" by Q Money out now: https://ad.gt/neat
 
Follow Q Money:
https://www.instagram.com/q_moneyyyy/
https://twitter.com/q_moneyyyyy
https://www.facebook.com/qmoneyyyy
https://soundcloud.com/q_moneyyyy",2d,668,PT3M34S,0,True,18428,none,rectangular,2018-08-16T19:50:56.000Z,,"['q money', 'tig', 'tiag', ""think it's a game"", 'yfn lucci', 'new', 'hip hop', 'beat', 'hard', 'cleveland', 'wshh', 'worldstar', 'work', 'neva had shit', 'son', 'ohio', 'money', 'neat', 'dance']",Q Money – Neat (Official Music Video),xhwQqzxXP54,1450794,CDIQAA
false,10,UCxT1UD_SBI_gy8TFAmJbQhA,Diego R,1,xxNoneFoundxx,sd,"NENO y DAVID En Vivo Radio SUQUIA (10-10-18)

| Lista De TEMAS |
00:00 como olvidar
01:52 me matas
03:06 amor prohibido
05:11 casate conmigo
07:10 hasta el amanecer
08:49 la estrategia
10:50 vengaza letal
12:28 si supieras / la llamada de mi ex
15:03 me niego
17:20 ay mi dios
20:03 cuatro lineas
22:00 ojala no te hubiera conocido nunca / mi gran noche

No Te Olvides De Compartirlo Y Suscribirte Con Un Clic En :
https://www.youtube.com/channel/UCxT1UD_SBI_gy8TFAmJbQhA?sub_confirmation=1

* DERECHOS RESERVADOS A QUIEN CORRESPONDA *

En Facebook: https://www.facebook.com/diego.cuarteto.12

Gracias Cuarteteros/as por su tiempo, por pasar y escuchar esta hermosa música que es el cuarteto, si les gusta den like, suscríbanse, comenten, Saludos de corazon a corazon

#DaleQVa
#DQV
#EnVivo
#Acustico
#Atenas
#ATodoVolumen
#MasVivoQueNunca
#RadioSuquia
enganchados dale q va",2d,0,PT25M6S,0,False,9,none,rectangular,2018-10-10T23:59:32.000Z,,"['diego r', 'pitty murua', 'cd completo', 'en vivo 2018', 'enganchados', 'sabroso', 'ulises', 'bueno', 'damian cordoba', 'la barra', 'vanguardia', 'dale q va', 'dale que va', 'chipote', 'q lokura', 'el loco amato', 'la mona jimenez', 'megatrack', 'caravana cuartetera', 'facu y la fuerza', 'lbc', 'kuarteto', 'fortnite', 'cuarteto', 'dale q va grabacion cd', 'dale q va vibra', 'dale q va en vivo', 'dale q va 2018', 'dale q va adelanto', 'dale q va atenas', 'dale q va en vivo atenas 13-10-18', 'acustico radio suquia', 'acustico radio popular', 'la popu']",DALE Q VA - ACUSTICO | Adelantando GRABACION CD En Vivo ATENAS |,DeGj-UJHSD0,62,CDIQAA
false,10,UCC7Qd36VU6jrSaKhu87D85g,SUN TZU,2,xxNoneFoundxx,hd,"eNOX and Toney Boi feat Johnny Hustle More Like Q produced by Chup The Producer and Camoflauge Monk...Available!►https://the-equinox.bandcamp.com/track/more-like-q 
New Art Alert! This is a very special record because it’s a 1 of 1 production by Chup the Producer and Camoflauge Monk, who have been the two hottest producers of the upstate underground and maybe the world of underground hip hop. E-Nox, Toney Boi and Johnny Hustle had the honor of being the recipients of this GEM

Follow The Equinox aka eNOX:
• Website/Shop: http://www.wewantnox.com/
• Bandcamp: https://the-equinox.bandcamp.com/
• Twitter: https://twitter.com/eNoxavelli?lang=fr
• Instagram: https://www.instagram.com/the_equinox/
• SoundCloud: https://soundcloud.com/enox-oj

Follow ToneyBoi:
• Bandcamp: https://toneyboi.bandcamp.com/
• Twitter: https://twitter.com/IamToneyBoi
• Instagram: https://www.instagram.com/iamtoneyboi/
• SoundCloud: https://soundcloud.com/toneyboi
• Youtube: https://www.youtube.com/watch?v=nqq17-_Igyk&feature=youtu.be

Follow Johnny Hustle [The Hope]:
• Twitter: https://twitter.com/HustletheHope
• SoundCloud: https://soundcloud.com/hustlethehope
• Intagram: https://www.instagram.com/hustlethehope/
• Facebook: https://www.facebook.com/hustlethehope/

Follow Camoflauge Monk:
• Bandcamp: https://camoflaugemonk.bandcamp.com/
• Instagram: https://www.instagram.com/camoflaugemonk/
• Twitter: https://twitter.com/camoflaugemonk
• Facebook: https://fr-fr.facebook.com/CamoflaugeMonk/
• SoundCloud: https://soundcloud.com/g5gi

Follow Chup The Producer:
• Facebook: https://www.facebook.com/Chuptheproducer/
• Twitter: https://twitter.com/chuptheproducer
• Youtube: https://www.youtube.com/user/chuptheproducer
• Instagram: https://www.instagram.com/chuptheproducer/
• SoundCloud: https://soundcloud.com/chuptheproducer
• Website: https://www.chuptheproducer.com/",2d,1,PT3M27S,0,True,29,none,rectangular,2018-10-10T10:06:14.000Z,,"['E-Nox', 'Toney Boi', 'Johnny Hustle', 'Chup The Producer', 'Camoflauge Monk', 'hiphop']",eNOX X Toney Boi X Johnny Hustle - More Like Q [prod by Chup The Producer & Camoflauge Monk],Kbv9DqlAzkA,229,CDIQAA
false,10,UCLi6DTUnJdDOUkWu0szfI0g,ScHoolBoyQVEVO,4691,xxNoneFoundxx,hd,Buy now! http://smarturl.it/oxymoronq,2d,5799,PT4M28S,0,True,136141,none,rectangular,2014-03-06T22:00:02.000Z,,"['What They Want', 'Schoolboy Q', '2 Chainz', 'Schoolboy What They Want', 'What They Want Schoolboy Q', '2 Chainz What They Want']",SchoolBoy Q - What They Want (Explicit) ft. 2 Chainz,5dBy9KEorjw,23534369,CDIQAA
