caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token,contentRating
false,10,UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,222454,xxNoneFoundxx,hd,"Disponible en tu plataforma preferida:
https://goo.gl/b8TDFS 

Nicky Jam y J. Balvin performing ""X"" 
Nuevo video de Nicky Jam 2018

Letra de EQUIS ""X"" 

Aquel día te vi y tu energia sentí
Desde eso no te quiero lejos de mi
Sé que no sabes de mi y no te puedo mentir
Lo que dicen en la calle sobre mi

Y no te voy a negar
Estamos claros y ya
No te lo voy a negar (no te lo puedo negar)
Estamos claros y ya (estamos claros, estamos claros)

Solo deja que yo te agarre baby
Besos en el cuello pa' calmar la sed
Mi mano en tus caderas pa' empezar como es
No le vamo' a bajar mas nunca mamá

Ba-Ba-Ba-Ba-Baila
Placata Placata 
Como ella lo mueve
Sin parar, sin parar

Mis ganas de comerte
Ahora son mas fuertes
Quiero tenerte

Y no te voy a negar
Estamos claros y ya
No te lo voy a negar
Estamos claros y ya

Lo que he visto de ti mami no me es normal
Pero no te preocupes que soy anormal
Sé que tus amigas no les debo gustar

Pero ve y cuentale parte por parte
Como tenemos sex y te quito el estres
Dale otra vez

Y no te voy a negar
Estamos claros y ya
No te lo voy a negar
Estamos claros y ya

Ba-Ba-Ba-Ba- Baila
Placata Placata 
Como ella lo mueve
Sin parar, sin parar

Mis ganas de comerte
Ahora son mas fuertes
Quiero tenerte

Y no te voy a negar
Estamos claros y ya
No te lo voy a negar
Estamos claros y ya

La Industria Inc
Sony Music Latin
2018

Skloziv Network",2d,440496,PT3M12S,0,True,6284524,none,rectangular,2018-03-02T05:00:19.000Z,,"['Bad Bunny', 'Amorfoda', 'Dura', 'Daddy Yankee', 'Ozuna', 'Romeo Santos', 'El Farsante Remix', 'Drake', 'God’s Plan', 'Luis Fonsi', 'Demi Lovato', 'Échame La Culpa', 'Sobredosis', 'Maluma', 'Corazón', 'Nego do Borel', 'Ed Sheeran', 'Perfect', 'Shape of You', 'Camila Cabello', 'Havana', 'Young Thug', 'Wisin', 'Yandel', 'Todo Comienza en la Disco', 'Piso 21', 'Déjala Que Vuelva', 'Manuel Turizo', 'Despacito', 'Síguelo Bailando', 'Reik', 'Me Niego', 'Bella Wolfine']",Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,_I_D_8Z4sJE,1275924966,CDIQAA,
false,10,UCpb_iJuhFe8V6rQdbNqfAlQ,NickyJamTV,38157,xxNoneFoundxx,hd,"Nicky Jam & J Balvin feat. Maluma & Ozuna – X (Remix)

All Platforms: http://smarturl.it/XRemix
Apple: http://smarturl.it/XRemix/applemusic
Spotify: http://smarturl.it/XRemix/spotify
Amazon: http://smarturl.it/XRemix/az
iTunes: http://smarturl.it/XRemix/itunes
Google Play: http://smarturl.it/XRemix/googleplay

La Industria Inc 
Sony Music Latin 
2018 

YT Rocket Network",2d,52972,PT3M56S,0,True,942064,none,rectangular,2018-06-29T04:00:02.000Z,,"['Nicky Jam', 'NickyJamPR', 'Piensas en mi', 'nicky', 'reggaeton', 'latin', 'curiosidad', 'x equis', 'remix', 'musica nueva', 'reggaeton nuevo', 'musica 2018', 'reggaeton 2018', 'j balvin', 'ozuna', 'maluma', 'reggaeton para bailar', 'x challenge', 'musica para bailar', 'balvin', 'bad bunny', 'manuel turizo', 'paulo londra', 'khea', 'daddy yankee', 'zion y lennox', 'cosculluela']",X Remix - Nicky Jam x J Balvin x Ozuna x Maluma,h8r5rbUmBzs,121782126,CDIQAA,
false,10,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,47540,xxNoneFoundxx,hd,"SEULGI X SinB X CHUNG HA X SOYEON's ""Wow Thing"" is out!
Listen and download on iTunes & Apple Music, Spotify, and Google Play Music http://smarturl.it/STATION0_wowthing

SM 디지털 음원 공개 채널 ‘스테이션’의 스핀오프 버전
SKT 컬처 브랜드 ‘0’(영) 프로젝트

무엇이든 될 수 있는 ‘0’ (영)
https://www.younghandong.com 

#슬기X신비X청하X소연 #WowThing #STATIONX0
[STATION X 0] 슬기(SEULGI)X신비(여자친구)X청하X소연 'Wow Thing' MV ℗ SM Entertainment",2d,8443,PT3M24S,0,True,630419,none,rectangular,2018-09-28T09:00:04.000Z,,"['슬기', '신비', '청하', '소연', 'SEULGI', 'SinB', 'CHUNG HA', 'SOYEON', 'Wow Thing', 'SM STATION', 'STATION 0', '스테이션 영', '레드벨벳', 'Red Velvet', '(G)I-DLE', '(여자)아이들', '여자친구', 'GFRIEND']",[STATION X 0] 슬기(SEULGI)X신비(여자친구)X청하X소연 'Wow Thing' MV,KR5CtMLuiqQ,7004837,CDIQAA,
false,10,UCVeETS7uZTAARqvv2zssZCw,Sensual Musique,0,xxNoneFoundxx,sd,"Sensual Musique is live streaming the best of Tropical House and Summer Chill Out Music, Music for Study, Workout, Relaxing etc. in a 24/7 summer feel good mix. 

↳ Find all songs from the stream in this playlist on YouTube: https://www.youtube.com/playlist?list=PLrALqIYcGkyRb1gQwscp0tDxphekn4GTw

or on Spotify: https://s-m.lnk.to/thegoodlifeYL

📸 Connect with on Instagram: http://instagram.com/sensualmusique

↳ The Good Life Radio is 100% ad-free offering you a 24/7 music stream without any ad breaks.
 
If you want to support me, my channel and the The Good Life Radio then feel free to donate here:
https://www.tipeeestream.com/sensual-musique/donation

Note: Donations are appreciated but never required! 

➖Official Spotify Playlists➖
🌞 Summer Mix 2018: https://s-m.lnk.to/spotifyYL
💯 Top 100: https://s-m.lnk.to/spotifytop100YL
🌴 The Good Life Radio: https://s-m.lnk.to/thegoodlifeYL

➖Official YouTube Playlists➖
🔊 Latest / All Uploads: 
https://www.youtube.com/playlist?list=PLrALqIYcGkyQdCQGPPF-bTaWz4MfbH8AK
🌴 The Good Life Radio: 
https://www.youtube.com/playlist?list=PLrALqIYcGkyRb1gQwscp0tDxphekn4GTw
🌞 Summer Mix 2018: 
https://www.youtube.com/playlist?list=PLrALqIYcGkyThA0Q9450-J74ASW2grVj3
💥 Electronic Pop & EDM: 
https://www.youtube.com/playlist?list=PLrALqIYcGkySHgT9enD8PTWke1IYCMUkZ
⚡ Deep House: 
https://www.youtube.com/playlist?list=PLrALqIYcGkySxA5BXL8ZGMW2cAG-RiKBc
🔥 Remixes of Popular Songs: 
https://www.youtube.com/playlist?list=PLrALqIYcGkyS9yTRPz6kqLiyarE4mtp8j
🌊 IBIZA 2018: 
https://www.youtube.com/playlist?list=PLrALqIYcGkyQh0o1x45p0BjT6ZHVWTQj2
☕ Morning Coffee: 
https://www.youtube.com/playlist?list=PLrALqIYcGkySfCIBsIClMW-wjVFXJnNXA
🛌 Chill, Study, Sleep: 
https://www.youtube.com/playlist?list=PLrALqIYcGkySlK_cVXM7kBhz0wBtZ9q1-

➖Video Background➖
📷 Video Footage by Nature Relaxation:
Website: https://goo.gl/iHAh3n 
YouTube: https://goo.gl/FyKqCz 
Amazon Prime Video: https://goo.gl/7Hhyjn

➖NIGHTBOT➖
 Nightbot is here to answer some of your questions, tell you inspirational quotes or just say hi and goodbye.

🤖Commands:
!whoisthis: More info about Nightbot
!coldbeer: Let’s have a cold one
!freehugs: Get a free hug
!key: Some major keys and advices
!quoteday: Quote of the day
!quotetravel: Quote about travlling
!qoutelove: Quote about love

!weatherlookup city: Will display the current weather in your city (e.g. !weatherlookup Berlin will display weather information about Berlin)

!song: Displays the current song title and artist
!video: Displays more information about the background video

➖FAQ➖
Q: What is the difference between The Good Life and The Tropical Life Radio? 
A: The Good Life Radio features a wider selection of genres (Deep House, Tropical House, Dance, Pop, EDM) as well as always the latest music from Sensual Musique. 
The Tropical Life Radio is focused on Tropical House and Summer Chill Out Music. The playlist contains some older music and chillout instrumentals. 
Just try switching between the streams if you feel bored at one of them :P 

Q: When will the stream end?
A: Hopefully never. It is supposed to be a 24/7 live stream but every now and then there might be technical issues.

Q: How many songs do you have in your playlist and where can I find them?
A: There are +/- 400 songs. You can find them in my playlists. See the links above.

Q: Why do you not play songs from popular artists like KYGO, Martin Garrix or Calvin Harris?
A: Because I do not have the permission to play these songs. I can only play songs with permission to avoid copyright issues.

Q: Where was the video footage filmed?
A: Fiji Islands and Hawaii.

Q: What’s your name?
A: My name is Armin. Nice to meet you :)

Q: Where are you from?
A: I am from a small town close to Munich in Germany. 

Q: What’s The Good Life?
A: The Good Life is a 24/7 music live stream presented by Sensual Musique which plays songs from genres such as Deep House, Tropical House, EDM, Chill House, Dance Music and Pop. The music is fun while studying, cleaning, cooking, working out, relaxing, sleeping etc. :) 

#sensualmusique #deephouse #tropicalhouse #chill #chillmusic #edm #live #radio #dancemusic #newmusic #chillhouse #housemusic #kygo",2d,28,PT0S,0,True,965,live,rectangular,2018-09-22T12:39:09.000Z,,"['The Tropical Life Radio x Sensual Musique • 24/7 Live Radio | Tropical House Summer Chill out music', 'the tropical life', 'tropical house radio', 'deep house', 'tropical house', 'chill music', 'chill out', 'chillout', 'live stream', 'live', 'radio', 'live radio', 'deep house live', 'tropical house live', 'study', 'workout', 'relax', '24/7 music live stream', 'music live stream', 'the good life', 'sensual musique', 'sensual musique live', 'summer music', 'summer mix', 'deep house mix', 'chill mix', 'summer chill mix', '2018', '2019']","The Tropical Life Radio x Sensual Musique • 24/7 Live Radio | Tropical House, Summer Chill Out Music",Km0REbL-SXE,79645,CDIQAA,
false,10,UCvNe1IHe_tf5g-J-jZF0ERQ,2 Chainz - Topic,2724,xxNoneFoundxx,hd,"Provided to YouTube by UMG

X · ScHoolboy Q · 2 Chainz · Saudi

Black Panther The Album Music From And Inspired By

℗ ℗ 2018 Aftermath Records

Released on: 2018-02-09

Auto-generated by YouTube.",2d,9336,PT4M28S,0,True,125858,none,rectangular,2018-02-09T05:45:39.000Z,"{'allowed': ['CR', 'GR', 'GT', 'CY', 'CZ', 'CA', 'CL', 'GB', 'CO', 'CH', 'PY', 'PT', 'KR', 'PL', 'PE', 'PA', 'DE', 'MT', 'DK', 'DO', 'HU', 'UA', 'HR', 'LU', 'LT', 'LV', 'LI', 'US', 'HN', 'ES', 'EC', 'NI', 'EE', 'IT', 'UY', 'IS', 'RS', 'VE', 'RU', 'MK', 'ID', 'IE', 'RO', 'IN', 'AT', 'AU', 'AR', 'ZA', 'FR', 'FI', 'SE', 'JP', 'BO', 'NO', 'BA', 'NL', 'BG', 'SI', 'BE', 'SK', 'SV', 'BR', 'MX', 'NZ']}","['ScHoolboy Q', '2 Chainz', 'Saudi', 'Black Panther The Album Music From And Inspired By', 'X']",X,Zv479MCnThA,14604996,CDIQAA,
true,10,UCmth4hMyizG-_W9jidBqs_A,Jaeguchi,760,en,hd,"All Rights Administered by SM Entertainment

• Artist: 슬기(SEULGI)X신비(여자친구)X청하X소연
• Song: Wow Thing
• Album: 'Wow Thing' SM's Project [STATION X0]

• Members: Seulgi (Red Velvet), SinB (GFRIEND), Chungha, Soyeon (G I-DLE)
..............................................................................
• SUBSCRIBE ▶️  https://bit.ly/2ORLEk1
• REQUEST SONG HERE: https://goo.gl/9G5rQx
• FOLLOW ME: https://www.facebook.com/SB286
https://www.instagram.com/jaekuchi
................................................................................

• No copyright infringement intended / Don't reupload",2d,107,PT2M51S,0,True,12723,none,rectangular,2018-09-28T10:00:38.000Z,,"['sm station', 'station x 0', 'seulgi', 'sinb', 'chungha', 'soyeon', 'red velvet', 'gfriend', 'produce101', 'g i-dle', 'gidle', 'g idle', 'color coded', 'color coded lyrics', 'jaeguchi', 'kpop', 'kpop lyrics', 'english', 'english trans', 'wow thing line', 'wow thing lyrics', 'wow thing audio']",SEULGI (RED VELVET) X SINB X CHUNGHA X SOYEON - WOW THING (Color Coded Lyrics Eng/Rom/Han/가사),C4pMg9lKxaA,333020,CDIQAA,
false,10,UCmFp3gyBXLirYZRCfDh6PjQ,Thizzler On The Roof,1889,xxNoneFoundxx,hd,"✔ Follow X-Raided on IG: https://www.instagram.com/officialxraided1/?hl=en
✔ iTunes: https://itunes.apple.com/us/artist/x-raided/4623548
✔ Find all of their music on Thizzler: https://www.thizzler.com/blog/tag/x-raided

Sacramento Legend @OfficialXRaided is fresh out of jail and right back to work. Delivering his new video ""California Dreamin'"" shot and edited by Nobe Inf Gang. 1st single off the upcoming Anerae: The Execution of X-Raided album coming soon. Presented by Bloc Star Entertainment. X-Raided isn't wasting anytime after being down for 25 plus years, he's back to feeding the streets with the raw rap his fan's have been waiting for. Watch this new visual from the 916 representative now. 
You prolly grew up listening to street classics such as ""Macaframalama"" ain't no love for them hoes and I'm knowing. But we always heard his music through a phone from jail. It's dope to see the legend free and uniting with Brotha Lynch Hung and T-Nutty. You already know the new music that's finna be released finna be well worth it. Welcome home to X-Raided. - youngMONC

Slapped by: youngMONC
#Thizzler #XRaided #BlocStarEntertainment

Subscribe to the Thizzler On The Roof channel for new slaps every day: https://www.youtube.com/user/ThizzlerMP3s?sub_confirmation=1

Subscribe to the Thizzler TV channel for interviews, documentaries, news & more: https://www.youtube.com/c/ThizzlerTV?sub_confirmation=1

Submit music: thizzlerontheroof@gmail.com
Guaranteed placement / promo: advertise@thizzler.com or text (415) 212-5031

Twitter: http://www.twitter.com/TheThizzler
Soundcloud: http://www.soundcloud.com/TheThizzler
Instagram: http://www.instagram.com/TheThizzler
Facebook: http://www.facebook.com/TheThizzler
YouTube: http://www.youtube.com/TheThizzler

Shout Out Em Dub & youngMONC",2d,262,PT3M56S,0,True,9028,none,rectangular,2018-09-29T01:44:45.000Z,,"['Thizzler', 'Thizzler On The Roof', 'Thizzler 2018', 'MBNel', 'Berner', 'Mozzy', 'Benny', 'Robbioso', 'Pimptobi', 'X-Raided']",X-Raided - California Dreamin' (Exclusive Music Video) || Dir. @INFGANG,AX5-zZAzFbA,141493,CDIQAA,
false,10,UCnAcxgRZ065f_eXK1o85c1w,XXXTentacion - Topic,115792,xxNoneFoundxx,hd,"Provided to YouTube by Universal Music Group

Moonlight · XXXTENTACION

?

℗ 2018 Bad Vibes Forever

Released on: 2018-03-16

Producer, Associated  Performer, Keyboards, Programmer: John Cunningham
Studio  Personnel, Recording  Engineer, Mixer: Robert Soukiasyan
Studio  Personnel, Mastering  Engineer: Dave Kutch
Unknown, Other: Kevin Peterson
Composer  Lyricist: Jahseh Onfroy
Composer  Lyricist: John Cunningham

Auto-generated by YouTube.",2d,38965,PT2M16S,0,True,997220,none,rectangular,2018-03-16T08:00:03.000Z,"{'allowed': ['CH', 'PY', 'CO', 'CA', 'GT', 'GR', 'PL', 'CZ', 'PE', 'CR', 'PA', 'CL', 'MK', 'KR', 'GU', 'HU', 'DE', 'DK', 'DO', 'CY', 'HR', 'LT', 'LU', 'LV', 'LI', 'TR', 'HN', 'PT', 'ES', 'ZA', 'EC', 'EE', 'AU', 'AT', 'AS', 'AR', 'UA', 'IT', 'IS', 'MT', 'US', 'IE', 'ID', 'IN', 'UY', 'GB', 'BR', 'FR', 'NI', 'NO', 'NL', 'SV', 'SI', 'BG', 'SK', 'MX', 'BA', 'NZ', 'BO', 'SE', 'BE', 'VI', 'RU', 'RO', 'VE', 'FI', 'RS']}","['XXXTENTACION', 'エックスエックスエックステンタシオン', '?', 'Moonlight', 'ムーンライト']",Moonlight,ic9KOmxNrDc,118842638,CDIQAA,
false,10,UCM9r1xn6s30OnlJWb-jc3Sw,xxxtentacion,813766,xxNoneFoundxx,hd,"enjoy.

? HERE: https://xxxtentacion.lnk.to/NEWALBUM",2d,123938,PT2M47S,0,False,5438747,none,rectangular,2018-03-02T05:05:53.000Z,,xxNoneFoundxx,XXXTENTACION - SAD!,pgN-vvVVxMA,495018863,CDIQAA,
false,10,UCZYPhRwcOpdxP3a2aI2XghQ,Skengdo x AM,720,xxNoneFoundxx,hd,"►STREAM PITBULLS https://lnk.to/SkengdoxAM-ListenID
►PRE-SAVE / PRE-ADD GREENER ON THE OTHER SIDE EP https://ffm.to/gotos.OYD
►FOLLOW SKENGDO X AM https://lnk.to/SkengdoxAM-FollowID

For Bookings and Enquiries: skengdoxambookings@gmail.com 

Produced: Pnoonz & JB104

Instagram: http://www.instagram.com/skengdoxam/ 
Twitter: http://twitter.com/SkengdoxAm 

-- Follow Skengdo -- 
Twitter: https://twitter.com/skengdo41circle 
Instagram: https://www.instagram.com/skengdo2bunny/  

-- Follow AM -- 
Twitter: https://twitter.com/AM2bunny 
Instagram: https://www.instagram.com/am2bunny_/  
Soundcloud: https://soundcloud.com/am410

AM

Drop top head shot when your roof down 
A mally with the Bally got a new sound 
That's a tre pound 
And now your thinking that you should have never came out 

12 gauge dot dot chat shit get shot 
This spot got hot gotta change house 
Catting for a hot wok or a steak house 
And if my nigga don't eat I'ma spray rounds 

And if my nigga got beef then it's my war 
How many niggas in your set would you die for?
And if your nigga got shot would you shoot back
You got a gun but you dunno how to use that 

Mind how you talk on the phone 
Ma 2 pit bulls walk around on their own 
It's best that you leave me alone 
My bro got his watch from Sierra Leone 

Chief Keef

You got a trap but don’t know how to get it jumping 
You in a fast car but don’t know how to push it 
I’m in a fast car getting T like I’m Pusha
You say you’re a killer but now we gotta push it 
2 30s under the T like I’m Booker. 
Slide on you late night like a hooker 
Send my young boys to smoke you like a hooker 
They gon think that he a chef when he cook you 
Pick a chopstick up and chop you like a butcher 
Take the magazine I’m a plug it like it’s hook though 
You be shooting in the air like yo she look dope 
Let it go till there ain’t no more like man she book though

Skengdo

They're like Skeng you better calm down 
You're gonna end up locked or rotting in the ground 
But you know I can’t stop gotta make the pounds 
Old skl out the window wouldn’t make a sound 
Hella man chatty yeah they're bitches 
The bitch is telling me I should do kisses 
She mything only the cash I be lipsing 
The big ting she shoves in it her mouth she ain’t thinking 
Their man there fear the kitchen but that’s cool cah the corn game is different 
You don’t wanna see my dargs when they risen 
You don’t wanna see my dargs when they risen

AM 

Give me one chance 
Give me one chance 
Shouts drake but I don't need 1 dance 
Need a big red bone what the bumbaclart 
Home time if she can't hold fire arms 

I don't fuck with a bitch if that. Bitch is lame 
The only reason she about cah she giving brain 
If she a 10 out of 10 then I'm running game 
And I attempt to catch an M it's in my fucking name 

I was up suh billing up billin up grub  
I'm a shotta living up in the gutter 
With a Rasta spinner up helicopter 
Den I fucked up hit and run I got sucked up",2d,93,PT3M48S,0,False,9048,none,rectangular,2018-09-28T08:29:12.000Z,,"['skengdo', 'am', 'a!m', 'skengdo and am', 'skengdo x am', 'skengdo & am', '2bunny', 'mixtape', '2 bunny', 'macaroni', 'mansa musa', 'best in south', 'chiraq', 'creep up', 'gangland', 'kung fu', 'jump that fence', 'snitch', 'time is money', 'amsterdam', 'paris', 'behind barz', 'mad up mad up', 'mad about bars', 'foolishness', 'think again', '2016', '2017', 'live', 'lyrics', 'grm', 'linkup', 'press play', 'official', 'moves life', 'finesse foreva', 'chief keef', 'drill', '2018', 'hunterz', 'love sosa', 'sosa', 'sosa beats', ""i don't like"", 'jr saint']",Skengdo x AM ft. Chief Keef - Pitbulls [Official Audio],mr5vhmcDuyQ,165785,CDIQAA,
false,10,UCuVvjHUPjVsJraijv120D_A,Brytiago Cartel Records,1926,xxNoneFoundxx,hd,"Brytiago x Rafa Pabón - La Mentira | Música nueva | Trap 2018
Descarga y reproduce ""La Mentira"" en tu plataforma favorita ⚠ https://lnk.to/LaMentira 


http://www.facebook.com/Brytiagopr
http://www.instagram.com/brytiago
http://www.youtube.com/brytiagotv
http://twitter.com/BryTiago

Brytiago - Cartel Records

YT Rocket
2018",2d,790,PT3M18S,0,True,61809,none,rectangular,2018-09-28T05:25:27.000Z,,"['Brytiago', 'rafa pabon', 'la mentira', 'trap', 'bad bunny', 'ozuna', 'trap nuevo', 'trap 2018', 'trap mix', 'darell', 'reggaeton', 'reggaeton nuevo', '2018', 'nicky jam', 'equis', 'j balvin', 'reggaeton mix', 'trap music', 'trap latino', 'te bote', 'abuso', 'asesina', 'latin trap', 'sin pijama']",Brytiago x Rafa Pabón - La Mentira ⚠,SmswF552Xsk,2282330,CDIQAA,
false,10,UCH7bX7588Cv_4kwkaS6kPGw,Mudi,957,xxNoneFoundxx,hd,"Bana hören: https://MUDI.lnk.to/featMRC_Bana
Besuche Mudi
http://www.mudishop.de
https://www.instagram.com/mudi_mahmoud
https://www.facebook.com/Mudi92
  
Besuche MRC
https://www.instagram.com/momomrc
https://www.youtube.com/channel/UCK5QV6q7_yOXnKt78lEV8RQ

Produced by The Royals
https://www.instagram.com/hamudi_theroyals

Co Production - Lucry
https://instagram.com/prodby_lucry

Mix & Master by Jeff Adams https://www.instagram.com/jeffadamstracks/

Video by Görkem Ekici 
https://www.instagram.com/goerkemekici/",2d,666,PT2M37S,0,True,21606,none,rectangular,2018-09-28T18:00:01.000Z,,"['Mudi', 'Hayat', 'Züleyah', 'Züleyha', 'Zuleyha', 'Fehler', 'seitdem', 'alles', 'anders', 'ist', 'nur du', 'leyla und mahmoud', 'heb die faust', 'verrückte welt', 'Bana', 'MRC', 'New', 'Hot', 'Hip Hop', 'Rap', 'Deutsch Rap']",Mudi x MRC - Bana (Offizielles Video),MwEr4Yvhjdo,289712,CDIQAA,
false,10,UCTzdF53ho7UyUJrDA6Z-erQ,YUNG SARRIA,1589,xxNoneFoundxx,hd,"IG https://www.instagram.com/yungsarria1312

Shot BY Lauryn
Prod by Fluss Khalifa
SPONSORED BY #DBT

© 2018 Dbtrap Records",2d,1668,PT2M52S,0,True,53247,none,rectangular,2018-09-27T17:33:08.000Z,,"['kidd keo', 'kidd', 'keo', 'yung sarria', 'yung', 'sarria', 'lollypop', 'dracukeo', 'asfalto', 'simon', 'tantas veces', 'rap', 'trap', 'trap españa', 'spain', 'trap music', 'dirty business trap', 'dbt']",YUNG SARRIA x KIDD KEO Macaroni Prod. FLUSS KHALIFFA,xQGP3GRBxZA,942770,CDIQAA,
false,10,UCuaXAzznbIklcRgjcdE7nAQ,MałachRufuz Official,175,xxNoneFoundxx,hd,"ZAMÓW PREORDER - 4 BONUS TRACKI - OSTATNIE SZTUKI !!
http://mrcrew.pl/product/360-mixtape/

https://preorder.pl/muzyka/polska/malach-rufuz-360-mixtape?from=listing&campaign-id=14

Klip wykonany w technice 360 stopni pozwala na obracanie obrazem za pomocą myszki na monitorze lub zmiany pozycji na smartfonie. 
""Nic innego"" to piąty utwór promujący ""360 Mixtape"", gdzie gościnnie udzielili się ziomale z różnych części Polski tacy jak: TPS, Kacper HTA, Hice. Za muzykę odpowiedzialny jest Małach a obraz przygotowała dla Nas nie zawodna ekipa 9 liter filmy. Sklepowa premiera 360 Mixtape przewidziana jest na 26 październik. Już dziś zachęcamy do zamawiania wersji PREORDER wzbogaconej o 4 bonusowe tracki, które dostępne będą tylko i wyłącznie w tej limitowanej wersji. Zachęcamy do zakupu !
Zostańcie z Nami!

Muzyka/Mix - Małach
Master - Deszczu Strugi

360 Elo !

RFZ - https://www.instagram.com/_rufuz_mrcrew/
TPS - https://www.facebook.com/TrzebaPomagacSwoim/
KACPER - https://www.instagram.com/kacperhta/
MAŁACH - https://www.instagram.com/malach_mrcrew/
HICE - https://www.instagram.com/crunklab/
9 LITER - https://www.instagram.com/9literfilmy/

WWW.MRCREW.PL

WWW.360CLTH.PL",2d,89,PT4M51S,0,True,5390,none,360,2018-09-28T12:21:02.000Z,,"['rap', 'hiphop', 'rufuz', 'tps', 'kacper hta', 'hice', 'małach', 'mixtape', '360', '360clth', 'mrcrew', '360mixtape', '9literfilmy', 'malachrufuz', '360 mixtape', 'nic innego', 'rufuz nic innego', '360 mixtape nic innego', 'małach rufuz', '2018', 'music', 'topmusic', 'fresh', 'vr', '360 stopni', 'google', 'google vr']",Rufuz x TPS x Kacper HTA x Hice - Nic innego Prod. Małach (360 MIXTAPE) 360 video!,ghESZVO5Tto,124346,CDIQAA,
