caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UCYw09b1bNwXBickiw3k5aOw,"AL2 ""El Aldeano""",305,xxNoneFoundxx,hd,"Mi Luna y Mi Sol, un nuevo tema de el Aldeano.
Suscribete a Al2 El Aldeano para mantenerte al dia con mi musica ➡➡➡https://www.youtube.com/subscription_center?gl=CA&hl=en&add_user=al2elaldeano
La trompeta que suena la hizo mi amigo Raudel el Tatuador con la boca, la guitarra y el bajo las hizo Jhamy Dejavu.
Para quienes no me conocen mi nombre es Aldo, hago rap en español. Comence mi carrera en Cuba hace mas de 10 años con el grupo Los Aldeanos. Para encontrar mas de mi Hip Hop :
Pagina Web Oficial : http://www.al2elaldeano.com
Spotify : spotify:artist:6lYSDSFhJyUV6CtNix2fBA
Instagram : @al2elaldeano.oficial
Facebook : http://facebook.com/al2.elaldeano/


EDICION:
Angel Ponss : https://www.instagram.com/_aponss/

LETRA:
Y cómo tú crees que yo olvidaría tus besos tan fácil 
Solamente se se se que en este desierto tú eres mi oasis 
Yo quisiera ser el que cuida toda tu parte frágil 
Déjame tenerte que tú me vuelves loco tú eres mi éxtasis 

Mi droga mi aire 
Mi mundo entero 
Mi bosque de luces en tus ojos quiero otra vez 
Otra vez 
Te llevo en mi alma de enero a enero 
Nunca te olvides que aquí te espero otra vez 
Otra vez

Vuelve te lo pido te lo imploro te lo ruego 
Haga lo que haga nada me apaga tu fuego 
Dame una señal y yo avanzo desde luego 
Así tenga que cruzar el mar nadando yo a ti llego 

La vida se va tú eres mi felicidad 
Vuelve de sentirte siento la necesidad 
Tienes que saber que te extraño y te amo de verdad 
Y que te aclamo a gritos en mis silencios de soledad 

Me congelaste en un beso como una maga 
Pasa el tiempo y sigo curándome tus llagas 
Unas voy en paz otras la tierra me traga 
Y otras soy como una vela en un rincón que el viento apaga 

Vuelve
Que el tiempo está corriendo
Vuelve a mí

Mentira que yo te puedo olvidar 
Mentira que esto llegó a su final 
Mentira sin ti todo me da igual 
Mentira Mami Mentira Mami Mentira 
Cómo te voy a dejar 
Mentira nunca me quise alejar 
Mentira por siempre te voy a amar
Mentira Mami Mentira Mami Mentira 

Sigo en mi melancolía 
Te estoy extrañando demasiado yo diría 
Cada segundo cada hora cada día 
He tenido más mujeres si pero tú eres la mía 

Tu lejanía es un castigo que desalma 
Tú estás en todas las líneas de mis palmas 
Estoy esperando a verte con mi santa calma 
Para preguntarte si tú sabes algo de mi  alma 

Y cómo tú crees que yo olvidaría tus besos tan fácil 
Solamente se se se que en este desierto tú eres mi oasis 
Yo quisiera ser el que cuida toda tu parte frágil 
Déjame tenerte que tú me vuelves loco tú eres mi éxtasis 

Mi droga mi aire 
Mi mundo entero 
Mi bosque de luces en tus ojos quiero otra vez 
Otra vez 
Te llevo en mi alma de enero a enero 
Nunca te olvides que aquí te espero otra vez 
Otra vez

Si tú no estás entonces yo no existo
Déjame amarte   
Que tú eres mi amor mi luna y mi sol

Si tú no estás entonces yo no existo
Déjame amarte   
Que tú eres mi amor mi luna y mi sol",2d,76,PT4M35S,0,True,7747,none,rectangular,2018-10-05T17:00:01.000Z,,"['aldo roberto rodriguez baquero', 'aldo', 'al2', 'el aldeano', 'la aldea', 'los aldeanos', 'tema nuevo', 'letra', 'lirica', 'temas de amor']",Al2 El Aldeano - Mi Luna y Mi Sol,1yqCFAfw_fs,121782,CDIQAA
true,10,UCKR6KdJmTdhLVQJnoJu9tRQ,Adexe & Nau,181138,es,hd,"Tú Y Yo es el primer single oficial de Adexe & Nau como dúo y forma parte del primer álbum de los hermanos. El tema ha sido escrito por Adexe & Nau, Iván Troyano y ha sido producido por Shotone y Lupión. El vestuario de la modelo Ainara Glez. es de la mano del gran diseñador Joshua Velázquez.
Estilismo: Barbería ""El Garaje"".

🇺🇸 You can watch our video subtitled in English
🇧🇷 Você pode ver o nosso vídeo legendado em Português
🇮🇹 È possibile vedere il nostro video sottotitolato in italiano
🇫🇷 Vous pouvez voir notre vidéo sous-titré français

management: contratacion@33producciones.es

Síguenos:

ADEXE Y NAU:
https://twitter.com/adexeynau
https://facebook.com/adexeynau
https://instagram.com/adexeynau

ADEXE:
https://instagram.com/adexeoficial
https://twitter.com/adexeoficial
https://facebook.com/adexeoficial

NAU:
https://instagram.com/nauzetoficial
https://twitter.com/nauzetoficial
https://facebook.com/nauzetoficial

IVÁN TROYANO (Director):
https://instagram.com/ivantroyano
https://twitter.com/ivantroyano
https://facebook.com/ivantroyano

Joshua Velázquez (Diseñador de la ""Genia""):
https://instagram.com/joshuavelazquezz
https://facebook.com/joshu90
www.joshuavelazquez.com 

El dúo Adexe & Nau está formado por los hermanos ""Adexe y Nauzet"", con género musical pop-reggaeton (regueton), pop latino, balada pop, musica tropical, rap y estilo libre.",2d,124228,PT3M11S,0,True,1097082,none,rectangular,2016-09-15T15:00:01.000Z,,"['Adexe', 'Nau', 'oficial', 'official', 'cantante', 'niño', 'joven', 'pequeño', 'kid', 'young', 'singer', 'cancion', 'cumpleaños', 'feliz', 'soy', 'el', 'unico', 'nauzet', 'hermanos', 'cantantes', 'canarias', 'tenerife', 'famosos', 'cover', 'españoles', 'españa', 'islas', 'adexe y nau', 'adexe & nau', 'videoclip', 'video', 'clip', 'canarios', 'tu y yo', 'tú', 'yo', 'eres', 'la', 'luz', 'de', 'mi', 'cielo', 'disney', 'lampara', 'aladdin', 'aladin', 'aladino']",Tú Y Yo - Adexe & Nau (Videoclip Oficial),dBDCgxAH1iU,200328612,CDIQAA
false,10,UC-NNIG5qSppCk2grs_7NYMQ,Live your Dreams,25,xxNoneFoundxx,hd,"3 Horas de la mejor música instrumental de piano relajante y tranquila para estudiar y concentrarse y memorizar con sonidos de olas del mar. Es la música perfecta para estudiar y concentrarse, memorizar, leer, pensar, reflexionar y relajarse. Además, es la mejor música instrumental para trabajar y concentrarse en la oficina, aumentar la concentración, hacer deberes, para leer libros y escribir, etc. 

- Síguenos en Facebook :) https://goo.gl/3NJqvq

Muchas gracias por ver este video del canal de Live your Dreams. Espero que te haya gustado y no olvides compartirlo y Suscribirte :)

- Música:
""Parting of the ways 2"" by Kevin MacLeod (incompetech.com)(CC BY 3.0)

#musicarelajante #musicapiano #musicaparaestudiar",2d,68,PT2H58M48S,0,True,282,none,rectangular,2018-10-08T13:29:00.000Z,,"['musica relajante', 'musica para estudiar', 'musica de piano', 'musica instrumental', 'musica para trabajar', 'olas del mar', 'sonido del mar', 'musica para relajarse', 'musica para relajar la mente y el alma', 'musica para concentrarse', 'musica para leer', 'musica de relajacion', 'musica instrumental para trabajar', 'musica relajante para estudiar', 'musica para estudiar y concentrarse', 'musica para leer y concentrarse', 'musica para trabajar y concentrarse', 'piano relajante', 'live your dreams', 'musica']","Música de Piano Relajante para Estudiar y Concentrarse, Trabajar, Leer, Relajarse (Olas del Mar)",lbfhDYm5w54,51713,CDIQAA
true,10,UCnoKJ-Zl9CX_hxSgZXP1O-A,Wolfine,57886,xxNoneFoundxx,hd,"Bella Remix con el Parcero Maluma,  Video Oficial. #BellaWxM
Suscríbete a mi canal aquí: 👉 https://goo.gl/3SuPXn 👈
Lo Mio Records 


Escuchalo en plataformas digitales:
Spotify: https://goo.gl/GmgGu2
Deezer: https://goo.gl/bCQF7E
Itunes: https://goo.gl/1raoRQ

Redes Sociales:
http://www.facebook.com/wolfine98
http://twitter.com/wolfine98
http://instagram.com/wolfine98
http://wolfine.net/
http://google.com/+wolfinemed

Lo Mio Records

Contrataciones: (+57) 312 267 6869
Colombia

Letra:

Maluma
 
Jajaja Remix
Wolfine, Maluma Baby, Mua
 
Maluma:
Ayer me dijeron tus amigas,
que andabas buscándome como loca en la calle,
y yo bebiendo como un loco cerveza;
con unos parceros dañándome la cabeza,
 
Wolfine:
Borracho con el corazón malo,
caminando solo, me la encontré a ella
 
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma:
Maluma Baby
Me cogiste en un momento de debilidad,
yo jurándome que nunca más te iba a tocar,
todo por culpa de esas malditas cervezas,
con esos labios en frente quien no te besa,
porque no fui capaz de ahí mismo darle stop,
en el ranking de mi culo siempre fuiste el top,
nos cagamos los dos solos en la relación,
lo dejamos a lo loco así sin protección.
 
Era demasiado tarde y yo con los tragos en la cabeza,
eres mi debilidad me encanta cuando te pones necia.
Era demasiado tarde y yo con los tragos en la cabeza,
eres mi debilidad a ti nadie te endereza
 
Wolfine:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma Baby
 
Wolfine:
Me dijeron que andabas un poco triste,
que te pusiste a beber y con un man por ahí te fuiste,
Ay baby me dañaste el corazón,
ya no creo en el amor,
ahora por ti soy peor
Ay baby me dañaste el corazón
ya no creo en el amor
ahora por ti soy peor
 
Maluma:
Ayer me dijeron tus amigas,
que andabas buscándome como loca en la calle,
 
Wolfine:
y yo bebiendo como  loco cerveza;
con unos parceros dañándome la cabeza
 
Maluma:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Coro:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma baby
 
Wolfine
 
La versatilidad de la calle papá
 
Wolfine
 
Ando con el lobo y no es el de wallstreet
 
Dj Gansgta
 
El ritmo que te provoca
 
LoMio Records
 
Medellín Colombia parceros
 
Pal mundo entero",2d,128041,PT3M47S,0,True,1066037,none,rectangular,2018-05-04T05:00:01.000Z,,"['Wolfine', 'Maluma', 'Mujer tan bella', 'Bella', 'bella wolfine', 'bella maluma', 'yo con una botella', 'bella remix oficial', 'con una cerveza', 'Ayer me dijeron tus amigas', 'ahora por ti soy peor', 'mujer tan bella y yo con una botella', 'i yo con una botella', 'borracho con el corazon malo', 'fame', 'pretty boy', 'dirty boy', 'Maluma baby', 'wolfine y maluma', 'maluma bella', 'wolfine bella', 'cai en las garras de ella', 'eres mi debilidad a ti nadie te endereza', 'yo con los tragos en la cabeza']","Bella Remix, Wolfine y Maluma - Video Oficial",3TrkEh_Af7I,223651785,CDIQAA
false,10,UCQKcBdR5dXxDyM-6ewvXhcQ,Tomas T,233,xxNoneFoundxx,sd,Y tu- Julio Alvarez letra (lyrics),2d,854,PT2M54S,0,False,22843,none,rectangular,2012-02-09T01:00:22.000Z,,"['tu', '-Julio', 'alvarez', '(lyrics)', 'Lyrics']",Y tu -Julion Alvarez (lyrics),cF9VeJf_4BY,5471795,CDIQAA
false,10,UChX2haJZZJOtIIrdqLPvQWA,RemexMusic,4890,xxNoneFoundxx,hd,"Escúchalo en:
Spotify: https://goo.gl/qXdKvV
Apple Music: https://goo.gl/dznxes

PARA CONTRATACIONES:
MONTERREY, N.L.
TELS. (81) 1873-8066 / (81) 1873-8067
WHATSAPP: (81) 2640-8822
------
USA
TELS. (281) 733-4748 / (832) 577-0539
------
EMAIL: ventas@remexmusic.net

Suscríbete al canal: http://bit.ly/RemexYT

Síguenos en:
Facebook: https://www.facebook.com/RepresentacionesRemexMusic/
Twitter: https://twitter.com/remex_music
Instagram: https://www.instagram.com/remexmusicoficial/",2d,19500,PT4M6S,0,True,255226,none,rectangular,2018-01-05T22:00:01.000Z,,"['Remex', 'RemexMusic', 'Música', 'Mexicana', 'TeVee', 'edwin luna y la trakalosa de monterrey', 'fijate que si', 'video oficial', 'erika vidrio', 'edwin luna', 'banda', 'monterrey', 'balada', 'colima', 'manuel gayosso', 'gayosso films']",Edwin Luna y La Trakalosa de Monterrey - Fíjate que sí (Video Oficial),U5Md6S9jovk,72066447,CDIQAA
false,10,UChX2haJZZJOtIIrdqLPvQWA,RemexMusic,17910,xxNoneFoundxx,hd,"#BandaTierraSagrada #LaBuenaYLaMala

Escúchalo en:
Spotify: https://goo.gl/rwpfhc
Apple Music: https://goo.gl/FZTZ2R

PARA CONTRATACIONES:
MONTERREY, N.L.
TELS. (81) 1873-8066 / (81) 1873-8067
WHATSAPP: (81) 2640-8822
------
USA
TELS. (281) 733-4748 / (832) 577-0539
------
EMAIL: ventas@remexmusic.net

Suscríbete al canal: http://bit.ly/RemexYT

Síguenos en:
Facebook: https://www.facebook.com/RepresentacionesRemexMusic/
Twitter: https://twitter.com/remex_music
Instagram: https://www.instagram.com/remexmusicoficial/",2d,60164,PT5M,0,True,628140,none,rectangular,2013-08-09T22:53:22.000Z,,"['banda', 'tierra', 'sagrada', 'la', 'buena', 'mala', 'el', 'dilema', 'bueno', 'malo', 'remex', 'music', 'discos', 'sabinas', 'Banda Tierra Sagrada', 'La buena y la mala', 'Sinaloa', 'Mazatlan']",Banda Tierra Sagrada - La buena y la mala (el dilema) VIDEO OFICIAL,8rI1e3WYnbg,381504303,CDIQAA
false,10,UCR-iO9JCvqGPzde3DgKwcFA,rafael alejandro ruiz gonzalez,844,xxNoneFoundxx,hd, ,2d,1438,PT5M8S,0,False,21532,none,rectangular,2013-04-28T08:11:22.000Z,,xxNoneFoundxx,Marc Anthony Ft  Jose Luis Perales  Y Como Es El En Vivo) (HD),Ot_WH0n1Zy8,6862840,CDIQAA
false,10,UChX2haJZZJOtIIrdqLPvQWA,RemexMusic,10918,xxNoneFoundxx,hd,"Escúchalo en:
Spotify: https://goo.gl/NJMJQy
Apple Music: https://goo.gl/1RYxuG

PARA CONTRATACIONES:
MONTERREY, N.L.
TELS. (81) 1873-8066 / (81) 1873-8067
WHATSAPP: (81) 2640-8822
------
USA
TELS. (281) 733-4748 / (832) 577-0539
------
EMAIL: ventas@remexmusic.net

Suscríbete al canal: http://bit.ly/RemexYT

Síguenos en:
Facebook: https://www.facebook.com/RepresentacionesRemexMusic/
Twitter: https://twitter.com/remex_music
Instagram: https://www.instagram.com/remexmusicoficial/",2d,16344,PT4M10S,0,True,243461,none,rectangular,2012-11-23T17:50:26.000Z,,"['el bueno y el malo', 'banda', 'tierra', 'sagrada', 'ft', 'colmillo', 'norteño', 'remex', 'music', 'discos', 'sabinas', 'banda tierra sagrada', 'la buena y la mala', 'VideoOficial', 'Monterrey', 'NuevoLeon', 'Mazatlan', 'Sinaloa']",Banda Tierra Sagrada ft. Colmillo Norteño - El Bueno y el malo (Video Oficial),n-yxITUaYyY,134079806,CDIQAA
false,10,UChYwYTzrhfxPfJPFWRlYwUg,DEL Records,10744,xxNoneFoundxx,hd,"El reconocido y talentoso cantautor sinaloense, Lenin Ramírez estrena el video de “Recordando A Manuel” al lado de Gerardo Ortiz y Jesus Chairez. Este nuevo tema estará incluido en su próxima producción discográfica la cual saldrá al mercado en los próximos meses. El último álbum de Lenin, SIEMPRE FIRME, es su segunda producción bajo el sello DEL Records. Este álbum incluye corridos, baladas y temas bailables como el éxito “La Viuda Negra.” Una de las influencias musicales más destacadas en las producciones del cantautor es la música sierreña.

Lenin Ramírez ha realizado extensas giras en todo México y sus composiciones han sido interpretadas por varios de los artistas más sobresalientes del género incluyendo Los Alegres del Barranco y Jesús Ojeda, entre otros.Tal vez el mayor desafío para Lenin fue tomar las tradiciones y grabar música que suene fresca. Ramírez combina varios géneros como parte de su repertorio para que su música tenga un toque moderno y único para sus fans. 

Suscribete En YouTube: http://goo.gl/zxL311

Síguenos En: Spotify: https://goo.gl/nbrx8n
Instagram: https://goo.gl/RFknFr
Facebook: http://goo.gl/dDPjE1
Twitter:  https://goo.gl/Z6IVhF
http://DelRecords.com

2017 © Del Records, Inc.",2d,47910,PT3M34S,0,True,509462,none,rectangular,2017-05-26T23:00:03.000Z,,"['DEL Records', 'DEL Records 2017', 'DEL', 'Recordando A Manuel', 'Behind The Scenes', 'Lenin Ramirez', 'Lenin', 'Gerardo Ortiz', 'Jesus Chairez', 'en vivo 2017', 'regional', 'mexico', 'entrevista', 'descargar', 'vivo', 'en vivo', 'corridos 2017', 'mexicanos', 'estrenos', 'lo mas nuevo', 'descarga', 'latin', 'estrenos 2017', 'mix 2017', 'lo nuevo 2017', 'mazatlan', 'sinaloa', '2017', 'musica', 'nuevo', 'musica 2017', 'lo mas nuevo 2017', 'banda', 'video oficial', 'corridos', 'video', 'narco', 'music', 'new', 'nuevas', '2018', 'mexico city', 'estreno']",Recordando A Manuel - (Video Oficial) - Lenin Ramirez feat. Gerardo Ortiz y Jesus Chairez,u5M__nfVWq8,195200573,CDIQAA
