caption,categoryId,channelId,channelTitle,commentCount,defaultLanguage,definition,description,dimension,dislikeCount,duration,favoriteCount,licensedContent,likeCount,liveBroadcastContent,projection,publishedAt,regionRestriction,tags,title,vidId,viewCount,request_token
false,10,UCQhOf1GhzkMsyLAFwrnG8XQ,marcanthonyVEVO,31227,xxNoneFoundxx,hd,"New Official Video/Nuevo Video Oficial! Marc Anthony, Will Smith, Bad Bunny “Está Rico”
 
Available Music/Música Disponible: 
 
All DSPs: http://smarturl.it/EstaRico 
Apple Music: http://smarturl.it/EstaRico/applemusic 
Spotify: http://smarturl.it/EstaRico/spotify 
Amazon Music: http://smarturl.it/EstaRico/az 
iTunes: http://smarturl.it/EstaRico/itunes 
Google Play: http://smarturl.it/EstaRico/googleplay 
 
Marc Anthony Socials/Redes: 
Facebook: https://www.facebook.com/officialmarcanthony/
Instagram: https://www.instagram.com/marcanthony/
Twitter: https://twitter.com/MarcAnthony
 
Will Smith Socials/Redes: 
Facebook: https://www.facebook.com/Will-Smith-92304305160/?ref=nf
Instagram: https://www.instagram.com/willsmith/
 
Bad Bunny Socials/Redes: 
Facebook: https://www.facebook.com/BadBunnyOfficial/
Instagram: https://www.instagram.com/badbunnypr/
Twitter: https://twitter.com/bad_bunnypr
 
 
Music video by Marc Anthony, Will Smith, Bad Bunny performing Está Rico (Official Video). (C) 2018 Sony Music Entertainment US Latin LLC/Magnus Music LLC/Westbrook Records",2d,44853,PT4M41S,0,True,499642,none,rectangular,2018-09-28T04:00:01.000Z,"{'allowed': ['UG', 'UA', 'UM', 'HU', 'HT', 'HR', 'HN', 'HM', 'HK', 'US', 'UY', 'UZ', 'PW', 'PT', 'PS', 'PR', 'PY', 'PG', 'PF', 'PE', 'PA', 'PN', 'PM', 'PL', 'PK', 'PH', 'CN', 'CO', 'CL', 'CM', 'CK', 'CH', 'CI', 'CF', 'CG', 'CD', 'CC', 'CA', 'CZ', 'CX', 'CY', 'CV', 'CW', 'CU', 'CR', 'KG', 'KE', 'SZ', 'SX', 'SY', 'SV', 'ST', 'KM', 'SR', 'SS', 'KH', 'KI', 'SN', 'KW', 'SL', 'SM', 'KR', 'SK', 'KP', 'SI', 'SG', 'SD', 'SE', 'KZ', 'SC', 'KY', 'FR', 'FI', 'AD', 'FK', 'FJ', 'FM', 'FO', 'NI', 'NL', 'NO', 'SO', 'NA', 'NC', 'NE', 'NG', 'NF', 'NZ', 'IQ', 'NP', 'NR', 'NU', 'VA', 'LC', 'VC', 'VE', 'AE', 'AF', 'AG', 'VI', 'AI', 'IR', 'IS', 'AL', 'AM', 'AO', 'AQ', 'AR', 'AS', 'AT', 'AU', 'IN', 'AW', 'AX', 'AZ', 'VN', 'ID', 'IE', 'SB', 'QA', 'IT', 'IL', 'SA', 'IM', 'DK', 'DJ', 'DO', 'DM', 'IO', 'YE', 'DE', 'DZ', 'BI', 'YT', 'VG', 'TZ', 'LA', 'LR', 'LK', 'TR', 'LI', 'TW', 'TV', 'TT', 'TK', 'TJ', 'TH', 'TO', 'LV', 'TM', 'TL', 'TC', 'LY', 'TG', 'SH', 'TD', 'GR', 'GS', 'GP', 'GQ', 'VU', 'LU', 'GT', 'GU', 'LT', 'GB', 'GA', 'GF', 'GG', 'GD', 'GE', 'GH', 'GI', 'GN', 'GL', 'LS', 'KN', 'OM', 'TF', 'SJ', 'GM', 'BM', 'BL', 'BO', 'BN', 'WF', 'BH', 'BJ', 'BE', 'BD', 'BG', 'BF', 'BA', 'BB', 'WS', 'BY', 'BZ', 'BT', 'BW', 'BV', 'BQ', 'LB', 'BS', 'GW', 'JE', 'JM', 'JO', 'RS', 'RO', 'JP', 'RE', 'TN', 'BR', 'ET', 'ZW', 'GY', 'ER', 'ES', 'EE', 'MQ', 'EG', 'ZA', 'EC', 'ZM', 'EH', 'ML', 'MM', 'MN', 'MO', 'MH', 'MK', 'MD', 'ME', 'MF', 'MG', 'MA', 'MC', 'RU', 'MX', 'MY', 'MZ', 'MT', 'MU', 'MV', 'MW', 'MP', 'RW', 'MR', 'MS']}","['Marc Anthony', 'MarcAnthony', 'Mark Anthony', 'Bad Bunny', 'BB', 'BadBunny', 'Will', 'Will Smith', 'WillSmith', 'Esta Rico', 'EstaRico', 'Estoy Rico', 'EstoyRico', 'Trap', 'Latin', 'Latin Trap', 'Hip-Hop', 'Rap', 'Latin Music', 'Está Rico', 'Latin Urban', 'Will Smith & Bad Bunny', 'Sony Music Latin']","Marc Anthony, Will Smith, Bad Bunny - Está Rico (Official Video)",--BHuKeveg4,12575262,CDIQAA
true,10,UCKR6KdJmTdhLVQJnoJu9tRQ,Adexe & Nau,180668,es,hd,"Tú Y Yo es el primer single oficial de Adexe & Nau como dúo y forma parte del primer álbum de los hermanos. El tema ha sido escrito por Adexe & Nau, Iván Troyano y ha sido producido por Shotone y Lupión. El vestuario de la modelo Ainara Glez. es de la mano del gran diseñador Joshua Velázquez.
Estilismo: Barbería ""El Garaje"".

🇺🇸 You can watch our video subtitled in English
🇧🇷 Você pode ver o nosso vídeo legendado em Português
🇮🇹 È possibile vedere il nostro video sottotitolato in italiano
🇫🇷 Vous pouvez voir notre vidéo sous-titré français

management: contratacion@33producciones.es

Síguenos:

ADEXE Y NAU:
https://twitter.com/adexeynau
https://facebook.com/adexeynau
https://instagram.com/adexeynau

ADEXE:
https://instagram.com/adexeoficial
https://twitter.com/adexeoficial
https://facebook.com/adexeoficial

NAU:
https://instagram.com/nauzetoficial
https://twitter.com/nauzetoficial
https://facebook.com/nauzetoficial

IVÁN TROYANO (Director):
https://instagram.com/ivantroyano
https://twitter.com/ivantroyano
https://facebook.com/ivantroyano

Joshua Velázquez (Diseñador de la ""Genia""):
https://instagram.com/joshuavelazquezz
https://facebook.com/joshu90
www.joshuavelazquez.com 

El dúo Adexe & Nau está formado por los hermanos ""Adexe y Nauzet"", con género musical pop-reggaeton (regueton), pop latino, balada pop, musica tropical, rap y estilo libre.",2d,123546,PT3M11S,0,True,1091105,none,rectangular,2016-09-15T15:00:01.000Z,,"['Adexe', 'Nau', 'oficial', 'official', 'cantante', 'niño', 'joven', 'pequeño', 'kid', 'young', 'singer', 'cancion', 'cumpleaños', 'feliz', 'soy', 'el', 'unico', 'nauzet', 'hermanos', 'cantantes', 'canarias', 'tenerife', 'famosos', 'cover', 'españoles', 'españa', 'islas', 'adexe y nau', 'adexe & nau', 'videoclip', 'video', 'clip', 'canarios', 'tu y yo', 'tú', 'yo', 'eres', 'la', 'luz', 'de', 'mi', 'cielo', 'disney', 'lampara', 'aladdin', 'aladin', 'aladino']",Tú Y Yo - Adexe & Nau (Videoclip Oficial),dBDCgxAH1iU,199284181,CDIQAA
false,10,UCsdweVuzf7JY6fscH2rv9rA,Midnight Memories,134,xxNoneFoundxx,hd,"Ya disponible ""Borracho Y Loco"" by Gotay El Autentiko, 2018.

Letra:
Y yo estoy aquí
Borracho y loco
Y mi corazón idiota
Siempre brillará

Y yo te amaré
Te amaré por siempre
Ahora vienen a mi otras
Por los diamantes
Que me hacen brillar

Todavía estoy aquí
Pensando que tú sabias
Aquí sigue tu recuerdo
Yo me acuerdo cuando a gritos me pedías

Que más duro te diera y que nunca parara
Hasta el otro día
Conmigo tú hiciste de todo
Cumpliste toda las fantasías

Te confieso que no soy el mismo
Dicen que estoy medio loco
Pero es que tú imagínate
Me dejaste to’ este tiempo solo

Ahora fue que yo aprendí a vivir
Si tú quieres lo puedes seguir
Solo una cosa te vo’ a decir
Me cago en la que te volvió a parir

Gracias por nunca virar
Me di cuenta que sin ti yo puedo estar
Nunca es tarde pa’ empezar
Y pa’ no recordar tuve que fumar

Supe que todo era un cuento
Que estaba perdiendo mi tiempo
Que bueno que te fuistes pa’l carajo como el viento
si te digo que estoy mejor te miento

Y yo estoy aquí (Yo ya estoy aquí)
Borracho y loco
Y mi corazón idiota
Siempre brillará

Y yo te amaré
Te amaré por siempre
Ahora vienen a mi otras
Por los diamantes
Que me hacen brillar

Pienso en ti donde quiera que estés
Quisiera decir que ya te olvide
Y que esa etapa ya la pase
Pero por lo menos en Insta ya te bloqueé

Que no me pajeo y ya es más de un mes
Por que a tu amiga ya le textie
Fumando con ella me emborrache
Se lo metí casi ya te olvide

De todas las cuentas ya te borre
Y en vez de una ahora tengo 10
Trate contigo y me focote
Jugaste conmigo un juego de ajedrez

Perdiste un amor verdadero
Ahora muerete de celo’

Y yo estoy aquí (Yo ya estoy aquí)
Borracho y loco (Loco)
Y mi corazón idiota (Idiota)
Siempre brillará (Brillará)

Y yo te amaré (Y yo te amaré)
Te amaré por siempre
Ahora vienen a mi otras
Por los diamantes
Que me hacen brillar

Gotay
Onyx
Toca el piano
Y me llama
Autentik
Ih ih

Y yo estoy aquí (Yo ya estoy aquí)
Borracho y loco
Y mi corazón idiota

#BorrachoYLoco #Gotay",2d,40,PT4M36S,0,False,2532,none,rectangular,2018-09-25T20:27:54.000Z,,"['Gotay El Autentiko', 'Borracho Y Loco', 'Borracho Y Loco letra', 'Gotay El Autentiko - Borracho Y Loco', 'Gotay El Autentiko - Borracho Y Loco letra', 'lamento boliviano', 'lamento boliviano letra', 'lamento boliviano cover', 'lamento boliviano New versión', 'Gotay El Autentiko - Lamento Boliviano', 'trap', 'trap latino', 'Onyx', 'Cuando te besé', 'Cuando te besé beat', 'Cuando te besé Paulo Londra', 'Cuando te besé Becky G', 'Becky G ft. Paulo Londra - Cuando Te Besé']",Gotay El Autentiko - Borracho Y Loco (Prod. By Onyx),-z0gZHhHVt4,68073,CDIQAA
true,10,UC3Df9-SvQY9BbfCmyvR0J5A,SebastianYatraVEVO,33485,xxNoneFoundxx,hd,"https://UMLE.lnk.to/GodBDFp 
Derechos del personaje Guadaña interpretado por Julián Arango
Cortesía CARACOL TELEVISIÓN S.A. Colombia

 Hace rato no la ven 
Pero hoy salió a beber 
Porque ya no tiene novio 
Ella sabe cómo soy 
Si me llama yo le doy 
Porque yo no tengo novia 
(Y ahora anda solita) 
Hace rato no la ven 
Pero hoy salió a beber 
Porque ya no tiene novio 
(Y ahora anda solita) 
Ella sabe cómo soy 
Si me llama yo le doy 
Porque yo no tengo novia 
(Y ahora anda solita) 
La última vez, que la vi 
Ella andaba con un tipo por ahí 
Qué cosa rara ahora está encima de mí 
Que está pasando 
Que está pasando, yo no lo sé… sé 
Pero parece que ella se quiere vengar de él...él 
Si tu novio, te termina 
Yo te tengo la mejor medicina 
Si tu novio, te termina 
Mezcla guaro con tequila 
ay... 
Hace rato no la ven 
Pero hoy salió a beber 
Porque ya no tiene novio 
Ella sabe cómo soy 
Si me llama yo le doy 
Porque yo no tengo novia 
(Y ahora anda solita) 
Hace rato no la ven
Pero hoy salió a beber 
Porque ya no tiene novio 
(Porque ya no tiene novio) 
Ella sabe cómo soy 
Si me llama yo le doy 
Porque yo no tengo novia 
(Y ahora anda solita) 
Ay…ay…ay 
Oh… 
Ay…ay…ay 
Yeah… 
Ay…ay…ay 
Que yo tengo lo que el novio no tenia 
Tan solo en dos minutos se me monta encima 
Ella quiere que esta noche la haga mía 
Que la agarre y que la lleve pa´ la esquina 
Dice que tengo lo que YATRA no tenía... 
Se pego, se pegó nadie me la quitó 
Se pegó, se pegó creo que se enamoró 
Se pegó, se pegó nunca se despegó 
Se pegó, se pegó…uoo 
Si tu novio, te termina 
Yo te tengo la mejor medicina 
Si tu novio, te termina 
Mezcla guaro con tequila 
Hace rato no la ven 
Pero hoy salió a beber 
Porque ya no tiene novio 
(Y ahora anda solita) 
Ella sabe cómo soy 
Si me llama yo le doy 
Porque yo no tengo novia 
Ay…ay…ay 
Ay…ay…ay 
Ay…ay…ay 
Que yo tengo lo que el novio no tenia 
Con su voz asesina 
Me dice YATRA vamos 
Que mi casa está vacía 
Esto no se termina 
Empezamos en la sala 
Y terminamos en la piscina 
Si tu novio, te termina 
Yo te tengo la mejor medicina 
Si tu novio, te termina 
Mezcla guaro con tequila 
Hace rato no la ven 
Pero hoy salió a beber 
Porque ya no tiene novio 
(Porque ya no tiene novio) 
Ella sabe cómo soy 
Si me llama yo le doy 
Porque yo no tengo novia 
(Y ahora anda solita) 
Mau y Ricky 
Yatra..Yatra 
Dice que tengo lo que YATRA no tenia

Music video by Sebastian Yatra, Mau Y Ricky performing Ya No Tiene Novio. © 2018 UMG Recordings, Inc.

http://vevo.ly/N2m3k0",2d,52602,PT4M8S,0,True,938496,none,rectangular,2018-08-10T04:00:00.000Z,"{'allowed': ['DE', 'VU', 'DM', 'DO', 'DJ', 'DK', 'DZ', 'KI', 'KH', 'TV', 'TW', 'KM', 'TR', 'KN', 'KE', 'AL', 'KG', 'KY', 'TF', 'KZ', 'TC', 'TL', 'TM', 'TN', 'KR', 'TH', 'KW', 'TK', 'EH', 'AI', 'JM', 'EC', 'EG', 'EE', 'ES', 'ER', 'ET', 'UZ', 'UY', 'MH', 'LI', 'LK', 'US', 'LA', 'LB', 'LC', 'LY', 'LT', 'LU', 'LV', 'ML', 'UG', 'LR', 'LS', 'FO', 'FM', 'FJ', 'FK', 'FI', 'HN', 'FR', 'MS', 'MR', 'MQ', 'MP', 'MW', 'MV', 'MU', 'MT', 'MZ', 'MY', 'MX', 'MC', 'MA', 'MG', 'MF', 'ME', 'MD', 'MK', 'VG', 'VE', 'MO', 'MN', 'MM', 'VA', 'GM', 'TT', 'GN', 'GI', 'GH', 'BY', 'GE', 'GD', 'GG', 'GF', 'GA', 'GB', 'GY', 'GU', 'GT', 'GW', 'GQ', 'GP', 'GS', 'GR', 'NU', 'NR', 'NP', 'NZ', 'WS', 'AU', 'NF', 'NG', 'NE', 'NC', 'NA', 'NO', 'NL', 'WF', 'NI', 'AX', 'VC', 'TZ', 'PH', 'TD', 'PK', 'PL', 'PM', 'PN', 'PA', 'PE', 'PF', 'PG', 'PY', 'TG', 'OM', 'PR', 'PS', 'PT', 'PW', 'YT', 'UA', 'BO', 'YE', 'JO', 'TO', 'HK', 'HM', 'QA', 'HR', 'HT', 'HU', 'AT', 'BB', 'BA', 'BF', 'BG', 'BD', 'BE', 'BJ', 'BH', 'BI', 'BN', 'ZW', 'BL', 'BM', 'BR', 'BS', 'BQ', 'BV', 'BW', 'BT', 'ZM', 'BZ', 'ZA', 'RS', 'IE', 'ID', 'AZ', 'RU', 'AW', 'IN', 'IM', 'IL', 'AS', 'AR', 'AQ', 'AO', 'AM', 'IT', 'IS', 'IR', 'IQ', 'RE', 'AG', 'AF', 'AE', 'AD', 'RO', 'CA', 'CC', 'CD', 'CG', 'CF', 'CI', 'CH', 'CK', 'TJ', 'CM', 'CL', 'CO', 'CN', 'VN', 'CR', 'CU', 'CW', 'CV', 'CY', 'CX', 'CZ', 'JP', 'RW', 'SR', 'ST', 'SV', 'SY', 'SX', 'SZ', 'JE', 'SA', 'SC', 'SB', 'SE', 'SD', 'SG', 'SI', 'SH', 'SK', 'SJ', 'SM', 'SL', 'SO', 'SN']}","['Sebastian', 'Yatra', 'Mau', 'Ricky', 'Ya', 'No', 'Tiene', 'Novio', 'Andres', 'Saavedra', 'Latin', 'Pop']","Sebastian Yatra, Mau Y Ricky - Ya No Tiene Novio",-qGbUNQqVNc,201858840,CDIQAA
false,10,UChX2haJZZJOtIIrdqLPvQWA,RemexMusic,4778,xxNoneFoundxx,hd,"Escúchalo en:
Spotify: https://goo.gl/qXdKvV
Apple Music: https://goo.gl/dznxes

PARA CONTRATACIONES:
MONTERREY, N.L.
TELS. (81) 1873-8066 / (81) 1873-8067
WHATSAPP: (81) 2640-8822
------
USA
TELS. (281) 733-4748 / (832) 577-0539
------
EMAIL: ventas@remexmusic.net

Suscríbete al canal: http://bit.ly/RemexYT

Síguenos en:
Facebook: https://www.facebook.com/RepresentacionesRemexMusic/
Twitter: https://twitter.com/remex_music
Instagram: https://www.instagram.com/remexmusicoficial/",2d,18618,PT4M6S,0,True,244549,none,rectangular,2018-01-05T22:00:01.000Z,,"['Remex', 'RemexMusic', 'Música', 'Mexicana', 'TeVee', 'edwin luna y la trakalosa de monterrey', 'fijate que si', 'video oficial', 'erika vidrio', 'edwin luna', 'banda', 'monterrey', 'balada', 'colima', 'manuel gayosso', 'gayosso films']",Edwin Luna y La Trakalosa de Monterrey - Fíjate que sí (Video Oficial),U5Md6S9jovk,68604475,CDIQAA
true,10,UCnoKJ-Zl9CX_hxSgZXP1O-A,Wolfine,57457,xxNoneFoundxx,hd,"Bella Remix con el Parcero Maluma,  Video Oficial. #BellaWxM
Suscríbete a mi canal aquí: 👉 https://goo.gl/3SuPXn 👈
Lo Mio Records 


Escuchalo en plataformas digitales:
Spotify: https://goo.gl/GmgGu2
Deezer: https://goo.gl/bCQF7E
Itunes: https://goo.gl/1raoRQ

Redes Sociales:
http://www.facebook.com/wolfine98
http://twitter.com/wolfine98
http://instagram.com/wolfine98
http://wolfine.net/
http://google.com/+wolfinemed

Lo Mio Records

Contrataciones: (+57) 312 267 6869
Colombia

Letra:

Maluma
 
Jajaja Remix
Wolfine, Maluma Baby, Mua
 
Maluma:
Ayer me dijeron tus amigas,
que andabas buscándome como loca en la calle,
y yo bebiendo como un loco cerveza;
con unos parceros dañándome la cabeza,
 
Wolfine:
Borracho con el corazón malo,
caminando solo, me la encontré a ella
 
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma:
Maluma Baby
Me cogiste en un momento de debilidad,
yo jurándome que nunca más te iba a tocar,
todo por culpa de esas malditas cervezas,
con esos labios en frente quien no te besa,
porque no fui capaz de ahí mismo darle stop,
en el ranking de mi culo siempre fuiste el top,
nos cagamos los dos solos en la relación,
lo dejamos a lo loco así sin protección.
 
Era demasiado tarde y yo con los tragos en la cabeza,
eres mi debilidad me encanta cuando te pones necia.
Era demasiado tarde y yo con los tragos en la cabeza,
eres mi debilidad a ti nadie te endereza
 
Wolfine:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma Baby
 
Wolfine:
Me dijeron que andabas un poco triste,
que te pusiste a beber y con un man por ahí te fuiste,
Ay baby me dañaste el corazón,
ya no creo en el amor,
ahora por ti soy peor
Ay baby me dañaste el corazón
ya no creo en el amor
ahora por ti soy peor
 
Maluma:
Ayer me dijeron tus amigas,
que andabas buscándome como loca en la calle,
 
Wolfine:
y yo bebiendo como  loco cerveza;
con unos parceros dañándome la cabeza
 
Maluma:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Coro:
Mujer tan bella yo con una botella,
me dejé enredar fácil, caí en las garras de ella
 
Maluma baby
 
Wolfine
 
La versatilidad de la calle papá
 
Wolfine
 
Ando con el lobo y no es el de wallstreet
 
Dj Gansgta
 
El ritmo que te provoca
 
LoMio Records
 
Medellín Colombia parceros
 
Pal mundo entero",2d,126715,PT3M47S,0,True,1056733,none,rectangular,2018-05-04T05:00:01.000Z,,"['Wolfine', 'Maluma', 'Mujer tan bella', 'Bella', 'bella wolfine', 'bella maluma', 'yo con una botella', 'bella remix oficial', 'con una cerveza', 'Ayer me dijeron tus amigas', 'ahora por ti soy peor', 'mujer tan bella y yo con una botella', 'i yo con una botella', 'borracho con el corazon malo', 'fame', 'pretty boy', 'dirty boy', 'Maluma baby', 'wolfine y maluma', 'maluma bella', 'wolfine bella', 'cai en las garras de ella', 'eres mi debilidad a ti nadie te endereza', 'yo con los tragos en la cabeza']","Bella Remix, Wolfine y Maluma - Video Oficial",3TrkEh_Af7I,220267491,CDIQAA
false,10,UChX2haJZZJOtIIrdqLPvQWA,RemexMusic,10917,xxNoneFoundxx,hd,"Escúchalo en:
Spotify: https://goo.gl/NJMJQy
Apple Music: https://goo.gl/1RYxuG

PARA CONTRATACIONES:
MONTERREY, N.L.
TELS. (81) 1873-8066 / (81) 1873-8067
WHATSAPP: (81) 2640-8822
------
USA
TELS. (281) 733-4748 / (832) 577-0539
------
EMAIL: ventas@remexmusic.net

Suscríbete al canal: http://bit.ly/RemexYT

Síguenos en:
Facebook: https://www.facebook.com/RepresentacionesRemexMusic/
Twitter: https://twitter.com/remex_music
Instagram: https://www.instagram.com/remexmusicoficial/",2d,16253,PT4M10S,0,True,242146,none,rectangular,2012-11-23T17:50:26.000Z,,"['el bueno y el malo', 'banda', 'tierra', 'sagrada', 'ft', 'colmillo', 'norteño', 'remex', 'music', 'discos', 'sabinas', 'banda tierra sagrada', 'la buena y la mala', 'VideoOficial', 'Monterrey', 'NuevoLeon', 'Mazatlan', 'Sinaloa']",Banda Tierra Sagrada ft. Colmillo Norteño - El Bueno y el malo (Video Oficial),n-yxITUaYyY,133786935,CDIQAA
true,10,UChtkjT8B43Ifq_ZILDzxNiQ,Valentino Pr,4434,xxNoneFoundxx,hd,"Tu Y Yo 💏 - Valentino X Nicky Jam X Justin Quiles nuevo video 2018
Encuéntrala en todas las plataformas 💏💏

Sigue a Valentino:
http://www.instagram.com/valentinopr
http://www.facebook.com/ValentinoOficial
http://twitter.com/ValentinoPr1

La Industria Inc
Warner Music Latin
YT Rocket 
2018",2d,8613,PT3M28S,0,True,244176,none,rectangular,2018-07-27T04:04:26.000Z,,"['valentino', 'besame', 'nicky jam', 'j quiles', 'tu y yo', 'tu', 'yo', 'tuyo', 'voy a protegerte', 'juro nadie va a tocarte', 'manuel turizo', 'reggaeton', '2018', 'musica nueva', 'nuevo', 'urban latin', 'musica latina', 'musica urbana', 'musica tropical', 'musica para dedicar', 'no quiero amarte', 'zion y lennox', 'mujeres', 'x remix', 'equis', 'j balvin', 'vaina loca', 'ozuna', 'te bote', 'bad bunny', 'estamos bien', 'reggaeton romántico']",Tu Y Yo 💏 - Valentino X Nicky Jam X Justin Quiles,v1EDtTi95Z0,27723428,CDIQAA
true,10,UCoAXIMqrhLmnGTkdsrna3cw,CalibreCincuentaVEVO,1991,xxNoneFoundxx,hd,"Music video by Calibre 50 performing Mitad Y Mitad. (C) 2018 Andaluz Records Distributed by Disa/UMLE

http://vevo.ly/vglvj0",2d,6388,PT2M41S,0,True,93357,none,rectangular,2018-02-23T05:00:00.000Z,{'blocked': ['CA']},"['Calibre', '50', 'Mitad', 'Latin', 'Regional', 'Mexican']",Calibre 50 - Mitad Y Mitad,7OzilkloV70,27940202,CDIQAA
false,10,UChYwYTzrhfxPfJPFWRlYwUg,DEL Records,10535,xxNoneFoundxx,hd,"El reconocido y talentoso cantautor sinaloense, Lenin Ramírez estrena el video de “Recordando A Manuel” al lado de Gerardo Ortiz y Jesus Chairez. Este nuevo tema estará incluido en su próxima producción discográfica la cual saldrá al mercado en los próximos meses. El último álbum de Lenin, SIEMPRE FIRME, es su segunda producción bajo el sello DEL Records. Este álbum incluye corridos, baladas y temas bailables como el éxito “La Viuda Negra.” Una de las influencias musicales más destacadas en las producciones del cantautor es la música sierreña.

Lenin Ramírez ha realizado extensas giras en todo México y sus composiciones han sido interpretadas por varios de los artistas más sobresalientes del género incluyendo Los Alegres del Barranco y Jesús Ojeda, entre otros.Tal vez el mayor desafío para Lenin fue tomar las tradiciones y grabar música que suene fresca. Ramírez combina varios géneros como parte de su repertorio para que su música tenga un toque moderno y único para sus fans. 

Suscribete En YouTube: http://goo.gl/zxL311

Síguenos En: Spotify: https://goo.gl/nbrx8n
Instagram: https://goo.gl/RFknFr
Facebook: http://goo.gl/dDPjE1
Twitter:  https://goo.gl/Z6IVhF
http://DelRecords.com

2017 © Del Records, Inc.",2d,46987,PT3M34S,0,True,500780,none,rectangular,2017-05-26T23:00:03.000Z,,"['DEL Records', 'DEL Records 2017', 'DEL', 'Recordando A Manuel', 'Behind The Scenes', 'Lenin Ramirez', 'Lenin', 'Gerardo Ortiz', 'Jesus Chairez', 'en vivo 2017', 'regional', 'mexico', 'entrevista', 'descargar', 'vivo', 'en vivo', 'corridos 2017', 'mexicanos', 'estrenos', 'lo mas nuevo', 'descarga', 'latin', 'estrenos 2017', 'mix 2017', 'lo nuevo 2017', 'mazatlan', 'sinaloa', '2017', 'musica', 'nuevo', 'musica 2017', 'lo mas nuevo 2017', 'banda', 'video oficial', 'corridos', 'video', 'narco', 'music', 'new', 'nuevas', '2018', 'mexico city', 'estreno']",Recordando A Manuel - (Video Oficial) - Lenin Ramirez feat. Gerardo Ortiz y Jesus Chairez,u5M__nfVWq8,191001303,CDIQAA
