Unnamed: 0,title,vidId,title_word_of,title_word_feat,title_word_audio,title_word_me,title_word_music,title_word_video,title_word_by,title_word_no,title_word_live,title_word_the,title_word_de,title_word_don,title_word_in,title_word_ft,title_word_offici,title_word_you,title_word_la,view_log
0,P. tchaikovski - pa de deux ('the nutcracker'),YR5USHu6D6U,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6.5712268818436685
1,phil collin - In the air tonight ('panski & john skyfield remix) [deep house],AbWBviQCMEE,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7.683620297863701
2,billi sing A song ('the loser club song' ft. pennywise),sgS8pniTZ08,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,7.1917873925185605
3,timmi trumpet - freak ('spinnin launchpad cover),JijYeg7ggNY,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7.349098137489892
4,[choreography] bt (방탄소년단) 정국이랑 지민이 ('own it' choreographi by brian puspose) danc practic,HMprwPSFLyU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.924367325173776
5,super junior-d& 슈퍼주니어-d&e '머리부터 발끝까지 ('bout you)' MV,6GBbTqsFog8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.797365332660063
6,simon & garfunkel - mrs. robinson (audio),9C1BCAgu2I8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.67249094749882
7,(여자)아이들((g)i-dle) - '한(一)(hann(alone))' (choreographi practic video),EGuuBE7xjBk,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.923248216444478
8,phil collin - In the air tonight  (panski & john skyfield remix),6E13_sQPg4A,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.441851076689698
9,*nsync - bye bye bye,Eo-KmOd3i7s,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8.241802357552535
10,righteou brother - ghost -  unchain melodi - traduct français,TSatRFUUS4Q,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7.3548214224665935
11,timmi trumpet & savag - freak (offici video),ofmzX1nI7SE,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7.758788244626466
12,打上花火 -arrang ver.-cover【まふまふ】,t-wPaLrL2yA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.791230151039247
13,hyuna(현아) - 'lip & hip' (choreographi practic video),jiKms3ta2Sw,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.031904367513425
14,righteou brother - unchain melodi (high quality),qiiyq2xrSI0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7.401807122334435
15,A differ world (feat. corey taylor),gy4oq9vTDDI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1532018481095285
16,방예담 - 'there' noth holdin' Me back' ('stray kids’  YG vs jyp 프리 배틀),jSqHotawH2M,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,7.356561220714879
17,(여자)아이들((g)i-dle) - 'latata' (choreographi practic video),Fhk4Qzj_QpM,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7.050401567119622
18,soul Of mischief - 93 'til infin,fXJc2NYwHjw,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6.615292749814893
19,So will I (100 billion X) - hillsong worship,GfVd5x9W1Xc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.597224225627585
20,梁靜茹 fish leong【可惜不是你 unfortun not you】offici music video,k_l7FVsqUyM,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,7.267526882982347
21,[mv] (g)i-dle((여자)아이들) _ hann (alone)(한(一)),3K38Fc1SV5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.285117323665672
22,justin bieber - purpos (purpos : the movement),Ca1i6DZC3iY,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,8.041606120026051
23,shape Of you - Ed sheeran ('70 stevi wonder funk style cover) ft. stefano,WjCgYk_APVU,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,6.059312310236303
24,des're - you gotta Be ('99 mix) (offici video),pO40TcKa_5U,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,7.090349806028532
25,(g)i-dl (여자아이들) - hann (한(一)) (alone) lyric (color code eng/rom/han/가사),GFqKCpRu5dI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.766071524136295
26,still into you - paramor ('40 swing cover) ft. mari,y4ko0H0Tyg4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,6.018783688874698
27,"perfect duet - Ed sheeran & beyonc ('50 prom cover) ft. mario jose, india carney & dave koz",zlU5jsQi25E,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6.3860521347864925
28,howard hanson : symphoni no. 2 'romantic' op. 30 (1930),hO2wTqo-eqg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.2826674203197515
29,"""let go"" live at bethel church | steffani gretzing",D_7XIKVgRGY,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6.413450315761155
30,[mv] nu'est(뉴이스트) _ face(페이스),gyXy0m-4bvE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.946463480867138
31,africa ('50 style toto cover) - postmodern jukebox ft. casey abram & snuffi walden,IUlRavyDP6o,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5.875257520146834
32,"it' ok, you'r Ok - bonjr",ou-rVp6EbhM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.971279375046505
33,ngắm hoa Lệ rơi - châu khải phong [ lyric MV ],SItFPrgEITM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14972441436153
34,[mv] hyuna(현아) _ lip & hip,vcqImqOVE2U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.403621576082561
35,michael jackson - don’t stop 'til you get enough (offici video),yURRmWtbTbo,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,8.248335564616749
36,"gorecki symphoni no. 3 ""sorrow songs"" - lento e largo",miLV0o4AhE4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.151773614600085
37,cinderella - don't know what you got (till it' gone),i28UEoLXVFQ,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,7.910703285663912
38,clair de lune (extended),ea2WoUtbzuw,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7.323375046905568
39,mahler  --  symphoni no. 2 'auferstehung',sHsFIv8VA7w,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.5081031603100135
40,"saint-saën - symphoni No 3 in C minor, Op 78 - järvi",ZWCZq33BrOo,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,5.993974686262482
41,board Of canada - seven forti seven,qthHlLyvplg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9621523710443425
42,scarlxrd - hxw they judge.,hqaVjKwj-Ik,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.222469347103955
43,"beethoven piano concerto no. 5 in e-flat major, op. 73 adagio Un poco mosso",qSeg69d3CQ8,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,6.602762545529872
44,"symphoni no. 6 in B minor, op. 74 ""pathetique"" - pyotr ilyich tchaikovski",uZmLx4w2VHo,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,5.738663251432482
45,beethoven - symphoni no. 3 in E flat major (op. 55) eroica berlin philharmonik,nbGV-MVfgec,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,5.621605169502995
46,張杰 jason zhang - 三生三世 (官方歌詞版) - 中視《三生三世十里桃花》片頭曲,s-CcFyyPJiY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.388408741605668
47,mendelssohn symphoni no. 2 'lobgesang' hall orchestra - sir mark elder,GBlsQnWpalw,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,5.4044796394163
48,bee gee - you should Be danc - saturday night fever (john travolta),u0lm58cet1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.008601832296468
49,"mozart - symphoni no. 41 in C, K. 551 [complete] (jupiter)",bnK3kh8ZEgA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6.104268884973488
50,"air on the G string (suit no. 3, bwv 1068) J. S. bach, origin instrument",pzlw6fUux4o,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,6.378318485031192
51,gustavo dudamel : dvorak - symphoni no. 9 - 4th movement - allegro con fuoco,vHqtJH2f1Yk,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6.818869202388142
52,beethoven symphoni no. 9 - mvt. 4 - barenboim/west-eastern divan orchestra,ChygZLpJDNE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.319325130088395
53,stefan milenkovich - paganini La campanella,230RgLax-_o,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.977369167829193
