,Artist_Song,song_url
0,"
      Luis Fonsi - Despacito ft. Daddy Yankee
    ",https://www.youtube.com/watch?v=kJQP7kiw5Fk&index=2&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
1,"
      Ed Sheeran - Shape of You [Official Video]
    ",https://www.youtube.com/watch?v=JGwWNGJdvx8&index=3&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
2,"
      Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
    ",https://www.youtube.com/watch?v=RgKAFK5djSk&index=4&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
3,"
      Masha and The Bear - Recipe for disaster (Episode 17)
    ",https://www.youtube.com/watch?v=KYniUCGPGLs&index=5&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
4,"
      Mark Ronson - Uptown Funk ft. Bruno Mars
    ",https://www.youtube.com/watch?v=OPf0YbXqDm0&index=6&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
5,"
      PSY - GANGNAM STYLE(강남스타일) M/V
    ",https://www.youtube.com/watch?v=9bZkp7q19f0&index=7&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
6,"
      Justin Bieber - Sorry (PURPOSE : The Movement)
    ",https://www.youtube.com/watch?v=fRh_vgS2dFE&index=8&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
7,"
      Maroon 5 - Sugar
    ",https://www.youtube.com/watch?v=09R8_2nJtjg&index=9&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
8,"
      Taylor Swift - Shake It Off
    ",https://www.youtube.com/watch?v=nfWlot6h_JM&index=10&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
9,"
      Katy Perry - Roar (Official)
    ",https://www.youtube.com/watch?v=CevxZvSJLk8&index=11&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
10,"
      Enrique Iglesias - Bailando (Español) ft. Descemer Bueno, Gente De Zona
    ",https://www.youtube.com/watch?v=NUsoVlDFqZg&index=12&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
11,"
      Ed Sheeran - Thinking Out Loud [Official Video]
    ",https://www.youtube.com/watch?v=lp-EO5I60KA&index=13&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
12,"
      OneRepublic - Counting Stars
    ",https://www.youtube.com/watch?v=hT_nvWreIhg&index=14&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
